uniprot_accession,protein_name,pathway,compound,cid
O75947,"ATP synthase peripheral stalk subunit d, mitochondrial",Reactome_R-HSA-1430728,caffeine,2519
O75964,"ATP synthase F(0) complex subunit g, mitochondrial",Reactome_R-HSA-1430728,caffeine,2519
O76062,Delta(14)-sterol reductase TM7SF2,Reactome_R-HSA-1430728,caffeine,2519
O76071,Probable cytosolic iron-sulfur protein assembly protein CIAO1,Reactome_R-HSA-1430728,caffeine,2519
O76082,Organic cation/carnitine transporter 2,Reactome_R-HSA-1430728,caffeine,2519
O94760,"N(G),N(G)-dimethylarginine dimethylaminohydrolase 1",Reactome_R-HSA-1430728,caffeine,2519
O94766,Galactosylgalactosylxylosylprotein 3-beta-glucuronosyltransferase 3,Reactome_R-HSA-1430728,caffeine,2519
O94830,Triacylglycerol hydrolase DDHD2,Reactome_R-HSA-1430728,caffeine,2519
O94923,D-glucuronyl C5-epimerase,Reactome_R-HSA-1430728,caffeine,2519
O94925,"Glutaminase kidney isoform, mitochondrial",Reactome_R-HSA-1430728,caffeine,2519
O94956-3,SLCO2B1-3,Reactome_R-HSA-1430728,caffeine,2519
O95050,Indolethylamine N-methyltransferase,Reactome_R-HSA-1430728,caffeine,2519
O95139,NADH dehydrogenase [ubiquinone] 1 beta subcomplex subunit 6,Reactome_R-HSA-1430728,caffeine,2519
O95153,Peripheral-type benzodiazepine receptor-associated protein 1,Reactome_R-HSA-1430728,caffeine,2519
O95154,Aldo-keto reductase family 7 member A3,Reactome_R-HSA-1430728,caffeine,2519
O95167,NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 3,Reactome_R-HSA-1430728,caffeine,2519
O95168,NADH dehydrogenase [ubiquinone] 1 beta subcomplex subunit 4,Reactome_R-HSA-1430728,caffeine,2519
O95169,"NADH dehydrogenase [ubiquinone] 1 beta subcomplex subunit 8, mitochondrial",Reactome_R-HSA-1430728,caffeine,2519
O95178,"NADH dehydrogenase [ubiquinone] 1 beta subcomplex subunit 2, mitochondrial",Reactome_R-HSA-1430728,caffeine,2519
O95182,NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 7,Reactome_R-HSA-1430728,caffeine,2519
O95202,Mitochondrial proton/calcium exchanger protein,Reactome_R-HSA-1430728,caffeine,2519
O95237,Lecithin retinol acyltransferase,Reactome_R-HSA-1430728,caffeine,2519
O95248,Myotubularin-related protein 5,Reactome_R-HSA-1430728,caffeine,2519
O95278,Laforin,Reactome_R-HSA-1430728,caffeine,2519
O95298,NADH dehydrogenase [ubiquinone] 1 subunit C2,Reactome_R-HSA-1430728,caffeine,2519
O95299,"NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 10, mitochondrial",Reactome_R-HSA-1430728,caffeine,2519
O95336,6-phosphogluconolactonase,Reactome_R-HSA-1430728,caffeine,2519
O95342,Bile salt export pump,Reactome_R-HSA-1430728,caffeine,2519
O95396,Adenylyltransferase and sulfurtransferase MOCS3,Reactome_R-HSA-1430728,caffeine,2519
O95398,Rap guanine nucleotide exchange factor 3,Reactome_R-HSA-1430728,caffeine,2519
O95402,Mediator of RNA polymerase II transcription subunit 26,Reactome_R-HSA-1430728,caffeine,2519
O95445,Apolipoprotein M,Reactome_R-HSA-1430728,caffeine,2519
O95470,Sphingosine-1-phosphate lyase 1,Reactome_R-HSA-1430728,caffeine,2519
O95477,Phospholipid-transporting ATPase ABCA1,Reactome_R-HSA-1430728,caffeine,2519
O95544,NAD kinase,Reactome_R-HSA-1430728,caffeine,2519
O95563,Mitochondrial pyruvate carrier 2,Reactome_R-HSA-1430728,caffeine,2519
O95571,"Persulfide dioxygenase ETHE1, mitochondrial",Reactome_R-HSA-1430728,caffeine,2519
O95674,Phosphatidate cytidylyltransferase 2,Reactome_R-HSA-1430728,caffeine,2519
O95749,Geranylgeranyl pyrophosphate synthase,Reactome_R-HSA-1430728,caffeine,2519
O95822-2,MLYCD,Reactome_R-HSA-1430728,caffeine,2519
O95861,"3'(2'),5'-bisphosphate nucleotidase 1",Reactome_R-HSA-1430728,caffeine,2519
O95864,Acyl-CoA 6-desaturase,Reactome_R-HSA-1430728,caffeine,2519
O95954,Formimidoyltransferase-cyclodeaminase,Reactome_R-HSA-1430728,caffeine,2519
O95989,Diphosphoinositol polyphosphate phosphohydrolase 1,Reactome_R-HSA-1430728,caffeine,2519
O95992,Cholesterol 25-hydroxylase,Reactome_R-HSA-1430728,caffeine,2519
O96000,NADH dehydrogenase [ubiquinone] 1 beta subcomplex subunit 10,Reactome_R-HSA-1430728,caffeine,2519
O96007,Molybdopterin synthase catalytic subunit,Reactome_R-HSA-1430728,caffeine,2519
O96024,"Beta-1,3-galactosyltransferase 4",Reactome_R-HSA-1430728,caffeine,2519
O96033,Molybdopterin synthase sulfur carrier subunit,Reactome_R-HSA-1430728,caffeine,2519
P00156,Cytochrome b,Reactome_R-HSA-1430728,caffeine,2519
P00167,Cytochrome b5,Reactome_R-HSA-1430728,caffeine,2519
P00325,All-trans-retinol dehydrogenase [NAD(+)] ADH1B,Reactome_R-HSA-1430728,caffeine,2519
P00326,Alcohol dehydrogenase 1C,Reactome_R-HSA-1430728,caffeine,2519
P00338,L-lactate dehydrogenase A chain,Reactome_R-HSA-1430728,caffeine,2519
P00352,Aldehyde dehydrogenase 1A1,Reactome_R-HSA-1430728,caffeine,2519
P00374,Dihydrofolate reductase,Reactome_R-HSA-1430728,caffeine,2519
P00387,NADH-cytochrome b5 reductase 3,Reactome_R-HSA-1430728,caffeine,2519
P00390-2,GR,Reactome_R-HSA-1430728,caffeine,2519
P00395,Cytochrome c oxidase subunit 1,Reactome_R-HSA-1430728,caffeine,2519
P00403,Cytochrome c oxidase subunit 2,Reactome_R-HSA-1430728,caffeine,2519
P00414,Cytochrome c oxidase subunit 3,Reactome_R-HSA-1430728,caffeine,2519
P00439,Phenylalanine-4-hydroxylase,Reactome_R-HSA-1430728,caffeine,2519
P00480,"Ornithine transcarbamylase, mitochondrial",Reactome_R-HSA-1430728,caffeine,2519
P00491,Purine nucleoside phosphorylase,Reactome_R-HSA-1430728,caffeine,2519
P00492,Hypoxanthine-guanine phosphoribosyltransferase,Reactome_R-HSA-1430728,caffeine,2519
P00505,"Aspartate aminotransferase, mitochondrial",Reactome_R-HSA-1430728,caffeine,2519
P00558,Phosphoglycerate kinase 1,Reactome_R-HSA-1430728,caffeine,2519
P00709,Alpha-lactalbumin,Reactome_R-HSA-1430728,caffeine,2519
P00813,Adenosine deaminase,Reactome_R-HSA-1430728,caffeine,2519
