uniprot_accession,interaction_count,n_compounds,compounds,symbol,geneid,pathway_count,n_pathways,pathways,pathway_compounds,total_count,source,n_go_terms,go_ids,go_names,go_bp_ids,go_bp_names,go_mf_ids,go_mf_names,go_cc_ids,go_cc_names
P10632,1,1,atorvastatin,CYP2C8,1558,1,1,PharmGKB:PA145011109,atorvastatin,2,interaction_and_pathway,30,GO:0002933;GO:0004497;GO:0005506;GO:0005515;GO:0005737;GO:0005789;GO:0006082;GO:0006721;GO:0006805;GO:0008202;GO:0008210;GO:0008392;GO:0008401;GO:0008404;GO:0008405;GO:0016705;GO:0016712;GO:0019369;GO:0019373;GO:0020037;GO:0032787;GO:0034875;GO:0042178;GO:0042572;GO:0042573;GO:0042759;GO:0046456;GO:0070989;GO:0097267;GO:0101020,"arachidonate 11,12-epoxygenase activity;arachidonate 14,15-epoxygenase activity;arachidonate epoxygenase activity;arachidonate metabolic process;caffeine oxidase activity;cytoplasm;endoplasmic reticulum membrane;epoxygenase P450 pathway;estrogen 16-alpha-hydroxylase activity;estrogen metabolic process;heme binding;icosanoid biosynthetic process;iron ion binding;lipid hydroxylation;long-chain fatty acid biosynthetic process;monocarboxylic acid metabolic process;monooxygenase activity;obsolete organic acid metabolic process;omega-hydroxylase P450 pathway;oxidative demethylation;oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen;oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen, reduced flavin or flavoprotein as one donor, and incorporation of one atom of oxygen;protein binding;retinoic acid 4-hydroxylase activity;retinoic acid metabolic process;retinol metabolic process;steroid metabolic process;terpenoid metabolic process;xenobiotic catabolic process;xenobiotic metabolic process",GO:0002933;GO:0006082;GO:0006721;GO:0006805;GO:0008202;GO:0008210;GO:0019369;GO:0019373;GO:0032787;GO:0042178;GO:0042572;GO:0042573;GO:0042759;GO:0046456;GO:0070989;GO:0097267,arachidonate metabolic process;epoxygenase P450 pathway;estrogen metabolic process;icosanoid biosynthetic process;lipid hydroxylation;long-chain fatty acid biosynthetic process;monocarboxylic acid metabolic process;obsolete organic acid metabolic process;omega-hydroxylase P450 pathway;oxidative demethylation;retinoic acid metabolic process;retinol metabolic process;steroid metabolic process;terpenoid metabolic process;xenobiotic catabolic process;xenobiotic metabolic process,GO:0004497;GO:0005506;GO:0005515;GO:0008392;GO:0008401;GO:0008404;GO:0008405;GO:0016705;GO:0016712;GO:0020037;GO:0034875;GO:0101020,"arachidonate 11,12-epoxygenase activity;arachidonate 14,15-epoxygenase activity;arachidonate epoxygenase activity;caffeine oxidase activity;estrogen 16-alpha-hydroxylase activity;heme binding;iron ion binding;monooxygenase activity;oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen;oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen, reduced flavin or flavoprotein as one donor, and incorporation of one atom of oxygen;protein binding;retinoic acid 4-hydroxylase activity",GO:0005737;GO:0005789,cytoplasm;endoplasmic reticulum membrane
P20815,1,1,atorvastatin,CYP3A5,1577,1,1,PharmGKB:PA145011109,atorvastatin,2,interaction_and_pathway,24,GO:0002933;GO:0004497;GO:0005506;GO:0005515;GO:0005789;GO:0006805;GO:0008202;GO:0008210;GO:0008401;GO:0009822;GO:0016491;GO:0016705;GO:0016712;GO:0019825;GO:0020037;GO:0042178;GO:0042572;GO:0042573;GO:0043231;GO:0046222;GO:0050649;GO:0070989;GO:0101020;GO:0101021,"aflatoxin metabolic process;alkaloid catabolic process;endoplasmic reticulum membrane;estrogen 16-alpha-hydroxylase activity;estrogen 2-hydroxylase activity;estrogen metabolic process;heme binding;intracellular membrane-bounded organelle;iron ion binding;lipid hydroxylation;monooxygenase activity;oxidative demethylation;oxidoreductase activity;oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen;oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen, reduced flavin or flavoprotein as one donor, and incorporation of one atom of oxygen;oxygen binding;protein binding;retinoic acid 4-hydroxylase activity;retinoic acid metabolic process;retinol metabolic process;steroid metabolic process;testosterone 6-beta-hydroxylase activity;xenobiotic catabolic process;xenobiotic metabolic process",GO:0002933;GO:0006805;GO:0008202;GO:0008210;GO:0009822;GO:0042178;GO:0042572;GO:0042573;GO:0046222;GO:0070989,aflatoxin metabolic process;alkaloid catabolic process;estrogen metabolic process;lipid hydroxylation;oxidative demethylation;retinoic acid metabolic process;retinol metabolic process;steroid metabolic process;xenobiotic catabolic process;xenobiotic metabolic process,GO:0004497;GO:0005506;GO:0005515;GO:0008401;GO:0016491;GO:0016705;GO:0016712;GO:0019825;GO:0020037;GO:0050649;GO:0101020;GO:0101021,"estrogen 16-alpha-hydroxylase activity;estrogen 2-hydroxylase activity;heme binding;iron ion binding;monooxygenase activity;oxidoreductase activity;oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen;oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen, reduced flavin or flavoprotein as one donor, and incorporation of one atom of oxygen;oxygen binding;protein binding;retinoic acid 4-hydroxylase activity;testosterone 6-beta-hydroxylase activity",GO:0005789;GO:0043231,endoplasmic reticulum membrane;intracellular membrane-bounded organelle
P22309,1,1,atorvastatin,UGT1A1,54658,1,1,PharmGKB:PA145011109,atorvastatin,2,interaction_and_pathway,29,GO:0001889;GO:0001972;GO:0004857;GO:0005496;GO:0005515;GO:0005783;GO:0005788;GO:0005789;GO:0005886;GO:0006789;GO:0006805;GO:0008194;GO:0008202;GO:0008210;GO:0009812;GO:0015020;GO:0016125;GO:0019585;GO:0019899;GO:0032787;GO:0034663;GO:0042167;GO:0042573;GO:0042803;GO:0045939;GO:0046982;GO:0048471;GO:0051552;GO:0071385,UDP-glycosyltransferase activity;bilirubin conjugation;cellular response to glucocorticoid stimulus;endoplasmic reticulum;endoplasmic reticulum chaperone complex;endoplasmic reticulum lumen;endoplasmic reticulum membrane;enzyme binding;enzyme inhibitor activity;estrogen metabolic process;flavone metabolic process;flavonoid metabolic process;glucuronate metabolic process;glucuronosyltransferase activity;heme catabolic process;liver development;monocarboxylic acid metabolic process;negative regulation of steroid metabolic process;perinuclear region of cytoplasm;plasma membrane;protein binding;protein heterodimerization activity;protein homodimerization activity;retinoic acid binding;retinoic acid metabolic process;steroid binding;steroid metabolic process;sterol metabolic process;xenobiotic metabolic process,GO:0001889;GO:0006789;GO:0006805;GO:0008202;GO:0008210;GO:0009812;GO:0016125;GO:0019585;GO:0032787;GO:0042167;GO:0042573;GO:0045939;GO:0051552;GO:0071385,bilirubin conjugation;cellular response to glucocorticoid stimulus;estrogen metabolic process;flavone metabolic process;flavonoid metabolic process;glucuronate metabolic process;heme catabolic process;liver development;monocarboxylic acid metabolic process;negative regulation of steroid metabolic process;retinoic acid metabolic process;steroid metabolic process;sterol metabolic process;xenobiotic metabolic process,GO:0001972;GO:0004857;GO:0005496;GO:0005515;GO:0008194;GO:0015020;GO:0019899;GO:0042803;GO:0046982,UDP-glycosyltransferase activity;enzyme binding;enzyme inhibitor activity;glucuronosyltransferase activity;protein binding;protein heterodimerization activity;protein homodimerization activity;retinoic acid binding;steroid binding,GO:0005783;GO:0005788;GO:0005789;GO:0005886;GO:0034663;GO:0048471,endoplasmic reticulum;endoplasmic reticulum chaperone complex;endoplasmic reticulum lumen;endoplasmic reticulum membrane;perinuclear region of cytoplasm;plasma membrane
P33261,1,1,atorvastatin,CYP2C19,1557,1,1,PharmGKB:PA145011109,atorvastatin,2,interaction_and_pathway,30,GO:0001676;GO:0004497;GO:0005506;GO:0005737;GO:0005789;GO:0006631;GO:0006721;GO:0006805;GO:0008202;GO:0008395;GO:0008404;GO:0008405;GO:0016098;GO:0016491;GO:0016705;GO:0016712;GO:0018675;GO:0018676;GO:0019373;GO:0019825;GO:0019899;GO:0020037;GO:0032787;GO:0042178;GO:0043231;GO:0052741;GO:0097267;GO:0106302;GO:0120319;GO:0120502,"(R)-limonene 6-monooxygenase activity;(S)-limonene 6-monooxygenase activity;(S)-limonene 7-monooxygenase activity;arachidonate 11,12-epoxygenase activity;arachidonate 14,15-epoxygenase activity;arachidonate 8,9-epoxygenase activity;cytoplasm;endoplasmic reticulum membrane;enzyme binding;epoxygenase P450 pathway;fatty acid metabolic process;fatty acid omega-1 hydroxylase activity;heme binding;intracellular membrane-bounded organelle;iron ion binding;long-chain fatty acid metabolic process;long-chain fatty acid omega-1 hydroxylase activity;monocarboxylic acid metabolic process;monooxygenase activity;monoterpenoid metabolic process;omega-hydroxylase P450 pathway;oxidoreductase activity;oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen;oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen, reduced flavin or flavoprotein as one donor, and incorporation of one atom of oxygen;oxygen binding;steroid hydroxylase activity;steroid metabolic process;terpenoid metabolic process;xenobiotic catabolic process;xenobiotic metabolic process",GO:0001676;GO:0006631;GO:0006721;GO:0006805;GO:0008202;GO:0016098;GO:0019373;GO:0032787;GO:0042178;GO:0097267,epoxygenase P450 pathway;fatty acid metabolic process;long-chain fatty acid metabolic process;monocarboxylic acid metabolic process;monoterpenoid metabolic process;omega-hydroxylase P450 pathway;steroid metabolic process;terpenoid metabolic process;xenobiotic catabolic process;xenobiotic metabolic process,GO:0004497;GO:0005506;GO:0008395;GO:0008404;GO:0008405;GO:0016491;GO:0016705;GO:0016712;GO:0018675;GO:0018676;GO:0019825;GO:0019899;GO:0020037;GO:0052741;GO:0106302;GO:0120319;GO:0120502,"(R)-limonene 6-monooxygenase activity;(S)-limonene 6-monooxygenase activity;(S)-limonene 7-monooxygenase activity;arachidonate 11,12-epoxygenase activity;arachidonate 14,15-epoxygenase activity;arachidonate 8,9-epoxygenase activity;enzyme binding;fatty acid omega-1 hydroxylase activity;heme binding;iron ion binding;long-chain fatty acid omega-1 hydroxylase activity;monooxygenase activity;oxidoreductase activity;oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen;oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen, reduced flavin or flavoprotein as one donor, and incorporation of one atom of oxygen;oxygen binding;steroid hydroxylase activity",GO:0005737;GO:0005789;GO:0043231,cytoplasm;endoplasmic reticulum membrane;intracellular membrane-bounded organelle
P35503,1,1,atorvastatin,UGT1A3,54659,1,1,PharmGKB:PA145011109,atorvastatin,2,interaction_and_pathway,21,GO:0001889;GO:0001972;GO:0004857;GO:0005783;GO:0005789;GO:0006805;GO:0008194;GO:0008202;GO:0008210;GO:0009812;GO:0015020;GO:0016125;GO:0019899;GO:0032782;GO:0032787;GO:0042573;GO:0042803;GO:0046982;GO:0051552;GO:0070640;GO:0071385,UDP-glycosyltransferase activity;bile acid secretion;cellular response to glucocorticoid stimulus;endoplasmic reticulum;endoplasmic reticulum membrane;enzyme binding;enzyme inhibitor activity;estrogen metabolic process;flavone metabolic process;flavonoid metabolic process;glucuronosyltransferase activity;liver development;monocarboxylic acid metabolic process;protein heterodimerization activity;protein homodimerization activity;retinoic acid binding;retinoic acid metabolic process;steroid metabolic process;sterol metabolic process;vitamin D3 metabolic process;xenobiotic metabolic process,GO:0001889;GO:0006805;GO:0008202;GO:0008210;GO:0009812;GO:0016125;GO:0032782;GO:0032787;GO:0042573;GO:0051552;GO:0070640;GO:0071385,bile acid secretion;cellular response to glucocorticoid stimulus;estrogen metabolic process;flavone metabolic process;flavonoid metabolic process;liver development;monocarboxylic acid metabolic process;retinoic acid metabolic process;steroid metabolic process;sterol metabolic process;vitamin D3 metabolic process;xenobiotic metabolic process,GO:0001972;GO:0004857;GO:0008194;GO:0015020;GO:0019899;GO:0042803;GO:0046982,UDP-glycosyltransferase activity;enzyme binding;enzyme inhibitor activity;glucuronosyltransferase activity;protein heterodimerization activity;protein homodimerization activity;retinoic acid binding,GO:0005783;GO:0005789,endoplasmic reticulum;endoplasmic reticulum membrane
O75845,0,2,Rosuvastatin;atorvastatin,SC5D,,2,2,PathBank:SMP0000092;PathBank:SMP0000131,Rosuvastatin;atorvastatin,2,pathway_predominant,10,GO:0000248;GO:0005506;GO:0005789;GO:0006695;GO:0008610;GO:0033489;GO:0033490;GO:0050046;GO:0070704;GO:0110076,C-5 sterol desaturase activity;cholesterol biosynthetic process;cholesterol biosynthetic process via desmosterol;cholesterol biosynthetic process via lathosterol;delta7-sterol 5(6)-desaturase activity;endoplasmic reticulum membrane;iron ion binding;lipid biosynthetic process;negative regulation of ferroptosis;sterol desaturase activity,GO:0006695;GO:0008610;GO:0033489;GO:0033490;GO:0110076,cholesterol biosynthetic process;cholesterol biosynthetic process via desmosterol;cholesterol biosynthetic process via lathosterol;lipid biosynthetic process;negative regulation of ferroptosis,GO:0000248;GO:0005506;GO:0050046;GO:0070704,C-5 sterol desaturase activity;delta7-sterol 5(6)-desaturase activity;iron ion binding;sterol desaturase activity,GO:0005789,endoplasmic reticulum membrane
O76062,0,2,Rosuvastatin;atorvastatin,TM7SF2,,2,2,PathBank:SMP0000092;PathBank:SMP0000131,Rosuvastatin;atorvastatin,2,pathway_predominant,13,GO:0005515;GO:0005637;GO:0005783;GO:0005789;GO:0005886;GO:0006695;GO:0016020;GO:0016126;GO:0016628;GO:0033490;GO:0043235;GO:0050613;GO:0050661,"Delta14-sterol reductase activity;NADP binding;cholesterol biosynthetic process;cholesterol biosynthetic process via lathosterol;endoplasmic reticulum;endoplasmic reticulum membrane;membrane;nuclear inner membrane;oxidoreductase activity, acting on the CH-CH group of donors, NAD or NADP as acceptor;plasma membrane;protein binding;signaling receptor complex;sterol biosynthetic process",GO:0006695;GO:0016126;GO:0033490,cholesterol biosynthetic process;cholesterol biosynthetic process via lathosterol;sterol biosynthetic process,GO:0005515;GO:0016628;GO:0050613;GO:0050661,"Delta14-sterol reductase activity;NADP binding;oxidoreductase activity, acting on the CH-CH group of donors, NAD or NADP as acceptor;protein binding",GO:0005637;GO:0005783;GO:0005789;GO:0005886;GO:0016020;GO:0043235,endoplasmic reticulum;endoplasmic reticulum membrane;membrane;nuclear inner membrane;plasma membrane;signaling receptor complex
O95749,0,2,Rosuvastatin;atorvastatin,GGPS1,,2,2,PathBank:SMP0000092;PathBank:SMP0000131,Rosuvastatin;atorvastatin,2,pathway_predominant,16,GO:0004161;GO:0004311;GO:0004337;GO:0004659;GO:0005515;GO:0005737;GO:0005829;GO:0006720;GO:0008299;GO:0030018;GO:0033384;GO:0033386;GO:0042802;GO:0045337;GO:0048471;GO:0120531,"(2E,6E)-farnesyl diphosphate synthase activity;Z disc;cytoplasm;cytosol;dimethylallyltranstransferase activity;farnesyl diphosphate biosynthetic process;geranyl diphosphate biosynthetic process;geranylgeranyl diphosphate biosynthetic process;geranylgeranyl diphosphate synthase activity;identical protein binding;isoprenoid biosynthetic process;isoprenoid metabolic process;perinuclear region of cytoplasm;prenyl diphosphate synthase activity;prenyltransferase activity;protein binding",GO:0006720;GO:0008299;GO:0033384;GO:0033386;GO:0045337,farnesyl diphosphate biosynthetic process;geranyl diphosphate biosynthetic process;geranylgeranyl diphosphate biosynthetic process;isoprenoid biosynthetic process;isoprenoid metabolic process,GO:0004161;GO:0004311;GO:0004337;GO:0004659;GO:0005515;GO:0042802;GO:0120531,"(2E,6E)-farnesyl diphosphate synthase activity;dimethylallyltranstransferase activity;geranylgeranyl diphosphate synthase activity;identical protein binding;prenyl diphosphate synthase activity;prenyltransferase activity;protein binding",GO:0005737;GO:0005829;GO:0030018;GO:0048471,Z disc;cytoplasm;cytosol;perinuclear region of cytoplasm
P14324,0,2,Rosuvastatin;atorvastatin,FDPS,,2,2,PathBank:SMP0000092;PathBank:SMP0000131,Rosuvastatin;atorvastatin,2,pathway_predominant,17,GO:0003723;GO:0004161;GO:0004337;GO:0004659;GO:0005515;GO:0005737;GO:0005829;GO:0006695;GO:0008299;GO:0010142;GO:0016765;GO:0033384;GO:0033386;GO:0033489;GO:0033490;GO:0036197;GO:0045337,"(2E,6E)-farnesyl diphosphate synthase activity;RNA binding;cholesterol biosynthetic process;cholesterol biosynthetic process via desmosterol;cholesterol biosynthetic process via lathosterol;cytoplasm;cytosol;dimethylallyltranstransferase activity;farnesyl diphosphate biosynthetic process;farnesyl diphosphate biosynthetic process, mevalonate pathway;geranyl diphosphate biosynthetic process;geranylgeranyl diphosphate biosynthetic process;isoprenoid biosynthetic process;prenyltransferase activity;protein binding;transferase activity, transferring alkyl or aryl (other than methyl) groups;zymosterol biosynthetic process",GO:0006695;GO:0008299;GO:0010142;GO:0033384;GO:0033386;GO:0033489;GO:0033490;GO:0036197;GO:0045337,"cholesterol biosynthetic process;cholesterol biosynthetic process via desmosterol;cholesterol biosynthetic process via lathosterol;farnesyl diphosphate biosynthetic process;farnesyl diphosphate biosynthetic process, mevalonate pathway;geranyl diphosphate biosynthetic process;geranylgeranyl diphosphate biosynthetic process;isoprenoid biosynthetic process;zymosterol biosynthetic process",GO:0003723;GO:0004161;GO:0004337;GO:0004659;GO:0005515;GO:0016765,"(2E,6E)-farnesyl diphosphate synthase activity;RNA binding;dimethylallyltranstransferase activity;prenyltransferase activity;protein binding;transferase activity, transferring alkyl or aryl (other than methyl) groups",GO:0005737;GO:0005829,cytoplasm;cytosol
P35610,0,2,Rosuvastatin;atorvastatin,SOAT1,,2,2,PathBank:SMP0000092;PathBank:SMP0000131,Rosuvastatin;atorvastatin,2,pathway_predominant,17,GO:0000062;GO:0004772;GO:0005515;GO:0005783;GO:0005789;GO:0008203;GO:0008374;GO:0010742;GO:0010878;GO:0015485;GO:0016020;GO:0033344;GO:0034379;GO:0034383;GO:0034736;GO:0042632;GO:0042986,cholesterol O-acyltransferase activity;cholesterol binding;cholesterol efflux;cholesterol homeostasis;cholesterol metabolic process;cholesterol storage;endoplasmic reticulum;endoplasmic reticulum membrane;fatty-acyl-CoA binding;low-density lipoprotein particle clearance;macrophage derived foam cell differentiation;membrane;obsolete O-acyltransferase activity;positive regulation of amyloid precursor protein biosynthetic process;protein binding;sterol O-acyltransferase activity;very-low-density lipoprotein particle assembly,GO:0008203;GO:0010742;GO:0010878;GO:0033344;GO:0034379;GO:0034383;GO:0042632;GO:0042986,cholesterol efflux;cholesterol homeostasis;cholesterol metabolic process;cholesterol storage;low-density lipoprotein particle clearance;macrophage derived foam cell differentiation;positive regulation of amyloid precursor protein biosynthetic process;very-low-density lipoprotein particle assembly,GO:0000062;GO:0004772;GO:0005515;GO:0008374;GO:0015485;GO:0034736,cholesterol O-acyltransferase activity;cholesterol binding;fatty-acyl-CoA binding;obsolete O-acyltransferase activity;protein binding;sterol O-acyltransferase activity,GO:0005783;GO:0005789;GO:0016020,endoplasmic reticulum;endoplasmic reticulum membrane;membrane
P37268,0,2,Rosuvastatin;atorvastatin,FDFT1,,2,2,PathBank:SMP0000092;PathBank:SMP0000131,Rosuvastatin;atorvastatin,2,pathway_predominant,14,GO:0005515;GO:0005783;GO:0005789;GO:0006694;GO:0006695;GO:0008610;GO:0016020;GO:0016765;GO:0033489;GO:0033490;GO:0036197;GO:0045338;GO:0051996;GO:0098554,"cholesterol biosynthetic process;cholesterol biosynthetic process via desmosterol;cholesterol biosynthetic process via lathosterol;cytoplasmic side of endoplasmic reticulum membrane;endoplasmic reticulum;endoplasmic reticulum membrane;farnesyl diphosphate metabolic process;lipid biosynthetic process;membrane;protein binding;squalene synthase [NAD(P)H] activity;steroid biosynthetic process;transferase activity, transferring alkyl or aryl (other than methyl) groups;zymosterol biosynthetic process",GO:0006694;GO:0006695;GO:0008610;GO:0033489;GO:0033490;GO:0036197;GO:0045338,cholesterol biosynthetic process;cholesterol biosynthetic process via desmosterol;cholesterol biosynthetic process via lathosterol;farnesyl diphosphate metabolic process;lipid biosynthetic process;steroid biosynthetic process;zymosterol biosynthetic process,GO:0005515;GO:0016765;GO:0051996,"protein binding;squalene synthase [NAD(P)H] activity;transferase activity, transferring alkyl or aryl (other than methyl) groups",GO:0005783;GO:0005789;GO:0016020;GO:0098554,cytoplasmic side of endoplasmic reticulum membrane;endoplasmic reticulum;endoplasmic reticulum membrane;membrane
P38571,0,2,Rosuvastatin;atorvastatin,LIPA,,2,2,PathBank:SMP0000092;PathBank:SMP0000131,Rosuvastatin;atorvastatin,2,pathway_predominant,10,GO:0004771;GO:0004806;GO:0005764;GO:0016125;GO:0016298;GO:0016788;GO:0034383;GO:0043202;GO:0052689;GO:0120516,"carboxylic ester hydrolase activity;diacylglycerol lipase activity;hydrolase activity, acting on ester bonds;lipase activity;low-density lipoprotein particle clearance;lysosomal lumen;lysosome;sterol ester esterase activity;sterol metabolic process;triacylglycerol lipase activity",GO:0016125;GO:0034383,low-density lipoprotein particle clearance;sterol metabolic process,GO:0004771;GO:0004806;GO:0016298;GO:0016788;GO:0052689;GO:0120516,"carboxylic ester hydrolase activity;diacylglycerol lipase activity;hydrolase activity, acting on ester bonds;lipase activity;sterol ester esterase activity;triacylglycerol lipase activity",GO:0005764;GO:0043202,lysosomal lumen;lysosome
P48449,0,2,Rosuvastatin;atorvastatin,LSS,,2,2,PathBank:SMP0000092;PathBank:SMP0000131,Rosuvastatin;atorvastatin,2,pathway_predominant,14,GO:0000250;GO:0005515;GO:0005789;GO:0005811;GO:0006694;GO:0006695;GO:0016020;GO:0016104;GO:0016866;GO:0031647;GO:0033489;GO:0033490;GO:0036197;GO:0098554,cholesterol biosynthetic process;cholesterol biosynthetic process via desmosterol;cholesterol biosynthetic process via lathosterol;cytoplasmic side of endoplasmic reticulum membrane;endoplasmic reticulum membrane;intramolecular transferase activity;lanosterol synthase activity;lipid droplet;membrane;protein binding;regulation of protein stability;steroid biosynthetic process;triterpenoid biosynthetic process;zymosterol biosynthetic process,GO:0006694;GO:0006695;GO:0016104;GO:0031647;GO:0033489;GO:0033490;GO:0036197,cholesterol biosynthetic process;cholesterol biosynthetic process via desmosterol;cholesterol biosynthetic process via lathosterol;regulation of protein stability;steroid biosynthetic process;triterpenoid biosynthetic process;zymosterol biosynthetic process,GO:0000250;GO:0005515;GO:0016866,intramolecular transferase activity;lanosterol synthase activity;protein binding,GO:0005789;GO:0005811;GO:0016020;GO:0098554,cytoplasmic side of endoplasmic reticulum membrane;endoplasmic reticulum membrane;lipid droplet;membrane
P53602,0,2,Rosuvastatin;atorvastatin,MVD,,2,2,PathBank:SMP0000092;PathBank:SMP0000131,Rosuvastatin;atorvastatin,2,pathway_predominant,16,GO:0004163;GO:0005737;GO:0005777;GO:0005829;GO:0006695;GO:0008284;GO:0008299;GO:0010142;GO:0016831;GO:0019287;GO:0030544;GO:0033386;GO:0033489;GO:0033490;GO:0036197;GO:0042803,"Hsp70 protein binding;carboxy-lyase activity;cholesterol biosynthetic process;cholesterol biosynthetic process via desmosterol;cholesterol biosynthetic process via lathosterol;cytoplasm;cytosol;diphosphomevalonate decarboxylase activity;farnesyl diphosphate biosynthetic process, mevalonate pathway;geranylgeranyl diphosphate biosynthetic process;isopentenyl diphosphate biosynthetic process, mevalonate pathway;isoprenoid biosynthetic process;peroxisome;positive regulation of cell population proliferation;protein homodimerization activity;zymosterol biosynthetic process",GO:0006695;GO:0008284;GO:0008299;GO:0010142;GO:0019287;GO:0033386;GO:0033489;GO:0033490;GO:0036197,"cholesterol biosynthetic process;cholesterol biosynthetic process via desmosterol;cholesterol biosynthetic process via lathosterol;farnesyl diphosphate biosynthetic process, mevalonate pathway;geranylgeranyl diphosphate biosynthetic process;isopentenyl diphosphate biosynthetic process, mevalonate pathway;isoprenoid biosynthetic process;positive regulation of cell population proliferation;zymosterol biosynthetic process",GO:0004163;GO:0016831;GO:0030544;GO:0042803,Hsp70 protein binding;carboxy-lyase activity;diphosphomevalonate decarboxylase activity;protein homodimerization activity,GO:0005737;GO:0005777;GO:0005829,cytoplasm;cytosol;peroxisome
P56937,0,2,Rosuvastatin;atorvastatin,HSD17B7,,2,2,PathBank:SMP0000092;PathBank:SMP0000131,Rosuvastatin;atorvastatin,2,pathway_predominant,15,GO:0000253;GO:0004303;GO:0005739;GO:0005783;GO:0005789;GO:0006694;GO:0006695;GO:0006703;GO:0007420;GO:0008209;GO:0033489;GO:0033490;GO:0036197;GO:0047024;GO:0048568,"3-beta-hydroxysteroid 3-dehydrogenase (NADP+) activity;5-alpha-androstane-3-beta,17-beta-diol dehydrogenase (NADP+) activity;androgen metabolic process;brain development;cholesterol biosynthetic process;cholesterol biosynthetic process via desmosterol;cholesterol biosynthetic process via lathosterol;embryonic organ development;endoplasmic reticulum;endoplasmic reticulum membrane;estradiol 17-beta-dehydrogenase [NAD(P)+] activity;estrogen biosynthetic process;mitochondrion;steroid biosynthetic process;zymosterol biosynthetic process",GO:0006694;GO:0006695;GO:0006703;GO:0007420;GO:0008209;GO:0033489;GO:0033490;GO:0036197;GO:0048568,androgen metabolic process;brain development;cholesterol biosynthetic process;cholesterol biosynthetic process via desmosterol;cholesterol biosynthetic process via lathosterol;embryonic organ development;estrogen biosynthetic process;steroid biosynthetic process;zymosterol biosynthetic process,GO:0000253;GO:0004303;GO:0047024,"3-beta-hydroxysteroid 3-dehydrogenase (NADP+) activity;5-alpha-androstane-3-beta,17-beta-diol dehydrogenase (NADP+) activity;estradiol 17-beta-dehydrogenase [NAD(P)+] activity",GO:0005739;GO:0005783;GO:0005789,endoplasmic reticulum;endoplasmic reticulum membrane;mitochondrion
Q03426,0,2,Rosuvastatin;atorvastatin,MVK,,2,2,PathBank:SMP0000092;PathBank:SMP0000131,Rosuvastatin;atorvastatin,2,pathway_predominant,18,GO:0000287;GO:0004496;GO:0005515;GO:0005524;GO:0005737;GO:0005777;GO:0005829;GO:0006695;GO:0008299;GO:0010142;GO:0016125;GO:0019287;GO:0033386;GO:0033489;GO:0033490;GO:0036197;GO:0042802;GO:0050728,"ATP binding;cholesterol biosynthetic process;cholesterol biosynthetic process via desmosterol;cholesterol biosynthetic process via lathosterol;cytoplasm;cytosol;farnesyl diphosphate biosynthetic process, mevalonate pathway;geranylgeranyl diphosphate biosynthetic process;identical protein binding;isopentenyl diphosphate biosynthetic process, mevalonate pathway;isoprenoid biosynthetic process;magnesium ion binding;mevalonate kinase activity;negative regulation of inflammatory response;peroxisome;protein binding;sterol metabolic process;zymosterol biosynthetic process",GO:0006695;GO:0008299;GO:0010142;GO:0016125;GO:0019287;GO:0033386;GO:0033489;GO:0033490;GO:0036197;GO:0050728,"cholesterol biosynthetic process;cholesterol biosynthetic process via desmosterol;cholesterol biosynthetic process via lathosterol;farnesyl diphosphate biosynthetic process, mevalonate pathway;geranylgeranyl diphosphate biosynthetic process;isopentenyl diphosphate biosynthetic process, mevalonate pathway;isoprenoid biosynthetic process;negative regulation of inflammatory response;sterol metabolic process;zymosterol biosynthetic process",GO:0000287;GO:0004496;GO:0005515;GO:0005524;GO:0042802,ATP binding;identical protein binding;magnesium ion binding;mevalonate kinase activity;protein binding,GO:0005737;GO:0005777;GO:0005829,cytoplasm;cytosol;peroxisome
