canonical_target,total_count,n_compounds,compounds
GOT2,2,1,caffeine
GPS1,2,1,caffeine
GPX1,2,1,caffeine
GPX3,2,1,caffeine
GRB10,2,1,caffeine
GRIN1,2,1,caffeine
GRIN2A,2,1,caffeine
GRK2,2,1,caffeine
GRK5,2,1,caffeine
GSR,2,1,caffeine
GTF2E1,2,1,caffeine
GTF2F2,2,1,caffeine
GTF3C1,2,1,caffeine
GYS1,2,1,caffeine
HDAC1,2,1,caffeine
HDAC2,2,1,caffeine
HDGF,2,1,caffeine
HIF1A,2,1,caffeine
HINT1,2,1,caffeine
HIP1,2,1,caffeine
HIVEP1,2,1,caffeine
HIVEP2,2,1,caffeine
HLCS,2,1,caffeine
HMGN1,2,1,caffeine
HMOX1,2,1,Ginsenoside rb1
HNRNPAB,2,1,caffeine
HNRNPD,2,1,caffeine
HNRNPH2,2,1,caffeine
HNRNPH3,2,1,caffeine
HNRNPL,2,1,caffeine
HNRNPU,2,1,caffeine
HOXB7,2,1,caffeine
HOXD4,2,1,caffeine
HPD,2,1,caffeine
HPRT1,2,1,caffeine
HRAS,2,1,caffeine
HRC,2,1,caffeine
HSD17B3,2,1,caffeine
HSP90AB1,2,1,caffeine
HSPA1B,2,1,caffeine
HSPD1,2,1,caffeine
HSPG2,2,1,caffeine
HTR7,2,1,maprotiline
HTT,2,1,caffeine
IBSP,2,1,caffeine
ID2,2,1,caffeine
ID3,2,1,caffeine
IFNAR2,2,1,caffeine
IFNGR1,2,1,caffeine
IGF2,2,1,caffeine
IGF2R,2,1,caffeine
IGLC6,2,1,caffeine
IGSF1,2,1,caffeine
IL10,2,1,caffeine
IL12A,2,1,caffeine
IL12B,2,1,caffeine
IL2RA,2,1,caffeine
IL4RA,2,1,caffeine
IL5,2,1,caffeine
IL6ST,2,1,caffeine
IMPDH2,2,1,caffeine
INCENP,2,1,caffeine
INPP5D,2,1,caffeine
INPPL1,2,1,caffeine
INS,2,1,caffeine
INSIG1,2,1,caffeine
IP3R1,2,1,caffeine
IRAK1,2,1,caffeine
IREB2,2,1,caffeine
IRS1,2,1,caffeine
ITGA4,2,1,caffeine
ITGB1,2,1,caffeine
ITGB4,2,1,caffeine
ITIH2,2,1,caffeine
ITPKA,2,1,caffeine
ITPR3,2,1,caffeine
JAG1,2,1,caffeine
JAK3,2,1,caffeine
JARID2,2,1,caffeine
JUNB,2,1,caffeine
JUND,2,1,caffeine
JUP,2,1,caffeine
KARS1,2,1,caffeine
KCNK2,2,1,caffeine
KDR,2,1,caffeine
KHSRP,2,1,caffeine
KIDINS220,2,1,caffeine
KIF22,2,1,caffeine
KIFC3,2,1,caffeine
KLF4,2,1,caffeine
KPNA2,2,1,caffeine
KPNB1,2,1,caffeine
KRT1,2,1,caffeine
KRT84,2,1,caffeine
KTN1,2,1,caffeine
LAD1,2,1,caffeine
LAMB1,2,1,caffeine
LASP1,2,1,caffeine
