uniprot_accession,total_count,n_compounds,compounds,symbol,geneid,n_pathways,pathways
P40126,4.0,1.0,caffeine,DCT,1638,1.0,Reactome_R-HSA-1430728
P42575,4.0,1.0,caffeine,CASP2,835,0.0,
P48506,4.0,1.0,caffeine,GCLC,2729,2.0,Reactome_R-HSA-1430728;Reactome_R-HSA-211859
P49675,4.0,1.0,caffeine,STAR,6770,1.0,Reactome_R-HSA-1430728
P49840,4.0,1.0,caffeine,GSK3A,2931,0.0,
P49841,4.0,1.0,caffeine,GSK3B,2932,0.0,
P50052,4.0,1.0,caffeine,AGTR2,186,0.0,
P50416,4.0,1.0,caffeine,CPT1A,1374,1.0,Reactome_R-HSA-1430728
P51959,4.0,1.0,caffeine,CCNG1,900,0.0,
P52597,4.0,1.0,caffeine,HNRNPF,3185,0.0,
P53396,4.0,1.0,caffeine,ACLY,47,1.0,Reactome_R-HSA-1430728
P55010,4.0,1.0,caffeine,EIF5,1983,0.0,
P60709,4.0,1.0,caffeine,ACTB,60,0.0,
P68104,4.0,1.0,caffeine,EEF1A1,1915,0.0,
P80365,4.0,1.0,caffeine,HSD11B2,3291,0.0,
P80404,4.0,1.0,caffeine,ABAT,18,0.0,
Q00341,4.0,1.0,caffeine,HDLBP,3069,0.0,
Q07343,4.0,1.0,caffeine,PDE4B,5142,0.0,
Q08334,4.0,1.0,caffeine,IL10RB,3588,0.0,
Q08462,4.0,1.0,forskolin,ADCY2,108,0.0,
Q12983,4.0,1.0,caffeine,BNIP3,664,0.0,
Q13085,4.0,1.0,caffeine,ACACA,31,1.0,Reactome_R-HSA-1430728
Q13231,4.0,1.0,caffeine,CHIT1,1118,0.0,
Q13255,4.0,1.0,caffeine,GRM1,2911,0.0,
Q13541,4.0,1.0,caffeine,EIF4EBP1,1978,0.0,
Q92887,4.0,1.0,caffeine,ABCC2,1244,1.0,Reactome_R-HSA-1430728
Q9UBC3,4.0,1.0,caffeine,DNMT3B,1789,0.0,
Q9Y6K1,4.0,1.0,caffeine,DNMT3A,1788,0.0,
O60503,3.0,2.0,caffeine;forskolin,ADCY9,115,0.0,
P01100,3.0,2.0,Ginsenoside rb1;caffeine,FOS,2353,0.0,
P01137,3.0,2.0,Ginsenoside rb1;caffeine,TGFB1,7040,0.0,
P02649,3.0,2.0,Ethanolamine;caffeine,APOE,348,1.0,Reactome_R-HSA-1430728
P07339,3.0,2.0,Ginsenoside rb1;caffeine,CTSD,1509,0.0,
P11215,3.0,2.0,Ginsenoside rb1;caffeine,ITGAM,3684,0.0,
P11511,3.0,2.0,caffeine;forskolin,CYP19A1,1588,4.0,Reactome_R-HSA-1430728;Reactome_R-HSA-211859;Reactome_R-HSA-211897;Reactome_R-HSA-211945
P21281,3.0,2.0,Ginsenoside rb1;caffeine,ATP6V1B2,526,0.0,
P28482,3.0,2.0,caffeine;forskolin,MAPK1,5594,0.0,
P49588,3.0,2.0,bethanechol;caffeine,AARS1,16,0.0,
P51828,3.0,2.0,caffeine;forskolin,ADCY7,113,0.0,
Q06278,3.0,2.0,caffeine;maprotiline,AOX1,316,1.0,Reactome_R-HSA-1430728
Q12809,3.0,2.0,Ginsenoside rb1;caffeine,KCNH2,3757,0.0,
Q8WUI4,3.0,2.0,caffeine;forskolin,HDAC7,51564,0.0,
Q92793,3.0,2.0,caffeine;forskolin,CREBBP,1387,1.0,Reactome_R-HSA-1430728
O76074,3.0,1.0,caffeine,PDE5A,8654,0.0,
P01130,3.0,1.0,caffeine,LDLR,3949,1.0,Reactome_R-HSA-1430728
P02340,3.0,1.0,caffeine,TRP53,22059,0.0,
P05181,3.0,1.0,caffeine,CYP2E1,1571,2.0,PathBank_SMP0000028;Reactome_R-HSA-1430728
P06213,3.0,1.0,caffeine,INSR,3643,0.0,
P08913,3.0,1.0,maprotiline,ADRA2A,150,0.0,
P15692,3.0,1.0,caffeine,VEGFA,7422,0.0,
P18089,3.0,1.0,maprotiline,ADRA2B,151,0.0,
P18825,3.0,1.0,maprotiline,ADRA2C,152,0.0,
P23246,3.0,1.0,caffeine,SFPQ,6421,0.0,
P25099,3.0,1.0,caffeine,ADORA1,29290,0.0,
P25100,3.0,1.0,maprotiline,ADRA1D,146,0.0,
P28223,3.0,1.0,maprotiline,HTR2A,3356,0.0,
P28335,3.0,1.0,maprotiline,HTR2C,3358,0.0,
P35367,3.0,1.0,maprotiline,HRH1,3269,0.0,
P41159,3.0,1.0,caffeine,LEP,3952,0.0,
P48357,3.0,1.0,caffeine,LEPR,3953,0.0,
P48436,3.0,1.0,caffeine,SOX9,6662,0.0,
Q13177,3.0,1.0,caffeine,PAK2,5062,0.0,
Q14534,3.0,1.0,caffeine,SQLE,6713,1.0,Reactome_R-HSA-1430728
Q14571,3.0,1.0,caffeine,ITPR2,3709,1.0,Reactome_R-HSA-1430728
Q15413,3.0,1.0,caffeine,RYR3,6263,0.0,
Q16678,3.0,1.0,caffeine,CYP1B1,1545,4.0,Reactome_R-HSA-1430728;Reactome_R-HSA-211859;Reactome_R-HSA-211897;Reactome_R-HSA-211945
Q96EB6,3.0,1.0,caffeine,SIRT1,23411,0.0,
P02763,2.0,2.0,caffeine;maprotiline,ORM1,5004,0.0,
P03372,2.0,2.0,Ethanolamine;forskolin,ESR1,2099,0.0,
P06401,2.0,2.0,Ginsenoside rb1;caffeine,PGR,5241,0.0,
P11473,2.0,2.0,caffeine;forskolin,VDR,7421,1.0,Reactome_R-HSA-1430728
P27338,2.0,2.0,caffeine;maprotiline,MAOB,4129,3.0,Reactome_R-HSA-1430728;Reactome_R-HSA-211859;Reactome_R-HSA-211945
P27361,2.0,2.0,caffeine;forskolin,MAPK3,5595,0.0,
P35869,2.0,2.0,Ethanolamine;forskolin,AHR,196,5.0,Reactome_R-HSA-1430728;Reactome_R-HSA-211859;Reactome_R-HSA-211897;Reactome_R-HSA-211945;Reactome_R-HSA-211981
Q13950,2.0,2.0,Ginsenoside rb1;caffeine,RUNX2,860,0.0,
Q96QE3,2.0,2.0,caffeine;forskolin,ATAD5,79915,0.0,
Q9GZQ8,2.0,2.0,Ginsenoside rb1;caffeine,MAP1LC3B,81631,0.0,
A0FGR8,2.0,1.0,caffeine,ESYT2,57488,0.0,
O00148,2.0,1.0,caffeine,DDX39A,10212,0.0,
O00167,2.0,1.0,caffeine,EYA2,2139,0.0,
O00192,2.0,1.0,caffeine,ARVCF,421,0.0,
O00230,2.0,1.0,caffeine,CORT,1325,0.0,
O00273,2.0,1.0,caffeine,DFFA,1676,0.0,
O00291,2.0,1.0,caffeine,HIP1,3092,0.0,
O00299,2.0,1.0,caffeine,CLIC1,1192,0.0,
O00329,2.0,1.0,caffeine,PIK3CD,5293,2.0,Reactome_R-HSA-1430728;WikiPathways_WP2533
O00458,2.0,1.0,caffeine,IFRD1,3475,0.0,
O00512,2.0,1.0,caffeine,BCL9,607,0.0,
O00571,2.0,1.0,caffeine,DDX3X,1654,0.0,
O00763,2.0,1.0,caffeine,ACACB,32,1.0,Reactome_R-HSA-1430728
O14627,2.0,1.0,caffeine,CDX4,1046,0.0,
O14639,2.0,1.0,caffeine,ABLIM1,3983,0.0,
O14641,2.0,1.0,caffeine,DVL2,1856,0.0,
O14646,2.0,1.0,caffeine,CHD1,1105,0.0,
O14647,2.0,1.0,caffeine,CHD2,1106,0.0,
O14867,2.0,1.0,caffeine,BACH1,571,0.0,
O14920,2.0,1.0,caffeine,IKBKB,3551,0.0,
O14979,2.0,1.0,caffeine,HNRNPDL,9987,0.0,
O15123,2.0,1.0,caffeine,ANGPT2,285,0.0,
O15182,2.0,1.0,caffeine,CETN3,1070,0.0,
O15551,2.0,1.0,caffeine,CLDN3,1365,0.0,
O43237,2.0,1.0,caffeine,DYNC1LI2,1783,0.0,
O43293,2.0,1.0,caffeine,DAPK3,1613,0.0,
O43405,2.0,1.0,caffeine,COCH,1690,0.0,
O43424,2.0,1.0,caffeine,GRID2,2895,0.0,
O43491,2.0,1.0,caffeine,EPB41L2,2037,0.0,
O43524,2.0,1.0,caffeine,FOXO3,2309,0.0,
O43707,2.0,1.0,caffeine,ACTN4,81,0.0,
O43822,2.0,1.0,caffeine,CFAP410,755,0.0,
O43903,2.0,1.0,caffeine,GAS2,2620,0.0,
O60220,2.0,1.0,caffeine,TIMM8A,1678,0.0,
O60238,2.0,1.0,caffeine,BNIP3L,665,0.0,
O60331,2.0,1.0,caffeine,PIP5K1C,23396,0.0,
O60443,2.0,1.0,caffeine,GSDME,1687,0.0,
O60500,2.0,1.0,caffeine,NPHS1,4868,0.0,
O60566,2.0,1.0,caffeine,BUB1B,701,0.0,
O60583,2.0,1.0,caffeine,CCNT2,905,0.0,
O60610,2.0,1.0,caffeine,DIAPH1,1729,0.0,
O60658,2.0,1.0,caffeine,PDE8A,5151,0.0,
