uniprot_accession,total_count,n_compounds,compounds,symbol,geneid
Q00536,1,1,caffeine,CDK16,5127
Q00537,1,1,caffeine,CDK17,5128
Q00587,1,1,caffeine,CDC42EP1,11135
P78524,1,1,caffeine,DENND2B,6764
P78562,1,1,caffeine,PHEX,5251
O75717,1,1,caffeine,WDHD1,11169
O75764,1,1,caffeine,TCEA3,6920
O75808,1,1,caffeine,CAPN15,6650
O75815,1,1,caffeine,BCAR3,8412
O75496,1,1,caffeine,GMNN,51053
O75508,1,1,caffeine,CLDN11,5010
O75509,1,1,caffeine,TNFRSF21,27242
O75521,1,1,caffeine,ECI2,10455
O75531,1,1,caffeine,BANF1,8815
O75533,1,1,caffeine,SF3B1,23451
O75554,1,1,caffeine,WBP4,11193
O75564,1,1,caffeine,JRK,8629
O75569,1,1,caffeine,PRKRA,8575
O75592,1,1,caffeine,MYCBP2,23077
O75190,1,1,caffeine,DNAJB6,10049
O75192,1,1,Ethanolamine,PEX11A,8800
O75319,1,1,caffeine,DUSP11,8446
Q00975,1,1,maprotiline,CACNA1B,774
Q01064,1,1,caffeine,PDE1B,5153
Q01082,1,1,caffeine,SPTBN1,6711
Q03181,1,1,forskolin,PPARD,5467
Q03426,1,1,caffeine,MVK,4598
Q03989,1,1,caffeine,ARID5A,10865
Q04206,1,1,Ginsenoside rb1,RELA,5970
Q01638,1,1,caffeine,IL1RL1,9173
Q01664,1,1,caffeine,TFAP4,7023
Q01804,1,1,caffeine,OTUD4,54726
Q01813,1,1,caffeine,PFKP,5214
Q01831,1,1,caffeine,XPC,7508
Q01970,1,1,caffeine,PLCB3,5331
Q01995,1,1,caffeine,TAGLN,6876
Q02040,1,1,caffeine,AKAP17A,8227
Q02086,1,1,caffeine,SP2,6668
Q02252,1,1,caffeine,ALDH6A1,4329
Q00653,1,1,caffeine,NFKB2,4791
O75473,1,1,caffeine,LGR5,8549
O75385,1,1,caffeine,ULK1,8408
O75387,1,1,caffeine,SLC43A1,8501
O75391,1,1,caffeine,SPAG7,9552
O75396,1,1,caffeine,SEC22B,9554
O75398,1,1,caffeine,DEAF1,10522
O75410,1,1,caffeine,TACC1,6867
O75420,1,1,caffeine,GIGYF1,64599
O75427,1,1,caffeine,LRCH4,4034
O75436,1,1,caffeine,VPS26A,9559
O75052,1,1,caffeine,NOS1AP,9722
O75069,1,1,caffeine,TMCC2,9911
O75096,1,1,caffeine,LRP4,4038
Q02817,1,1,forskolin,MUC2,4583
Q02818,1,1,caffeine,NUCB1,4924
Q02880,1,1,caffeine,TOP2B,7155
Q02952,1,1,caffeine,AKAP12,9590
Q07955,1,1,caffeine,SRSF1,6426
Q08170,1,1,caffeine,SRSF4,6429
Q08357,1,1,caffeine,SLC20A2,6575
Q04725,1,1,caffeine,TLE2,7089
Q04726,1,1,caffeine,TLE3,7090
Q05519,1,1,caffeine,SRSF11,9295
Q06418,1,1,caffeine,TYRO3,7301
Q06730,1,1,caffeine,ZNF33A,7581
Q06945,1,1,caffeine,SOX4,6659
Q07002,1,1,caffeine,CDK18,5129
Q07157,1,1,caffeine,TJP1,7082
Q02446,1,1,caffeine,SP4,6671
Q02447,1,1,caffeine,SP3,6670
O75362,1,1,caffeine,ZNF217,7764
O75376,1,1,caffeine,NCOR1,9611
O75381,1,1,caffeine,PEX14,5195
O75122,1,1,caffeine,CLASP2,23122
O75123,1,1,caffeine,ZNF623,9831
O75132,1,1,caffeine,ZBED4,9889
O75140,1,1,caffeine,DEPDC5,9681
O75151,1,1,caffeine,PHF2,5253
O75152,1,1,caffeine,ZC3H11A,9877
O75153,1,1,caffeine,CLUH,23277
O75161,1,1,caffeine,NPHP4,261734
O75164,1,1,caffeine,KDM4A,9682
O75167,1,1,caffeine,PHACTR2,9749
O75179,1,1,caffeine,ANKRD17,26057
O60729,1,1,caffeine,CDC14B,8555
O60739,1,1,caffeine,EIF1B,10289
O60749,1,1,caffeine,SNX2,6643
Q07869,1,1,caffeine,PPARA,5465
Q07889,1,1,caffeine,SOS1,6654
Q12791,1,1,forskolin,KCNMA1,3778
Q12792,1,1,caffeine,TWF1,5756
Q12802,1,1,caffeine,AKAP13,11214
Q12815,1,1,caffeine,TROAP,10024
Q12846,1,1,caffeine,STX4,6810
Q12851,1,1,caffeine,MAP4K2,5871
Q08499,1,1,caffeine,PDE4D,5144
Q08828,1,1,forskolin,ADCY1,107
Q08AD1,1,1,caffeine,CAMSAP2,23271
Q08AE8,1,1,caffeine,SPIRE1,56907
Q08J23,1,1,caffeine,NSUN2,54888
Q09666,1,1,caffeine,AHNAK,79026
Q0JRZ9,1,1,caffeine,FCHO2,115548
Q0VDD7,1,1,caffeine,BRME1,79173
Q07617,1,1,caffeine,SPAG1,6674
O75113,1,1,caffeine,N4BP1,9683
O60762,1,1,caffeine,DPM1,8813
O60763,1,1,caffeine,USO1,8615
O60779,1,1,caffeine,SLC19A2,10560
O60784,1,1,caffeine,TOM1,10043
O60825,1,1,caffeine,PFKFB2,5208
O60841,1,1,caffeine,EIF5B,9669
O60870,1,1,caffeine,KIN,22944
O60885,1,1,caffeine,BRD4,23476
O60907,1,1,caffeine,TBL1X,6907
O60934,1,1,caffeine,NBN,4683
O60936,1,1,caffeine,NOL3,8996
O75044,1,1,caffeine,SRGAP2,23380
O60493,1,1,caffeine,SNX3,8724
O60499,1,1,caffeine,STX10,8677
Q12770,1,1,caffeine,SCAP,22937
Q12774,1,1,caffeine,ARHGEF5,7984
O60502,1,1,caffeine,OGA,10724
O60504,1,1,caffeine,SORBS3,10174
O60506,1,1,caffeine,SYNCRIP,10492
O60524,1,1,caffeine,NEMF,9147
O60645,1,1,caffeine,EXOC3,11336
O60701,1,1,caffeine,UGDH,7358
O46051,1,1,caffeine,CYP4D14,45706
O46054,1,1,caffeine,CYP4AE1,31193
Q12874,1,1,caffeine,SF3A3,10946
Q12888,1,1,caffeine,TP53BP1,7158
Q12965,1,1,caffeine,MYO1E,4643
Q12968,1,1,caffeine,NFATC3,4775
Q12986,1,1,caffeine,NFX1,4799
Q0VF96,1,1,caffeine,CGNL1,84952
Q10570,1,1,caffeine,CPSF1,29894
Q12767,1,1,caffeine,TMEM94,9772
O60346,1,1,caffeine,PHLPP1,23239
O60353,1,1,caffeine,FZD6,8323
O43493,1,1,caffeine,TGOLN2,10618
Q13033,1,1,caffeine,STRN3,29966
Q13042,1,1,caffeine,CDC16,8881
Q13049,1,1,caffeine,TRIM32,22954
Q13107,1,1,caffeine,USP4,7375
Q13111,1,1,caffeine,CHAF1A,10036
Q13112,1,1,caffeine,CHAF1B,8208
Q13127,1,1,caffeine,REST,5978
Q13133,1,1,caffeine,NR1H3,10062
Q13148,1,1,caffeine,TARDBP,23435
Q13158,1,1,caffeine,FADD,8772
Q12857,1,1,caffeine,NFIA,4774
Q12870,1,1,caffeine,TCF15,6939
Q12872,1,1,caffeine,SFSWAP,6433
Q13469,1,1,caffeine,NFATC2,4773
Q13164,1,1,forskolin,MAPK7,5598
Q13188,1,1,caffeine,STK3,6788
Q13207,1,1,caffeine,TBX2,6909
Q13233,1,1,caffeine,MAP3K1,4214
Q13283,1,1,caffeine,G3BP1,10146
Q13009,1,1,caffeine,TIAM1,7074
Q13029,1,1,caffeine,PRDM2,7799
O60231,1,1,caffeine,DHX16,8449
O60258,1,1,caffeine,FGF17,8822
O60264,1,1,caffeine,SMARCA5,8467
O60266,1,1,forskolin,ADCY3,109
O60271,1,1,caffeine,SPAG9,9043
O60292,1,1,caffeine,SIPA1L3,23094
O60293,1,1,caffeine,ZFC3H1,196441
O60343,1,1,caffeine,TBC1D4,9882
O43674,1,1,caffeine,NDUFB5,4711
O43719,1,1,caffeine,HTATSF1,27336
O43752,1,1,caffeine,STX6,10228
O43815,1,1,caffeine,STRN,6801
O43889,1,1,forskolin,CREB3,10488
O43933,1,1,caffeine,PEX1,5189
O43255,1,1,caffeine,SIAH2,6478
O43294,1,1,caffeine,TGFB1I1,7041
Q13402,1,1,caffeine,MYO7A,4647
Q13415,1,1,caffeine,ORC1,4998
Q13424,1,1,caffeine,SNTA1,6640
Q13425,1,1,caffeine,SNTB2,6645
Q13426,1,1,caffeine,XRCC4,7518
Q13428,1,1,caffeine,TCOF1,6949
Q13442,1,1,caffeine,PDAP1,11333
Q13467,1,1,caffeine,FZD5,7855
Q13619,1,1,caffeine,CUL4A,8451
Q13620,1,1,caffeine,CUL4B,8450
Q13625,1,1,caffeine,TP53BP2,7159
Q13671,1,1,caffeine,RIN1,9610
Q13685,1,1,bethanechol,AAMP,14
Q13698,1,1,caffeine,CACNA1S,779
Q13769,1,1,caffeine,THOC5,8563
Q13505,1,1,caffeine,MTX1,4580
Q13506,1,1,caffeine,NAB1,4664
Q13507,1,1,caffeine,TRPC3,7222
Q13530,1,1,caffeine,SERINC3,10955
Q13561,1,1,caffeine,DCTN2,10540
Q13573,1,1,caffeine,SNW1,22938
Q13330,1,1,caffeine,MTA1,9112
O43572,1,1,caffeine,AKAP10,11216
O43609,1,1,caffeine,SPRY1,10252
O43312,1,1,caffeine,MTSS1,9788
O43353,1,1,caffeine,RIPK2,8767
O43379,1,1,caffeine,WDR62,284403
O43390,1,1,caffeine,HNRNPR,10236
O43399,1,1,caffeine,TPD52L2,7165
O43426,1,1,caffeine,SYNJ1,8867
O43463,1,1,caffeine,SUV39H1,6839
O43474,1,1,caffeine,KLF4,9314
O43482,1,1,caffeine,OIP5,11339
O43490,1,1,caffeine,PROM1,8842
O15439,1,1,caffeine,ABCC4,10257
O15503,1,1,caffeine,INSIG1,3638
O15516,1,1,caffeine,CLOCK,9575
Q13613,1,1,caffeine,MTMR1,8776
Q13614,1,1,caffeine,MTMR2,8898
Q13615,1,1,caffeine,MTMR3,8897
Q13813,1,1,caffeine,SPTAN1,6709
Q13838,1,1,caffeine,DDX39B,7919
Q13884,1,1,caffeine,SNTB1,6641
Q13946,1,1,caffeine,PDE7A,5150
Q14004,1,1,caffeine,CDK13,8621
Q14116,1,1,Ginsenoside rb1,IL18,3606
Q14123,1,1,caffeine,PDE1C,5137
Q14135,1,1,caffeine,VGLL4,9686
Q14137,1,1,caffeine,BOP1,23246
Q14151,1,1,caffeine,SAFB2,9667
Q14152,1,1,caffeine,EIF3A,8661
Q14153,1,1,caffeine,FAM53B,9679
Q14156,1,1,caffeine,EFR3A,23167
Q13574,1,1,caffeine,DGKZ,8525
Q13596,1,1,caffeine,SNX1,6642
O43306,1,1,forskolin,ADCY6,112
O15554,1,1,forskolin,KCNN4,3783
O35660,1,1,caffeine,GSTM6,14867
O43149,1,1,caffeine,ZZEF1,23140
O43150,1,1,caffeine,ASAP2,8853
O43164,1,1,caffeine,PJA2,9867
O43166,1,1,caffeine,SIPA1L1,26037
O43169,1,1,caffeine,CYB5B,80777
O43181,1,1,caffeine,NDUFS4,4724
O43189,1,1,caffeine,PHF1,5252
O15145,1,1,caffeine,ARPC3,10094
O15164,1,1,caffeine,TRIM24,8805
O15173,1,1,caffeine,PGRMC2,10424
Q14191,1,1,caffeine,WRN,7486
Q14202,1,1,caffeine,ZMYM3,9203
Q14241,1,1,caffeine,ELOA,6924
Q14258,1,1,caffeine,TRIM25,7706
Q14802,1,1,caffeine,FXYD3,5349
Q14807,1,1,caffeine,KIF22,3835
Q14457,1,1,caffeine,BECN1,8678
Q14511,1,1,caffeine,NEDD9,4739
Q14527,1,1,caffeine,HLTF,6596
Q14586,1,1,caffeine,ZNF267,10308
Q14667,1,1,caffeine,BLTP2,9703
Q14669,1,1,caffeine,TRIP12,9320
Q14674,1,1,caffeine,ESPL1,9700
Q14677,1,1,caffeine,CLINT1,9685
Q14678,1,1,caffeine,KANK1,23189
Q14157,1,1,caffeine,UBAP2L,9898
Q14160,1,1,caffeine,SCRIB,23513
Q14161,1,1,caffeine,GIT2,9815
O15527,1,1,caffeine,OGG1,4968
O15530,1,1,caffeine,PDPK1,5170
Q14CZ7,1,1,caffeine,FASTKD3,79072
Q14CZ8,1,1,caffeine,HEPACAM,220296
Q15003,1,1,caffeine,NCAPH,23397
Q15018,1,1,caffeine,ABRAXAS2,23172
Q14679,1,1,caffeine,TTLL4,9654
Q14683,1,1,caffeine,SMC1A,8243
Q14687,1,1,caffeine,GSE1,23199
Q14689,1,1,caffeine,DIP2A,23181
Q14690,1,1,caffeine,PDCD11,22984
Q14692,1,1,caffeine,BMS1,9790
Q14693,1,1,caffeine,LPIN1,23175
Q14694,1,1,caffeine,USP10,9100
Q14697,1,1,caffeine,GANAB,23193
Q14738,1,1,caffeine,PPP2R5D,5528
Q14739,1,1,caffeine,LBR,3930
Q147X3,1,1,caffeine,NAA30,122830
Q15052,1,1,caffeine,ARHGEF6,9459
Q15056,1,1,caffeine,EIF4H,7458
Q15059,1,1,caffeine,BRD3,8019
Q15061,1,1,caffeine,WDR43,23160
Q15075,1,1,caffeine,EEA1,8411
Q14847,1,1,caffeine,LASP1,3927
Q14896,1,1,caffeine,MYBPC3,4607
Q14938,1,1,caffeine,NFIX,4784
Q14966,1,1,caffeine,ZNF638,27332
Q14974,1,1,caffeine,KPNB1,3837
Q14978,1,1,caffeine,NOLC1,9221
Q14980,1,1,caffeine,NUMA1,4926
Q14BN4,1,1,caffeine,SLMAP,7871
Q14C86,1,1,caffeine,GAPVD1,26130
Q14CS0,1,1,caffeine,UBXN2B,137886
Q14CW9,1,1,caffeine,ATXN7L3,56970
Q15366,1,1,caffeine,PCBP2,5094
Q15388,1,1,caffeine,TOMM20,9804
Q15398,1,1,caffeine,DLGAP5,9787
Q15424,1,1,caffeine,SAFB,6294
Q15435,1,1,caffeine,PPP1R7,5510
Q15436,1,1,caffeine,SEC23A,10484
Q15020,1,1,caffeine,SART3,9733
Q15021,1,1,caffeine,NCAPD2,9918
Q15022,1,1,caffeine,SUZ12,23512
Q15025,1,1,caffeine,TNIP1,10318
Q15029,1,1,caffeine,EFTUD2,9343
Q15036,1,1,caffeine,SNX17,9784
Q15041,1,1,caffeine,ARL6IP1,23204
Q15046,1,1,caffeine,KARS1,3735
Q15047,1,1,caffeine,SETDB1,9869
Q15050,1,1,caffeine,RRS1,23212
Q15477,1,1,caffeine,SKIC2,6499
Q15545,1,1,caffeine,TAF7,6879
Q15555,1,1,caffeine,MAPRE2,10982
Q15572,1,1,caffeine,TAF1C,9013
Q15596,1,1,caffeine,NCOA2,10499
Q15599,1,1,caffeine,NHERF2,9351
Q15633,1,1,caffeine,TARBP2,6895
Q15642,1,1,caffeine,TRIP10,9322
Q15643,1,1,caffeine,TRIP11,9321
Q15697,1,1,caffeine,ZNF174,7727
Q15121,1,1,caffeine,PEA15,8682
Q15125,1,1,caffeine,EBP,10682
Q15149,1,1,caffeine,PLEC,5339
Q15154,1,1,caffeine,PCM1,5108
Q15233,1,1,caffeine,NONO,4841
Q15365,1,1,caffeine,PCBP1,5093
Q15464,1,1,caffeine,SHB,6461
Q15465,1,1,caffeine,SHH,6469
O15198,1,1,caffeine,SMAD9,4093
O15226,1,1,caffeine,NKRF,55922
O15228,1,1,caffeine,GNPAT,8443
O15234,1,1,caffeine,CASC3,22794
O15265,1,1,caffeine,ATXN7,6314
O15321,1,1,caffeine,TM9SF1,10548
O15357,1,1,caffeine,INPPL1,3636
O15372,1,1,caffeine,EIF3H,8667
O15400,1,1,caffeine,STX7,8417
O15403,1,1,caffeine,SLC16A6,9120
O15417,1,1,caffeine,TNRC18,84629
O15438,1,1,caffeine,ABCC3,8714
O14964,1,1,caffeine,HGS,9146
O14980,1,1,caffeine,XPO1,7514
Q16637,1,1,caffeine,SMN1,6606
Q15742,1,1,caffeine,NAB2,4665
Q15746,1,1,caffeine,MYLK,4638
Q15750,1,1,caffeine,TAB1,10454
Q15751,1,1,caffeine,HERC1,8925
Q15758,1,1,caffeine,SLC1A5,6510
Q15776,1,1,caffeine,ZKSCAN8,7745
Q15796,1,1,caffeine,SMAD2,4087
Q15797,1,1,caffeine,SMAD1,4086
Q15800,1,1,caffeine,MSMO1,6307
Q15822,1,1,carbachol,CHRNA2,1135
Q15836,1,1,caffeine,VAMP3,9341
Q15858,1,1,caffeine,SCN9A,6335
Q15916,1,1,caffeine,ZBTB6,10773
Q15942,1,1,caffeine,ZYX,7791
Q15459,1,1,caffeine,SF3A1,10291
Q1KMD3,1,1,caffeine,HNRNPUL2,221092
Q1L960,1,1,caffeine,LIM2.4,436680
Q1MSJ5,1,1,caffeine,CSPP1,79848
Q1W6H9,1,1,caffeine,FAM110C,642273
Q24JP5,1,1,caffeine,TMEM132A,54972
Q27593,1,1,caffeine,CYP6A8,36666
Q16186,1,1,caffeine,ADRM1,11047
Q16204,1,1,caffeine,CCDC6,8030
Q16512,1,1,caffeine,PKN1,5585
Q16558,1,1,forskolin,KCNMB1,3779
Q16594,1,1,caffeine,TAF9,6880
Q16613,1,1,bethanechol,AANAT,15
Q16620,1,1,caffeine,NTRK2,4915
Q16625,1,1,caffeine,OCLN,100506658
Q16629,1,1,caffeine,SRSF7,6432
Q16630,1,1,caffeine,CPSF6,11052
Q2M389,1,1,caffeine,WASHC4,23325
Q2M3C7,1,1,caffeine,SPHKAP,80309
Q2M3G4,1,1,caffeine,SHROOM1,134549
Q2NKX8,1,1,caffeine,ERCC6L,54821
Q2Q1W2,1,1,caffeine,TRIM71,131405
Q2TAZ0,1,1,caffeine,ATG2A,23130
Q2TB10,1,1,caffeine,ZNF800,168850
Q2TBE0,1,1,caffeine,CWF19L2,143884
Q2VPK5,1,1,caffeine,CTU2,348180
Q32P44,1,1,caffeine,EML3,256364
Q16656,1,1,caffeine,NRF1,4899
Q16659,1,1,forskolin,MAPK6,5597
Q16822,1,1,caffeine,PCK2,5106
Q16875,1,1,caffeine,PFKFB3,5209
Q17R98,1,1,caffeine,ZNF827,152485
Q17RY0,1,1,caffeine,CPEB4,80315
Q3YBR2,1,1,caffeine,TBRG1,84897
Q3ZCM7,1,1,caffeine,TUBB8,347688
Q49A26,1,1,caffeine,GLYR1,84656
Q49AH0,1,1,caffeine,CDNF,441549
Q49AR2,1,1,caffeine,C5ORF22,55322
Q4G0F5,1,1,caffeine,VPS26B,112936
Q4G0N4,1,1,caffeine,NADK2,133686
Q4KMP7,1,1,caffeine,TBC1D10B,26000
Q4KMQ1,1,1,caffeine,TPRN,286262
Q4L180,1,1,caffeine,FILIP1L,11259
Q4LE39,1,1,caffeine,ARID4B,51742
Q27606,1,1,caffeine,CYP4E2,35822
Q2KHR2,1,1,caffeine,RFX7,64864
Q2KHT3,1,1,caffeine,CLEC16A,23274
Q2LD37,1,1,caffeine,BLTP1,84162
Q2M2I8,1,1,caffeine,AAK1,22848
Q504Q3,1,1,caffeine,PAN2,9924
Q52LR7,1,1,caffeine,EPC2,26122
Q52LW3,1,1,caffeine,ARHGAP29,9411
Q53EL6,1,1,caffeine,PDCD4,27250
Q53EP0,1,1,caffeine,FNDC3B,64778
Q53F19,1,1,caffeine,NCBP3,55421
Q53GT1,1,1,caffeine,KLHL22,84861
Q53H80,1,1,caffeine,AKIRIN2,55122
Q53HC9,1,1,caffeine,EIPR1,7260
Q53SF7,1,1,caffeine,COBLL1,22837
Q53T59,1,1,caffeine,HS1BP3,64342
Q3B726,1,1,caffeine,POLR1F,221830
Q3SXY8,1,1,caffeine,ARL13B,200894
Q3T8J9,1,1,caffeine,GON4L,54856
Q3US17,1,1,caffeine,ZFP553,233887
Q3V6T2,1,1,caffeine,CCDC88A,55704
Q58A45,1,1,caffeine,PAN3,255967
Q58WW2,1,1,caffeine,DCAF6,55827
Q5BIV9,1,1,caffeine,SPRN,503542
Q5BJD5,1,1,caffeine,TMEM41B,440026
Q5BJF2,1,1,caffeine,TMEM97,27346
Q5BKX5,1,1,caffeine,ACTMAP,284325
Q5BKZ1,1,1,caffeine,ZNF326,284695
Q5D0E6,1,1,caffeine,DALRD3,55152
Q5FWF4,1,1,caffeine,ZRANB3,84083
Q5FWF5,1,1,caffeine,ESCO1,114799
Q5H8A4,1,1,caffeine,PIGG,54872
Q5H9F3,1,1,caffeine,BCORL1,63035
Q4V328,1,1,caffeine,GRIPAP1,56850
Q4VC44,1,1,caffeine,FLYWCH1,84256
Q4ZG55,1,1,caffeine,GREB1,9687
Q4ZJI3,1,1,caffeine,MIPB,553420
Q5JSP0,1,1,caffeine,FGD3,89846
Q5JTC6,1,1,caffeine,AMER1,139285
Q5JTD0,1,1,caffeine,TJAP1,93643
Q5JTH9,1,1,caffeine,RRP12,23223
Q5JTV8,1,1,caffeine,TOR1AIP1,26092
Q5JTW2,1,1,caffeine,CEP78,84131
Q5JV73,1,1,caffeine,FRMPD3,84443
Q5JVS0,1,1,caffeine,HABP4,22927
Q5JWR5,1,1,caffeine,DOP1A,23033
Q5KSL6,1,1,caffeine,DGKK,139189
Q5M775,1,1,caffeine,SPECC1,92521
Q5PR37,1,1,caffeine,EFEMP2A,494044
Q562R1,1,1,caffeine,ACTBL2,345651
Q564A4,1,1,caffeine,BCL2A,570772
Q569K4,1,1,caffeine,ZNF385B,151126
Q56NI9,1,1,caffeine,ESCO2,157570
Q5SRE5,1,1,caffeine,NUP188,23511
Q5SSJ5,1,1,caffeine,HP1BP3,50809
Q5SW79,1,1,caffeine,CEP170,9859
Q5SWH9,1,1,caffeine,TMEM69,51249
Q5SXM2,1,1,caffeine,SNAPC4,6621
Q5SYE7,1,1,caffeine,NHSL1,57224
Q5T011,1,1,caffeine,SZT2,23334
Q5T0B9,1,1,caffeine,ZNF362,149076
Q5T0N5,1,1,caffeine,FNBP1L,54874
Q5T1M5,1,1,caffeine,FKBP15,23307
Q5T1V6,1,1,caffeine,DDX59,83479
Q5T200,1,1,caffeine,ZC3H13,23091
Q5HYJ3,1,1,caffeine,FAM76B,143684
Q5J8M3,1,1,caffeine,EMC4,51234
Q5JPI9,1,1,caffeine,EEF1AKMT2,399818
Q5JSH3,1,1,caffeine,WDR44,54521
Q5T5X7,1,1,caffeine,BEND3,57673
Q5T5Y3,1,1,caffeine,CAMSAP1,157922
Q5T6F0,1,1,caffeine,DCAF12,25853
Q5T6F2,1,1,caffeine,UBAP2,55833
Q5T890,1,1,caffeine,ERCC6L2,375748
Q5T8D3,1,1,caffeine,ACBD5,91452
Q5T9C2,1,1,caffeine,EEIG1,399665
Q5TBA9,1,1,caffeine,FRY,10129
Q5TC12,1,1,caffeine,ATPAF1,64756
Q5TCY1,1,1,caffeine,TTBK1,84630
Q5TDH0,1,1,caffeine,DDI2,84301
Q5TF39,1,1,caffeine,SLC60A2,91749
Q5PRF9,1,1,caffeine,SAMD4B,55095
Q5QJE6,1,1,caffeine,DNTTIP2,30836
Q5QP82,1,1,caffeine,DCAF10,79269
Q5SNT2,1,1,caffeine,TMEM201,199953
Q5VIR6,1,1,caffeine,VPS53,55275
Q5VSL9,1,1,caffeine,STRIP1,85369
Q5VT06,1,1,caffeine,CEP350,9857
Q5VT25,1,1,caffeine,CDC42BPA,8476
Q5VUA4,1,1,caffeine,ZNF318,24149
Q5VUB5,1,1,caffeine,FAM171A1,221061
Q5VV41,1,1,caffeine,ARHGEF16,27237
Q5VV52,1,1,caffeine,ZNF691,51058
Q5VV67,1,1,caffeine,PPRC1,23082
Q5VVW2,1,1,caffeine,GARNL3,84253
Q5VWG9,1,1,caffeine,TAF3,83860
Q5VWJ9,1,1,caffeine,SNX30,401548
Q5T4S7,1,1,caffeine,UBR4,23352
Q5T5C0,1,1,caffeine,STXBP5,134957
Q5T5P2,1,1,caffeine,KIAA1217,56243
Q5T5U3,1,1,caffeine,ARHGAP21,57584
Q5TH69,1,1,caffeine,ARFGEF3,57221
Q5THJ4,1,1,caffeine,VPS13D,55187
O14981,1,1,caffeine,BTAF1,9044
O15014,1,1,caffeine,ZNF609,23060
O15027,1,1,caffeine,SEC16A,9919
O15042,1,1,caffeine,U2SURP,23350
O15047,1,1,caffeine,SETD1A,9739
O15056,1,1,caffeine,SYNJ2,8871
O15063,1,1,caffeine,GARRE1,9710
O15066,1,1,caffeine,KIF3B,9371
O15085,1,1,caffeine,ARHGEF11,9826
O15119,1,1,caffeine,TBX3,6926
O15126,1,1,caffeine,SCAMP1,9522
O15143,1,1,caffeine,ARPC1B,10095
O14662,1,1,caffeine,STX16,8675
Q5U5Z8,1,1,caffeine,AGBL2,79841
Q5VWN6,1,1,caffeine,TASOR2,54906
Q5VWQ8,1,1,caffeine,DAB2IP,153090
Q5VZ89,1,1,caffeine,DENND4C,55667
Q5VZK9,1,1,caffeine,CARMIL1,55604
Q5VZL5,1,1,caffeine,ZMYM4,9202
Q5W0B1,1,1,caffeine,OBI1,79596
Q5XKK7,1,1,caffeine,FAM219B,57184
Q5XTN0,1,1,caffeine,CRYGMX,335789
Q63HQ0,1,1,caffeine,AP1AR,55435
Q63HR2,1,1,caffeine,TNS2,23371
Q658Y4,1,1,caffeine,FAM91A1,157769
Q659A1,1,1,caffeine,ICE2,79664
Q66I73,1,1,caffeine,MYLPFB,447930
Q66K14,1,1,caffeine,TBC1D9B,23061
Q66K64,1,1,caffeine,DCAF15,90379
Q5TGY3,1,1,caffeine,AHDC1,27245
Q66PJ3,1,1,caffeine,ARL6IP4,51329
Q68CP9,1,1,caffeine,ARID2,196528
Q68CQ7,1,1,caffeine,GLT8D1,55830
Q68CZ2,1,1,caffeine,TNS3,64759
Q68D85,1,1,caffeine,NCR3LG1,374383
Q68DK2,1,1,caffeine,ZFYVE26,23503
Q68DQ2,1,1,caffeine,CRYBG3,131544
Q68EM7,1,1,caffeine,ARHGAP17,55114
Q69YH5,1,1,caffeine,CDCA2,157313
Q69YN4,1,1,caffeine,VIRMA,25962
Q69YQ0,1,1,caffeine,SPECC1L,23384
Q6AHZ1,1,1,caffeine,ZNF518A,9849
Q6AI08,1,1,caffeine,HEATR6,63897
Q6AI14,1,1,caffeine,SLC9A4,389015
Q6AI39,1,1,caffeine,BICRAL,23506
Q6BDS2,1,1,caffeine,BLTP3A,54887
Q6BEB4,1,1,caffeine,SP5,389058
Q6DCA0,1,1,caffeine,AMMECR1L,83607
Q6DN12,1,1,caffeine,MCTP2,55784
Q6DT37,1,1,caffeine,CDC42BPG,55561
Q6F5E8,1,1,caffeine,CARMIL2,146206
Q6FI81,1,1,caffeine,CIAPIN1,57019
Q6GQQ9,1,1,caffeine,OTUD7B,56957
Q6IA17,1,1,caffeine,SIGIRR,59307
Q6IN85,1,1,caffeine,PPP4R3A,55671
Q6IPR3,1,1,caffeine,TYW3,127253
Q6IQ23,1,1,caffeine,PLEKHA7,144100
Q6IQU2,1,1,caffeine,CRYBA2A,415139
Q6IQV5,1,1,caffeine,GCH2,64263
Q6J4K2,1,1,caffeine,SLC8B1,80024
Q6KC79,1,1,caffeine,NIPBL,25836
Q6MZP7,1,1,caffeine,LIN54,132660
Q6PJP8,1,1,caffeine,DCLRE1A,9937
Q6N021,1,1,caffeine,TET2,54790
Q6NTF7,1,1,caffeine,APOBEC3H,164668
Q6NUK4,1,1,caffeine,REEP3,221035
Q6NUQ4,1,1,caffeine,TMEM214,54867
Q6NXT1,1,1,caffeine,ANKRD54,129138
Q6NXT6,1,1,caffeine,TAPT1,202018
Q6NZ36,1,1,caffeine,FAAP20,199990
Q6NZI2,1,1,caffeine,CAVIN1,284119
Q6NZY4,1,1,caffeine,ZCCHC8,55596
Q6P0N0,1,1,caffeine,MIS18BP1,55320
Q6P1L5,1,1,caffeine,FAM117B,150864
Q6P1X5,1,1,caffeine,TAF2,6873
Q6P2E9,1,1,caffeine,EDC4,23644
Q6P444,1,1,caffeine,MTFR2,113115
Q6P4A7,1,1,caffeine,SFXN4,119559
Q6UWZ7,1,1,caffeine,ABRAXAS1,84142
Q6P4E1,1,1,caffeine,GOLM2,113201
Q6P4F7,1,1,caffeine,ARHGAP11A,9824
Q6P4R8,1,1,caffeine,NFRKB,4798
