uniprot_accession,total_count,n_compounds,compounds,symbol,geneid
P01100,3,2,Ginsenoside rb1;caffeine,FOS,2353
Q13177,3,1,caffeine,PAK2,5062
P02340,3,1,caffeine,TRP53,22059
P01130,3,1,caffeine,LDLR,3949
Q12809,3,2,Ginsenoside rb1;caffeine,KCNH2,3757
P51828,3,2,caffeine;forskolin,ADCY7,113
P23246,3,1,caffeine,SFPQ,6421
Q14571,3,1,caffeine,ITPR2,3709
P48436,3,1,caffeine,SOX9,6662
P02649,3,2,Ethanolamine;caffeine,APOE,348
P06213,3,1,caffeine,INSR,3643
P05181,3,1,caffeine,CYP2E1,1571
P07339,3,2,Ginsenoside rb1;caffeine,CTSD,1509
P08913,3,1,maprotiline,ADRA2A,150
P41159,3,1,caffeine,LEP,3952
Q8WUI4,3,2,caffeine;forskolin,HDAC7,51564
Q92793,3,2,caffeine;forskolin,CREBBP,1387
P35367,3,1,maprotiline,HRH1,3269
P11215,3,2,Ginsenoside rb1;caffeine,ITGAM,3684
P11511,3,2,caffeine;forskolin,CYP19A1,1588
Q96EB6,3,1,caffeine,SIRT1,23411
P15692,3,1,caffeine,VEGFA,7422
P28482,3,2,caffeine;forskolin,MAPK1,5594
P28335,3,1,maprotiline,HTR2C,3358
P28223,3,1,maprotiline,HTR2A,3356
P18825,3,1,maprotiline,ADRA2C,152
P18089,3,1,maprotiline,ADRA2B,151
P21281,3,2,Ginsenoside rb1;caffeine,ATP6V1B2,526
P25100,3,1,maprotiline,ADRA1D,146
O43293,2,1,caffeine,DAPK3,1613
O43903,2,1,caffeine,GAS2,2620
O43822,2,1,caffeine,CFAP410,755
O43707,2,1,caffeine,ACTN4,81
Q13370,2,1,caffeine,PDE3B,5140
Q13322,2,1,caffeine,GRB10,2887
Q13557,2,1,caffeine,CAMK2D,817
P24385,2,1,caffeine,CCND1,595
P23769,2,1,caffeine,GATA2,2624
P23588,2,1,caffeine,EIF4B,1975
P23528,2,1,caffeine,CFL1,1072
P23526,2,1,caffeine,AHCY,191
P21333,2,1,caffeine,FLNA,2316
P23327,2,1,caffeine,HRC,3270
O43491,2,1,caffeine,EPB41L2,2037
O60443,2,1,caffeine,GSDME,1687
O60331,2,1,caffeine,PIP5K1C,23396
O60238,2,1,caffeine,BNIP3L,665
Q13017,2,1,caffeine,ARHGAP5,394
Q13286,2,1,caffeine,CLN3,1201
Q13285,2,1,caffeine,NR5A1,2516
Q13263,2,1,caffeine,TRIM28,10155
Q13224,2,1,caffeine,GRIN2B,2904
Q13206,2,1,caffeine,DDX10,1662
Q13202,2,1,caffeine,DUSP8,1850
Q13191,2,1,caffeine,CBLB,868
Q13459,2,1,caffeine,MYO9B,4650
Q13451,2,1,caffeine,FKBP5,2289
Q13439,2,1,caffeine,GOLGA4,2803
Q12959,2,1,caffeine,DLG1,1739
Q12929,2,1,caffeine,EPS8,2059
Q12906,2,1,caffeine,ILF3,3609
Q12879,2,1,caffeine,GRIN2A,2903
Q12873,2,1,caffeine,CHD3,1107
O60220,2,1,caffeine,TIMM8A,1678
O60716,2,1,caffeine,CTNND1,1500
O60658,2,1,caffeine,PDE8A,5151
O60610,2,1,caffeine,DIAPH1,1729
O60583,2,1,caffeine,CCNT2,905
O60566,2,1,caffeine,BUB1B,701
O60500,2,1,caffeine,NPHS1,4868
Q13153,2,1,caffeine,PAK1,5058
Q13098,2,1,caffeine,GPS1,2873
O43524,2,1,caffeine,FOXO3,2309
O60832,2,1,caffeine,DKC1,1736
Q12996,2,1,caffeine,CSTF3,1479
Q13555,2,1,caffeine,CAMK2G,818
Q13554,2,1,caffeine,CAMK2B,816
Q13547,2,1,caffeine,HDAC1,3065
Q13542,2,1,caffeine,EIF4EBP2,1979
Q13490,2,1,caffeine,BIRC2,329
Q13480,2,1,caffeine,GAB1,2549
Q13796,2,1,caffeine,SHROOM2,357
Q13642,2,1,caffeine,FHL1,2273
Q13627,2,1,caffeine,DYRK1A,1859
O43424,2,1,caffeine,GRID2,2895
O43405,2,1,caffeine,COCH,1690
Q13586,2,1,caffeine,STIM1,6786
Q14103,2,1,caffeine,HNRNPD,3184
Q12982,2,1,caffeine,BNIP2,663
Q07817,2,1,caffeine,BCL2L1,598
Q07687,2,1,caffeine,DLX2,1746
O75128,2,1,caffeine,COBL,23242
Q07352,2,1,caffeine,ZFP36L1,677
Q0IIM8,2,1,caffeine,TBC1D8B,54885
Q09472,2,1,caffeine,EP300,2033
Q09019,2,1,caffeine,DMWD,1762
Q08495,2,1,caffeine,DMTN,2039
Q08426,2,1,caffeine,EHHADH,1962
Q08379,2,1,caffeine,GOLGA2,2801
Q08378,2,1,caffeine,GOLGA3,2802
Q12834,2,1,caffeine,CDC20,991
Q12830,2,1,caffeine,BPTF,2186
Q12789,2,1,caffeine,GTF3C1,2975
Q12772,2,1,caffeine,SREBF2,6721
Q03001,2,1,caffeine,DST,667
Q02535,2,1,caffeine,ID3,3399
O75369,2,1,caffeine,FLNB,2317
Q02487,2,1,caffeine,DSC2,1824
Q07021,2,1,caffeine,C1QBP,708
Q06546,2,1,caffeine,GABPA,2551
Q06520,2,1,caffeine,SULT2A1,6822
Q06481,2,1,caffeine,APLP2,334
Q05586,2,1,caffeine,GRIN1,2902
Q05048,2,1,caffeine,CSTF1,1477
Q04637,2,1,caffeine,EIF4G1,1981
Q08345,2,1,caffeine,DDR1,780
Q08050,2,1,caffeine,FOXM1,2305
Q07960,2,1,caffeine,ARHGAP1,392
Q07912,2,1,caffeine,TNK2,10188
Q01130,2,1,caffeine,SRSF2,6427
Q01094,2,1,caffeine,E2F1,1869
