,compound,geneid,description,symbol,uniprot_accession,uniprot_accessions
188,caffeine,135,adenosine A2a receptor,ADORA2A,P29274,P29274;A8K1F6;B3KVQ4;X5DNB4
189,caffeine,135,adenosine A2a receptor,ADORA2A,P29274,P29274;A8K1F6;B3KVQ4;X5DNB4
190,caffeine,136,adenosine A2b receptor,ADORA2B,P29275,P29275
191,caffeine,136,adenosine A2b receptor,ADORA2B,P29275,P29275
192,caffeine,136,adenosine A2b receptor,ADORA2B,P29275,P29275
193,caffeine,136,adenosine A2b receptor,ADORA2B,P29275,P29275
194,caffeine,136,adenosine A2b receptor,ADORA2B,P29275,P29275
195,caffeine,136,adenosine A2b receptor,ADORA2B,P29275,P29275
196,caffeine,136,adenosine A2b receptor,ADORA2B,P29275,P29275
197,caffeine,136,adenosine A2b receptor,ADORA2B,P29275,P29275
198,caffeine,136,adenosine A2b receptor,ADORA2B,P29275,P29275
199,caffeine,136,adenosine A2b receptor,ADORA2B,P29275,P29275
200,caffeine,136,adenosine A2b receptor,ADORA2B,P29275,P29275
201,caffeine,136,adenosine A2b receptor,ADORA2B,P29275,P29275
202,caffeine,140,adenosine A3 receptor,ADORA3,P0DMS8,P0DMS8;A0A0J9YWR0;H6VQ59
203,caffeine,140,adenosine A3 receptor,ADORA3,P0DMS8,P0DMS8;A0A0J9YWR0;H6VQ59
204,caffeine,140,adenosine A3 receptor,ADORA3,P0DMS8,P0DMS8;A0A0J9YWR0;H6VQ59
205,caffeine,140,adenosine A3 receptor,ADORA3,P0DMS8,P0DMS8;A0A0J9YWR0;H6VQ59
206,caffeine,140,adenosine A3 receptor,ADORA3,P0DMS8,P0DMS8;A0A0J9YWR0;H6VQ59
207,caffeine,140,adenosine A3 receptor,ADORA3,P0DMS8,P0DMS8;A0A0J9YWR0;H6VQ59
208,caffeine,140,adenosine A3 receptor,ADORA3,P0DMS8,P0DMS8;A0A0J9YWR0;H6VQ59
209,caffeine,140,adenosine A3 receptor,ADORA3,P0DMS8,P0DMS8;A0A0J9YWR0;H6VQ59
210,caffeine,140,adenosine A3 receptor,ADORA3,P0DMS8,P0DMS8;A0A0J9YWR0;H6VQ59
