,compound,geneid,description,symbol,uniprot_accession,uniprot_accessions
728,caffeine,1021,cyclin dependent kinase 6,CDK6,Q00534,Q00534
729,caffeine,1021,cyclin dependent kinase 6,CDK6,Q00534,Q00534
730,caffeine,1022,cyclin dependent kinase 7,CDK7,P50613,P50613;A0A0S2Z3F9;D6R9G1;D6RFL0
731,caffeine,1022,cyclin dependent kinase 7,CDK7,P50613,P50613;A0A0S2Z3F9;D6R9G1;D6RFL0
732,caffeine,1026,cyclin dependent kinase inhibitor 1A,CDKN1A,P38936,P38936
733,caffeine,1026,cyclin dependent kinase inhibitor 1A,CDKN1A,P38936,P38936
734,caffeine,1026,cyclin dependent kinase inhibitor 1A,CDKN1A,P38936,P38936
735,caffeine,1026,cyclin dependent kinase inhibitor 1A,CDKN1A,P38936,P38936
736,caffeine,1026,cyclin dependent kinase inhibitor 1A,CDKN1A,P38936,P38936
737,caffeine,1026,cyclin dependent kinase inhibitor 1A,CDKN1A,P38936,P38936
738,caffeine,1026,cyclin dependent kinase inhibitor 1A,CDKN1A,P38936,P38936
739,caffeine,1026,cyclin dependent kinase inhibitor 1A,CDKN1A,P38936,P38936
740,caffeine,1026,cyclin dependent kinase inhibitor 1A,CDKN1A,P38936,P38936
741,caffeine,1026,cyclin dependent kinase inhibitor 1A,CDKN1A,P38936,P38936
742,caffeine,1026,cyclin dependent kinase inhibitor 1A,CDKN1A,P38936,P38936
743,caffeine,1026,cyclin dependent kinase inhibitor 1A,CDKN1A,P38936,P38936
744,caffeine,1026,cyclin dependent kinase inhibitor 1A,CDKN1A,P38936,P38936
745,caffeine,1026,cyclin dependent kinase inhibitor 1A,CDKN1A,P38936,P38936
746,caffeine,1026,cyclin dependent kinase inhibitor 1A,CDKN1A,P38936,P38936
747,caffeine,1026,cyclin dependent kinase inhibitor 1A,CDKN1A,P38936,P38936
748,caffeine,1039,cerebellar degeneration related protein 2,CDR2,Q01850,Q01850
749,caffeine,1039,cerebellar degeneration related protein 2,CDR2,Q01850,Q01850
750,caffeine,1046,caudal type homeobox 4,CDX4,O14627,O14627
751,caffeine,1046,caudal type homeobox 4,CDX4,O14627,O14627
752,caffeine,1050,CCAAT enhancer binding protein alpha,CEBPA,P49715,P49715
753,caffeine,1050,CCAAT enhancer binding protein alpha,CEBPA,P49715,P49715
754,caffeine,1050,CCAAT enhancer binding protein alpha,CEBPA,P49715,P49715
755,caffeine,1050,CCAAT enhancer binding protein alpha,CEBPA,P49715,P49715
756,caffeine,1050,CCAAT enhancer binding protein alpha,CEBPA,P49715,P49715
757,caffeine,1050,CCAAT enhancer binding protein alpha,CEBPA,P49715,P49715
758,caffeine,1051,CCAAT enhancer binding protein beta,CEBPB,P17676,P17676
759,caffeine,1051,CCAAT enhancer binding protein beta,CEBPB,P17676,P17676
760,caffeine,1051,CCAAT enhancer binding protein beta,CEBPB,P17676,P17676
761,caffeine,1051,CCAAT enhancer binding protein beta,CEBPB,P17676,P17676
762,caffeine,1059,centromere protein B,CENPB,P07199,P07199
763,caffeine,1059,centromere protein B,CENPB,P07199,P07199
764,caffeine,1060,centromere protein C,CENPC,Q03188,Q03188
765,caffeine,1060,centromere protein C,CENPC,Q03188,Q03188
766,caffeine,1062,centromere protein E,CENPE,Q02224,Q02224
767,caffeine,1062,centromere protein E,CENPE,Q02224,Q02224
768,caffeine,1063,centromere protein F,CENPF,P49454,P49454;A0A9L9PXU7
769,caffeine,1063,centromere protein F,CENPF,P49454,P49454;A0A9L9PXU7
770,caffeine,1070,centrin 3,CETN3,O15182,O15182;E5RFM2;E5RJF8
771,caffeine,1070,centrin 3,CETN3,O15182,O15182;E5RFM2;E5RJF8
772,caffeine,1072,cofilin 1,CFL1,P23528,P23528;V9HWI5
773,caffeine,1072,cofilin 1,CFL1,P23528,P23528;V9HWI5
774,caffeine,1073,cofilin 2,CFL2,Q9Y281,Q9Y281;Q549N0
775,caffeine,1073,cofilin 2,CFL2,Q9Y281,Q9Y281;Q549N0
776,caffeine,1105,chromodomain helicase DNA binding protein 1,CHD1,O14646,O14646;A0A087WVF4;B3KT33
777,caffeine,1105,chromodomain helicase DNA binding protein 1,CHD1,O14646,O14646;A0A087WVF4;B3KT33
778,caffeine,1106,chromodomain helicase DNA binding protein 2,CHD2,O14647,O14647
779,caffeine,1106,chromodomain helicase DNA binding protein 2,CHD2,O14647,O14647
780,caffeine,1107,chromodomain helicase DNA binding protein 3,CHD3,Q12873,Q12873;A0A8V8TR54;B3KWV4;Q2TAZ1
781,caffeine,1107,chromodomain helicase DNA binding protein 3,CHD3,Q12873,Q12873;A0A8V8TR54;B3KWV4;Q2TAZ1
782,caffeine,1108,chromodomain helicase DNA binding protein 4,CHD4,Q14839,Q14839;A0A2U3TZM0;F5GWX5
783,caffeine,1108,chromodomain helicase DNA binding protein 4,CHD4,Q14839,Q14839;A0A2U3TZM0;F5GWX5
784,caffeine,1111,checkpoint kinase 1,CHEK1,O14757,O14757;B4DT73;E7EPP6
785,caffeine,1111,checkpoint kinase 1,CHEK1,O14757,O14757;B4DT73;E7EPP6
786,caffeine,1111,checkpoint kinase 1,CHEK1,O14757,O14757;B4DT73;E7EPP6
787,caffeine,1111,checkpoint kinase 1,CHEK1,O14757,O14757;B4DT73;E7EPP6
788,caffeine,1111,checkpoint kinase 1,CHEK1,O14757,O14757;B4DT73;E7EPP6
789,caffeine,1111,checkpoint kinase 1,CHEK1,O14757,O14757;B4DT73;E7EPP6
790,caffeine,1111,checkpoint kinase 1,CHEK1,O14757,O14757;B4DT73;E7EPP6
791,caffeine,1111,checkpoint kinase 1,CHEK1,O14757,O14757;B4DT73;E7EPP6
792,caffeine,1111,checkpoint kinase 1,CHEK1,O14757,O14757;B4DT73;E7EPP6
793,caffeine,1111,checkpoint kinase 1,CHEK1,O14757,O14757;B4DT73;E7EPP6
794,caffeine,1111,checkpoint kinase 1,CHEK1,O14757,O14757;B4DT73;E7EPP6
795,caffeine,1111,checkpoint kinase 1,CHEK1,O14757,O14757;B4DT73;E7EPP6
796,caffeine,1111,checkpoint kinase 1,CHEK1,O14757,O14757;B4DT73;E7EPP6
797,caffeine,1111,checkpoint kinase 1,CHEK1,O14757,O14757;B4DT73;E7EPP6
798,caffeine,1118,chitinase 1,CHIT1,Q13231,Q13231
799,caffeine,1118,chitinase 1,CHIT1,Q13231,Q13231
800,caffeine,1118,chitinase 1,CHIT1,Q13231,Q13231
801,caffeine,1118,chitinase 1,CHIT1,Q13231,Q13231
802,caffeine,1152,creatine kinase B,CKB,P12277,P12277;A0A0S2Z471;V9HWH2
803,caffeine,1152,creatine kinase B,CKB,P12277,P12277;A0A0S2Z471;V9HWH2
804,caffeine,1155,tubulin folding cofactor B,TBCB,Q99426,Q99426
805,caffeine,1155,tubulin folding cofactor B,TBCB,Q99426,Q99426
806,caffeine,1173,adaptor related protein complex 2 subunit mu 1,AP2M1,Q96CW1,Q96CW1;B4DNB9;E9PFW3
807,caffeine,1173,adaptor related protein complex 2 subunit mu 1,AP2M1,Q96CW1,Q96CW1;B4DNB9;E9PFW3
808,caffeine,1192,chloride intracellular channel 1,CLIC1,O00299,O00299;Q53FB0;Q5SRT3
809,caffeine,1192,chloride intracellular channel 1,CLIC1,O00299,O00299;Q53FB0;Q5SRT3
810,caffeine,1196,CDC like kinase 2,CLK2,P49760,P49760;A8K7I0;B1AVT0;B7Z8N6
811,caffeine,1196,CDC like kinase 2,CLK2,P49760,P49760;A8K7I0;B1AVT0;B7Z8N6
812,caffeine,1198,CDC like kinase 3,CLK3,P49761,P49761;B3KRI8
813,caffeine,1198,CDC like kinase 3,CLK3,P49761,P49761;B3KRI8
814,caffeine,1201,"CLN3 lysosomal/endosomal transmembrane protein, battenin",CLN3,Q13286,Q13286;B4DFF3;B4DMY6;Q2TA70
815,caffeine,1201,"CLN3 lysosomal/endosomal transmembrane protein, battenin",CLN3,Q13286,Q13286;B4DFF3;B4DMY6;Q2TA70
816,caffeine,1207,chloride nucleotide-sensitive channel 1A,CLNS1A,P54105,P54105;E9PJF4;E9PMI6;J3KN38
817,caffeine,1207,chloride nucleotide-sensitive channel 1A,CLNS1A,P54105,P54105;E9PJF4;E9PMI6;J3KN38
818,caffeine,1213,clathrin heavy chain,CLTC,Q00610,Q00610;A0A087WVQ6
819,caffeine,1213,clathrin heavy chain,CLTC,Q00610,Q00610;A0A087WVQ6
820,caffeine,1244,ATP binding cassette subfamily C member 2,ABCC2,Q92887,Q92887
821,caffeine,1244,ATP binding cassette subfamily C member 2,ABCC2,Q92887,Q92887
822,caffeine,1244,ATP binding cassette subfamily C member 2,ABCC2,Q92887,Q92887
823,caffeine,1244,ATP binding cassette subfamily C member 2,ABCC2,Q92887,Q92887
824,caffeine,1265,calponin 2,CNN2,Q99439,Q99439;B4DDF4;B4DUT8
825,caffeine,1265,calponin 2,CNN2,Q99439,Q99439;B4DDF4;B4DUT8
826,caffeine,1266,calponin 3,CNN3,Q15417,Q15417
827,caffeine,1266,calponin 3,CNN3,Q15417,Q15417
828,caffeine,1267,"2',3'-cyclic nucleotide 3' phosphodiesterase",CNP,P09543,P09543
829,caffeine,1267,"2',3'-cyclic nucleotide 3' phosphodiesterase",CNP,P09543,P09543
830,caffeine,1277,collagen type I alpha 1 chain,COL1A1,P02452,P02452
831,caffeine,1277,collagen type I alpha 1 chain,COL1A1,P02452,P02452
832,caffeine,1277,collagen type I alpha 1 chain,COL1A1,P02452,P02452
833,caffeine,1277,collagen type I alpha 1 chain,COL1A1,P02452,P02452
834,caffeine,1280,collagen type II alpha 1 chain,COL2A1,P02458,P02458
835,caffeine,1280,collagen type II alpha 1 chain,COL2A1,P02458,P02458
836,caffeine,1312,catechol-O-methyltransferase,COMT,P21964,P21964;A0A140VJG8
837,caffeine,1312,catechol-O-methyltransferase,COMT,P21964,P21964;A0A140VJG8
838,caffeine,1314,coat protein complex I subunit alpha,COPA,P53621,P53621
839,caffeine,1314,coat protein complex I subunit alpha,COPA,P53621,P53621
840,caffeine,1325,cortistatin,CORT,O00230,O00230;Q8IUV6
841,caffeine,1325,cortistatin,CORT,O00230,O00230;Q8IUV6
842,caffeine,1350,cytochrome c oxidase subunit 7C,COX7C,P15954,P15954
843,caffeine,1350,cytochrome c oxidase subunit 7C,COX7C,P15954,P15954
844,caffeine,1362,carboxypeptidase D,CPD,O75976,O75976
845,caffeine,1362,carboxypeptidase D,CPD,O75976,O75976
846,caffeine,1365,claudin 3,CLDN3,O15551,O15551;Q75L79
847,caffeine,1365,claudin 3,CLDN3,O15551,O15551;Q75L79
848,caffeine,1374,carnitine palmitoyltransferase 1A,CPT1A,P50416,P50416;B2RAQ8;Q8WZ48
849,caffeine,1374,carnitine palmitoyltransferase 1A,CPT1A,P50416,P50416;B2RAQ8;Q8WZ48
850,caffeine,1374,carnitine palmitoyltransferase 1A,CPT1A,P50416,P50416;B2RAQ8;Q8WZ48
851,caffeine,1374,carnitine palmitoyltransferase 1A,CPT1A,P50416,P50416;B2RAQ8;Q8WZ48
852,caffeine,1385,cAMP responsive element binding protein 1,CREB1,P16220,P16220;B7Z5C6;Q53X93;Q5U0J5
853,caffeine,1385,cAMP responsive element binding protein 1,CREB1,P16220,P16220;B7Z5C6;Q53X93;Q5U0J5
854,caffeine,1385,cAMP responsive element binding protein 1,CREB1,P16220,P16220;B7Z5C6;Q53X93;Q5U0J5
855,caffeine,1385,cAMP responsive element binding protein 1,CREB1,P16220,P16220;B7Z5C6;Q53X93;Q5U0J5
856,caffeine,1385,cAMP responsive element binding protein 1,CREB1,P16220,P16220;B7Z5C6;Q53X93;Q5U0J5
857,caffeine,1385,cAMP responsive element binding protein 1,CREB1,P16220,P16220;B7Z5C6;Q53X93;Q5U0J5
858,caffeine,1385,cAMP responsive element binding protein 1,CREB1,P16220,P16220;B7Z5C6;Q53X93;Q5U0J5
859,caffeine,1385,cAMP responsive element binding protein 1,CREB1,P16220,P16220;B7Z5C6;Q53X93;Q5U0J5
860,caffeine,1387,CREB binding lysine acetyltransferase,CREBBP,Q92793,Q92793
861,caffeine,1387,CREB binding lysine acetyltransferase,CREBBP,Q92793,Q92793
862,caffeine,1390,cAMP responsive element modulator,CREM,Q03060,Q03060;E9PAR2;E9PB41;G5E998
863,caffeine,1390,cAMP responsive element modulator,CREM,Q03060,Q03060;E9PAR2;E9PB41;G5E998
864,caffeine,1397,cysteine rich protein 2,CRIP2,P52943,P52943
865,caffeine,1397,cysteine rich protein 2,CRIP2,P52943,P52943
866,caffeine,1398,"CRK proto-oncogene, adaptor protein",CRK,P46108,P46108;A0A0S2Z3K9;A0A0S2Z3Q4;L7RT18
867,caffeine,1398,"CRK proto-oncogene, adaptor protein",CRK,P46108,P46108;A0A0S2Z3K9;A0A0S2Z3Q4;L7RT18
868,caffeine,1413,crystallin beta A4,CRYBA4,P53673,P53673;A0A097PIJ6
869,caffeine,1413,crystallin beta A4,CRYBA4,P53673,P53673;A0A097PIJ6
870,caffeine,1414,crystallin beta B1,CRYBB1,P53674,P53674
871,caffeine,1414,crystallin beta B1,CRYBB1,P53674,P53674
872,caffeine,1445,C-terminal Src kinase,CSK,P41240,P41240;A8K3B6;B2R6Q4
873,caffeine,1445,C-terminal Src kinase,CSK,P41240,P41240;A8K3B6;B2R6Q4
874,caffeine,1453,casein kinase 1 delta,CSNK1D,P48730,P48730;H7BYT1
875,caffeine,1453,casein kinase 1 delta,CSNK1D,P48730,P48730;H7BYT1
876,caffeine,1454,casein kinase 1 epsilon,CSNK1E,P49674,P49674;Q5U045
877,caffeine,1454,casein kinase 1 epsilon,CSNK1E,P49674,P49674;Q5U045
878,caffeine,1456,casein kinase 1 gamma 3,CSNK1G3,Q9Y6M4,Q9Y6M4;A0A8V8TKT3
879,caffeine,1456,casein kinase 1 gamma 3,CSNK1G3,Q9Y6M4,Q9Y6M4;A0A8V8TKT3
880,caffeine,1459,casein kinase 2 alpha 2,CSNK2A2,P19784,P19784
881,caffeine,1459,casein kinase 2 alpha 2,CSNK2A2,P19784,P19784
882,caffeine,1462,versican,VCAN,P13611,P13611;Q59FG9;Q86W61
883,caffeine,1462,versican,VCAN,P13611,P13611;Q59FG9;Q86W61
884,caffeine,1471,cystatin C,CST3,P01034,P01034;A0A0K0K1J1
885,caffeine,1471,cystatin C,CST3,P01034,P01034;A0A0K0K1J1
886,caffeine,1477,cleavage stimulation factor subunit 1,CSTF1,Q05048,Q05048
887,caffeine,1477,cleavage stimulation factor subunit 1,CSTF1,Q05048,Q05048
888,caffeine,1478,cleavage stimulation factor subunit 2,CSTF2,P33240,P33240;B3V096;B4DUD5;E7EWR4
889,caffeine,1478,cleavage stimulation factor subunit 2,CSTF2,P33240,P33240;B3V096;B4DUD5;E7EWR4
890,caffeine,1479,cleavage stimulation factor subunit 3,CSTF3,Q12996,Q12996
891,caffeine,1479,cleavage stimulation factor subunit 3,CSTF3,Q12996,Q12996
892,caffeine,1491,cystathionine gamma-lyase,CTH,P32929,P32929
893,caffeine,1491,cystathionine gamma-lyase,CTH,P32929,P32929
894,caffeine,1495,catenin alpha 1,CTNNA1,P35221,P35221;A0A384MDY0;B4DKT9;B4DU00;G3XAM7
895,caffeine,1495,catenin alpha 1,CTNNA1,P35221,P35221;A0A384MDY0;B4DKT9;B4DU00;G3XAM7
896,caffeine,1496,catenin alpha 2,CTNNA2,P26232,P26232;F6KRI5;Q49AD3
897,caffeine,1496,catenin alpha 2,CTNNA2,P26232,P26232;F6KRI5;Q49AD3
898,caffeine,1499,catenin beta 1,CTNNB1,P35222,P35222;B4DGU4
899,caffeine,1499,catenin beta 1,CTNNB1,P35222,P35222;B4DGU4
900,caffeine,1499,catenin beta 1,CTNNB1,P35222,P35222;B4DGU4
901,caffeine,1499,catenin beta 1,CTNNB1,P35222,P35222;B4DGU4
902,caffeine,1499,catenin beta 1,CTNNB1,P35222,P35222;B4DGU4
903,caffeine,1499,catenin beta 1,CTNNB1,P35222,P35222;B4DGU4
904,caffeine,1500,catenin delta 1,CTNND1,O60716,O60716
905,caffeine,1500,catenin delta 1,CTNND1,O60716,O60716
906,caffeine,1503,CTP synthase 1,CTPS1,P17812,P17812;A0A3B3IRQ8;A0A3B3ITB8;B4E1E0
907,caffeine,1503,CTP synthase 1,CTPS1,P17812,P17812;A0A3B3IRQ8;A0A3B3ITB8;B4E1E0
908,caffeine,1508,cathepsin B,CTSB,P07858,P07858;A0A024R374
909,caffeine,1508,cathepsin B,CTSB,P07858,P07858;A0A024R374
910,caffeine,1508,cathepsin B,CTSB,P07858,P07858;A0A024R374
911,caffeine,1508,cathepsin B,CTSB,P07858,P07858;A0A024R374
912,caffeine,1509,cathepsin D,CTSD,P07339,P07339;V9HWI3
913,caffeine,1509,cathepsin D,CTSD,P07339,P07339;V9HWI3
914,caffeine,1514,cathepsin L,CTSL,P07711,P07711;Q5T8F0;Q9HBQ7
915,caffeine,1514,cathepsin L,CTSL,P07711,P07711;Q5T8F0;Q9HBQ7
916,caffeine,1523,cut like homeobox 1,CUX1,P39880,P39880;Q13948;Q3LIA3
917,caffeine,1523,cut like homeobox 1,CUX1,P39880,P39880;Q13948;Q3LIA3
918,caffeine,1525,CXADR cell adhesion molecule,CXADR,P78310,P78310
919,caffeine,1525,CXADR cell adhesion molecule,CXADR,P78310,P78310
920,caffeine,1535,cytochrome b-245 alpha chain,CYBA,P13498,P13498;B4DT46;H3BNP7
921,caffeine,1535,cytochrome b-245 alpha chain,CYBA,P13498,P13498;B4DT46;H3BNP7
922,caffeine,1537,cytochrome c1,CYC1,P08574,P08574
923,caffeine,1537,cytochrome c1,CYC1,P08574,P08574
924,caffeine,1543,cytochrome P450 family 1 subfamily A member 1,CYP1A1,P04798,P04798;A0N0X8;E7EMT5
925,caffeine,1543,cytochrome P450 family 1 subfamily A member 1,CYP1A1,P04798,P04798;A0N0X8;E7EMT5
926,caffeine,1543,cytochrome P450 family 1 subfamily A member 1,CYP1A1,P04798,P04798;A0N0X8;E7EMT5
927,caffeine,1543,cytochrome P450 family 1 subfamily A member 1,CYP1A1,P04798,P04798;A0N0X8;E7EMT5
928,caffeine,1543,cytochrome P450 family 1 subfamily A member 1,CYP1A1,P04798,P04798;A0N0X8;E7EMT5
929,caffeine,1544,cytochrome P450 family 1 subfamily A member 2,CYP1A2,P05177,P05177
930,caffeine,1544,cytochrome P450 family 1 subfamily A member 2,CYP1A2,P05177,P05177
931,caffeine,1544,cytochrome P450 family 1 subfamily A member 2,CYP1A2,P05177,P05177
932,caffeine,1544,cytochrome P450 family 1 subfamily A member 2,CYP1A2,P05177,P05177
933,caffeine,1544,cytochrome P450 family 1 subfamily A member 2,CYP1A2,P05177,P05177
934,caffeine,1544,cytochrome P450 family 1 subfamily A member 2,CYP1A2,P05177,P05177
935,caffeine,1544,cytochrome P450 family 1 subfamily A member 2,CYP1A2,P05177,P05177
936,caffeine,1544,cytochrome P450 family 1 subfamily A member 2,CYP1A2,P05177,P05177
937,caffeine,1544,cytochrome P450 family 1 subfamily A member 2,CYP1A2,P05177,P05177
938,caffeine,1544,cytochrome P450 family 1 subfamily A member 2,CYP1A2,P05177,P05177
939,caffeine,1544,cytochrome P450 family 1 subfamily A member 2,CYP1A2,P05177,P05177
940,caffeine,1544,cytochrome P450 family 1 subfamily A member 2,CYP1A2,P05177,P05177
941,caffeine,1544,cytochrome P450 family 1 subfamily A member 2,CYP1A2,P05177,P05177
942,caffeine,1544,cytochrome P450 family 1 subfamily A member 2,CYP1A2,P05177,P05177
943,caffeine,1544,cytochrome P450 family 1 subfamily A member 2,CYP1A2,P05177,P05177
944,caffeine,1544,cytochrome P450 family 1 subfamily A member 2,CYP1A2,P05177,P05177
945,caffeine,1544,cytochrome P450 family 1 subfamily A member 2,CYP1A2,P05177,P05177
946,caffeine,1544,cytochrome P450 family 1 subfamily A member 2,CYP1A2,P05177,P05177
947,caffeine,1544,cytochrome P450 family 1 subfamily A member 2,CYP1A2,P05177,P05177
948,caffeine,1544,cytochrome P450 family 1 subfamily A member 2,CYP1A2,P05177,P05177
949,caffeine,1544,cytochrome P450 family 1 subfamily A member 2,CYP1A2,P05177,P05177
950,caffeine,1544,cytochrome P450 family 1 subfamily A member 2,CYP1A2,P05177,P05177
951,caffeine,1544,cytochrome P450 family 1 subfamily A member 2,CYP1A2,P05177,P05177
952,caffeine,1544,cytochrome P450 family 1 subfamily A member 2,CYP1A2,P05177,P05177
953,caffeine,1544,cytochrome P450 family 1 subfamily A member 2,CYP1A2,P05177,P05177
954,caffeine,1544,cytochrome P450 family 1 subfamily A member 2,CYP1A2,P05177,P05177
955,caffeine,1544,cytochrome P450 family 1 subfamily A member 2,CYP1A2,P05177,P05177
956,caffeine,1544,cytochrome P450 family 1 subfamily A member 2,CYP1A2,P05177,P05177
957,caffeine,1544,cytochrome P450 family 1 subfamily A member 2,CYP1A2,P05177,P05177
958,caffeine,1544,cytochrome P450 family 1 subfamily A member 2,CYP1A2,P05177,P05177
959,caffeine,1544,cytochrome P450 family 1 subfamily A member 2,CYP1A2,P05177,P05177
960,caffeine,1544,cytochrome P450 family 1 subfamily A member 2,CYP1A2,P05177,P05177
961,caffeine,1544,cytochrome P450 family 1 subfamily A member 2,CYP1A2,P05177,P05177
962,caffeine,1544,cytochrome P450 family 1 subfamily A member 2,CYP1A2,P05177,P05177
963,caffeine,1544,cytochrome P450 family 1 subfamily A member 2,CYP1A2,P05177,P05177
964,caffeine,1544,cytochrome P450 family 1 subfamily A member 2,CYP1A2,P05177,P05177
965,caffeine,1544,cytochrome P450 family 1 subfamily A member 2,CYP1A2,P05177,P05177
966,caffeine,1544,cytochrome P450 family 1 subfamily A member 2,CYP1A2,P05177,P05177
967,caffeine,1544,cytochrome P450 family 1 subfamily A member 2,CYP1A2,P05177,P05177
968,caffeine,1544,cytochrome P450 family 1 subfamily A member 2,CYP1A2,P05177,P05177
969,caffeine,1544,cytochrome P450 family 1 subfamily A member 2,CYP1A2,P05177,P05177
970,caffeine,1544,cytochrome P450 family 1 subfamily A member 2,CYP1A2,P05177,P05177
971,caffeine,1544,cytochrome P450 family 1 subfamily A member 2,CYP1A2,P05177,P05177
972,caffeine,1544,cytochrome P450 family 1 subfamily A member 2,CYP1A2,P05177,P05177
973,caffeine,1544,cytochrome P450 family 1 subfamily A member 2,CYP1A2,P05177,P05177
974,caffeine,1544,cytochrome P450 family 1 subfamily A member 2,CYP1A2,P05177,P05177
975,caffeine,1544,cytochrome P450 family 1 subfamily A member 2,CYP1A2,P05177,P05177
976,caffeine,1545,cytochrome P450 family 1 subfamily B member 1,CYP1B1,Q16678,Q16678;Q53TK1
977,caffeine,1545,cytochrome P450 family 1 subfamily B member 1,CYP1B1,Q16678,Q16678;Q53TK1
978,caffeine,1545,cytochrome P450 family 1 subfamily B member 1,CYP1B1,Q16678,Q16678;Q53TK1
979,caffeine,1548,cytochrome P450 family 2 subfamily A member 6,CYP2A6,P11509,P11509
980,caffeine,1548,cytochrome P450 family 2 subfamily A member 6,CYP2A6,P11509,P11509
981,caffeine,1548,cytochrome P450 family 2 subfamily A member 6,CYP2A6,P11509,P11509
982,caffeine,1548,cytochrome P450 family 2 subfamily A member 6,CYP2A6,P11509,P11509
983,caffeine,1548,cytochrome P450 family 2 subfamily A member 6,CYP2A6,P11509,P11509
984,caffeine,1557,cytochrome P450 family 2 subfamily C member 19,CYP2C19,P33261,P33261
985,caffeine,1558,cytochrome P450 family 2 subfamily C member 8,CYP2C8,P10632,P10632;B7Z1F5
986,caffeine,1558,cytochrome P450 family 2 subfamily C member 8,CYP2C8,P10632,P10632;B7Z1F5
987,caffeine,1559,cytochrome P450 family 2 subfamily C member 9,CYP2C9,P11712,P11712;S5RV20
988,caffeine,1559,cytochrome P450 family 2 subfamily C member 9,CYP2C9,P11712,P11712;S5RV20
989,caffeine,1559,cytochrome P450 family 2 subfamily C member 9,CYP2C9,P11712,P11712;S5RV20
990,caffeine,1559,cytochrome P450 family 2 subfamily C member 9,CYP2C9,P11712,P11712;S5RV20
991,caffeine,1559,cytochrome P450 family 2 subfamily C member 9,CYP2C9,P11712,P11712;S5RV20
992,caffeine,1565,cytochrome P450 family 2 subfamily D member 6 (gene/pseudogene),CYP2D6,P10635,P10635;C1ID52;Q5Y7H2
993,caffeine,1565,cytochrome P450 family 2 subfamily D member 6 (gene/pseudogene),CYP2D6,P10635,P10635;C1ID52;Q5Y7H2
994,caffeine,1565,cytochrome P450 family 2 subfamily D member 6 (gene/pseudogene),CYP2D6,P10635,P10635;C1ID52;Q5Y7H2
995,caffeine,1565,cytochrome P450 family 2 subfamily D member 6 (gene/pseudogene),CYP2D6,P10635,P10635;C1ID52;Q5Y7H2
996,caffeine,1565,cytochrome P450 family 2 subfamily D member 6 (gene/pseudogene),CYP2D6,P10635,P10635;C1ID52;Q5Y7H2
997,caffeine,1565,cytochrome P450 family 2 subfamily D member 6 (gene/pseudogene),CYP2D6,P10635,P10635;C1ID52;Q5Y7H2
998,caffeine,1571,cytochrome P450 family 2 subfamily E member 1,CYP2E1,P05181,P05181
999,caffeine,1571,cytochrome P450 family 2 subfamily E member 1,CYP2E1,P05181,P05181
1000,caffeine,1571,cytochrome P450 family 2 subfamily E member 1,CYP2E1,P05181,P05181
1001,caffeine,1576,cytochrome P450 family 3 subfamily A member 4,CYP3A4,P08684,P08684;Q6GRK0
1002,caffeine,1576,cytochrome P450 family 3 subfamily A member 4,CYP3A4,P08684,P08684;Q6GRK0
1003,caffeine,1576,cytochrome P450 family 3 subfamily A member 4,CYP3A4,P08684,P08684;Q6GRK0
1004,caffeine,1576,cytochrome P450 family 3 subfamily A member 4,CYP3A4,P08684,P08684;Q6GRK0
1005,caffeine,1576,cytochrome P450 family 3 subfamily A member 4,CYP3A4,P08684,P08684;Q6GRK0
1006,caffeine,1576,cytochrome P450 family 3 subfamily A member 4,CYP3A4,P08684,P08684;Q6GRK0
1007,caffeine,1576,cytochrome P450 family 3 subfamily A member 4,CYP3A4,P08684,P08684;Q6GRK0
1008,caffeine,1580,cytochrome P450 family 4 subfamily B member 1,CYP4B1,P13584,P13584;B4DV41;Q8IZB0
1009,caffeine,1580,cytochrome P450 family 4 subfamily B member 1,CYP4B1,P13584,P13584;B4DV41;Q8IZB0
1010,caffeine,1583,cytochrome P450 family 11 subfamily A member 1,CYP11A1,P05108,P05108;A0A0S2Z3R3
1011,caffeine,1583,cytochrome P450 family 11 subfamily A member 1,CYP11A1,P05108,P05108;A0A0S2Z3R3
1012,caffeine,1584,cytochrome P450 family 11 subfamily B member 1,CYP11B1,P15538,P15538;Q8TDD0
1013,caffeine,1584,cytochrome P450 family 11 subfamily B member 1,CYP11B1,P15538,P15538;Q8TDD0
1014,caffeine,1585,cytochrome P450 family 11 subfamily B member 2,CYP11B2,P19099,P19099
1015,caffeine,1585,cytochrome P450 family 11 subfamily B member 2,CYP11B2,P19099,P19099
1016,caffeine,1586,cytochrome P450 family 17 subfamily A member 1,CYP17A1,P05093,P05093;Q1HB44
1017,caffeine,1586,cytochrome P450 family 17 subfamily A member 1,CYP17A1,P05093,P05093;Q1HB44
1018,caffeine,1588,cytochrome P450 family 19 subfamily A member 1,CYP19A1,P11511,P11511;A8K6W3;Q05CU4;Q8IYG4;Q8TCA4
1019,caffeine,1588,cytochrome P450 family 19 subfamily A member 1,CYP19A1,P11511,P11511;A8K6W3;Q05CU4;Q8IYG4;Q8TCA4
1020,caffeine,1589,cytochrome P450 family 21 subfamily A member 2,CYP21A2,P08686,P08686;Q08AG9
1021,caffeine,1589,cytochrome P450 family 21 subfamily A member 2,CYP21A2,P08686,P08686;Q08AG9
1022,caffeine,1601,DAB adaptor protein 2,DAB2,P98082,P98082;B2RAW0
1023,caffeine,1601,DAB adaptor protein 2,DAB2,P98082,P98082;B2RAW0
