compound,geneid,description,symbol,uniprot_accession,uniprot_accessions
maprotiline,3357,5-hydroxytryptamine receptor 2B,HTR2B,P41595,P41595
maprotiline,3358,5-hydroxytryptamine receptor 2C,HTR2C,P28335,P28335;K9J958
maprotiline,3358,5-hydroxytryptamine receptor 2C,HTR2C,P28335,P28335;K9J958
maprotiline,3358,5-hydroxytryptamine receptor 2C,HTR2C,P28335,P28335;K9J958
maprotiline,3362,5-hydroxytryptamine receptor 6,HTR6,P50406,P50406
maprotiline,3363,5-hydroxytryptamine receptor 7,HTR7,P34969,P34969
maprotiline,3363,5-hydroxytryptamine receptor 7,HTR7,P34969,P34969
maprotiline,4129,monoamine oxidase B,MAOB,P27338,P27338;B7Z242
maprotiline,5004,orosomucoid 1,ORM1,P02763,P02763
maprotiline,6530,solute carrier family 6 member 2,SLC6A2,P23975,P23975;H3BRE9
maprotiline,6530,solute carrier family 6 member 2,SLC6A2,P23975,P23975;H3BRE9
maprotiline,6530,solute carrier family 6 member 2,SLC6A2,P23975,P23975;H3BRE9
maprotiline,6530,solute carrier family 6 member 2,SLC6A2,P23975,P23975;H3BRE9
maprotiline,6530,solute carrier family 6 member 2,SLC6A2,P23975,P23975;H3BRE9
maprotiline,6530,solute carrier family 6 member 2,SLC6A2,P23975,P23975;H3BRE9
maprotiline,6531,solute carrier family 6 member 3,SLC6A3,Q01959,Q01959
maprotiline,6531,solute carrier family 6 member 3,SLC6A3,Q01959,Q01959
maprotiline,6532,solute carrier family 6 member 4,SLC6A4,P31645,P31645;B2R7Y7
maprotiline,6532,solute carrier family 6 member 4,SLC6A4,P31645,P31645;B2R7Y7
maprotiline,9429,ATP binding cassette subfamily G member 2 (JR blood group),ABCG2,Q9UNQ0,Q9UNQ0
maprotiline,16521,"potassium inwardly-rectifying channel, subfamily J, member 5",KCNJ5,P48545,P48545
maprotiline,16522,"potassium inwardly-rectifying channel, subfamily J, member 6",KCNJ6,P48542,P48542;A0A0R4J239;A0A338P6L0;Q0VB45;Q8C4T8;Q8C8Y6
maprotiline,16522,"potassium inwardly-rectifying channel, subfamily J, member 6",KCNJ6,P48542,P48542;A0A0R4J239;A0A338P6L0;Q0VB45;Q8C4T8;Q8C8Y6
maprotiline,29412,adrenoceptor alpha 1A,ADRA1A,P43140,P43140;A0A8L2Q6V0;A0ABK0LG70;A6K6N1
maprotiline,80036,transient receptor potential cation channel subfamily M member 3,TRPM3,Q9HCF6,Q9HCF6;A0A7I2V4C9;A2A3F4;E9PBI7;G5E9G1;H7BYP1;Q6NW43;Q9H200
maprotiline,80036,transient receptor potential cation channel subfamily M member 3,TRPM3,Q9HCF6,Q9HCF6;A0A7I2V4C9;A2A3F4;E9PBI7;G5E9G1;H7BYP1;Q6NW43;Q9H200
