compound,protein,normalized_target,is_gene
caffeine,CFAP97,CFAP97,True
caffeine,CGN,CGN,True
caffeine,CHAMP1,CHAMP1,True
caffeine,CHD3,CHD3,True
caffeine,CHD8,CHD8,True
caffeine,CHEK1,CHEK1,True
caffeine,CHEK2,CHEK2,True
caffeine,CHEK2,CHEK2,True
caffeine,CHERP,CHERP,True
caffeine,CHMP6,CHMP6,True
caffeine,CIAPIN1,CIAPIN1,True
caffeine,CKMA,CKMA,True
caffeine,CLCC1,CLCC1,True
caffeine,CLDN3,CLDN3,True
caffeine,CLINT1,CLINT1,True
caffeine,HLA-A,hla a,False
caffeine,CLK3,CLK3,True
caffeine,CLOCK,CLOCK,True
caffeine,HMGA1,HMGA1,True
caffeine,CLTC,CLTC,True
caffeine,HMGB1,HMGB1,True
caffeine,CMTM4,CMTM4,True
caffeine,CNKSR1,CNKSR1,True
caffeine,CNNM2,CNNM2,True
caffeine,CNP,CNP,True
caffeine,COCH,COCH,True
caffeine,COL1A1,COL1A1,True
caffeine,COPA,COPA,True
caffeine,COPS3,COPS3,True
caffeine,CORT,CORT,True
caffeine,CPEB2,CPEB2,True
caffeine,CPSF3,CPSF3,True
caffeine,CPT1A,CPT1A,True
caffeine,CREB1,CREB1,True
caffeine,CREBBP,CREBBP,True
caffeine,CRIPT,CRIPT,True
caffeine,CRTC2,CRTC2,True
caffeine,CRYBB1,CRYBB1,True
caffeine,CRYGMX,CRYGMX,True
caffeine,CSNK1G3,CSNK1G3,True
caffeine,CSTF1,CSTF1,True
caffeine,CTDP1,CTDP1,True
caffeine,CTNNAL1,CTNNAL1,True
caffeine,CTNNBIP1,CTNNBIP1,True
caffeine,CTSB,CTSB,True
caffeine,CTTN,CTTN,True
caffeine,CUL4A,CUL4A,True
caffeine,CWF19L2,CWF19L2,True
caffeine,ZNF280C,ZNF280C,True
caffeine,ZNF318,ZNF318,True
caffeine,ZNF33A,ZNF33A,True
caffeine,HMGCR,HMGCR,True
caffeine,HMGCS1,HMGCS1,True
caffeine,Adenosine receptor A1,adenosine receptor a1,False
caffeine,"Phosphatidylinositol 4,5-bisphosphate 3-kinase catalytic subunit delta isoform",phosphatidylinositol 4 5 bisphosphate 3 kinase catalytic subunit delta isoform,False
caffeine,HMGN1,HMGN1,True
caffeine,HNRNPA1,HNRNPA1,True
caffeine,HNRNPAB,HNRNPAB,True
caffeine,ZNF408,ZNF408,True
caffeine,ZNF503,ZNF503,True
caffeine,ZNF516,ZNF516,True
caffeine,Adenosine receptor A2a,adenosine receptor a2a,False
caffeine,Adenosine A2 receptor,adenosine a2 receptor,False
caffeine,Adenosine receptor,adenosine receptor,False
caffeine,HNRNPD,HNRNPD,True
caffeine,HNRNPF,HNRNPF,True
caffeine,HNRNPH3,HNRNPH3,True
caffeine,ZNF579,ZNF579,True
caffeine,ZNF609,ZNF609,True
caffeine,ZNF641,ZNF641,True
caffeine,HNRNPL,HNRNPL,True
caffeine,HNRNPU,HNRNPU,True
caffeine,HOOK3,HOOK3,True
caffeine,A1 receptor,a1 receptor,False
caffeine,"Glycogen phosphorylase, muscle form",glycogen phosphorylase muscle form,False
caffeine,ZNF652,ZNF652,True
caffeine,ZNF692,ZNF692,True
caffeine,ZNF784,ZNF784,True
caffeine,HPRT1,HPRT1,True
caffeine,HRC,HRC,True
caffeine,ZNRF2,ZNRF2,True
caffeine,ZSCAN5A,ZSCAN5A,True
caffeine,ZZEF1,ZZEF1,True
caffeine,HSD11B2,HSD11B2,True
caffeine,HSD3B1,HSD3B1,True
caffeine,HSP70L,HSP70L,True
caffeine,HSP90AB2P,HSP90AB2P,True
caffeine,HSP90B2P,HSP90B2P,True
caffeine,HSPA4L,HSPA4L,True
caffeine,HSPB1,HSPB1,True
caffeine,HSPBP1,HSPBP1,True
caffeine,HSPH1,HSPH1,True
caffeine,HUWE1,HUWE1,True
caffeine,IBTK,IBTK,True
caffeine,ID2,ID2,True
caffeine,IFNAR2,IFNAR2,True
caffeine,IGF1,IGF1,True
caffeine,IGF1,IGF1,True
caffeine,IGF2,IGF2,True
caffeine,IGLC6,IGLC6,True
caffeine,IL10,IL10,True
caffeine,IL1RL1,IL1RL1,True
caffeine,IL4RA,IL4RA,True
caffeine,IL6,IL6,True
caffeine,ILF3,ILF3,True
caffeine,INCENP,INCENP,True
caffeine,INO80C,INO80C,True
caffeine,INPPL1,INPPL1,True
caffeine,INTS1,INTS1,True
caffeine,INTS7,INTS7,True
caffeine,IRAK1,IRAK1,True
caffeine,IRF2BPL,IRF2BPL,True
caffeine,ISYNA1,ISYNA1,True
caffeine,ITPKA,ITPKA,True
caffeine,ITSN1,ITSN1,True
caffeine,JAK3,JAK3,True
caffeine,JMY,JMY,True
caffeine,JUP,JUP,True
caffeine,KANSL1,KANSL1,True
caffeine,KAT7,KAT7,True
caffeine,KAZN,KAZN,True
caffeine,KCTD14,KCTD14,True
caffeine,KDM3A,KDM3A,True
caffeine,KDM5C,KDM5C,True
caffeine,KHDRBS1,KHDRBS1,True
caffeine,A3 receptor,a3 receptor,False
caffeine,KIAA0232,KIAA0232,True
caffeine,KIAA0930,KIAA0930,True
caffeine,KIAA1671,KIAA1671,True
caffeine,PTGER1,PTGER1,True
caffeine,Carbonic anhydrase 1,carbonic anhydrase 1,False
caffeine,KIF13A,KIF13A,True
caffeine,KIF18B,KIF18B,True
caffeine,KIF21A,KIF21A,True
caffeine,KIF23,KIF23,True
caffeine,KIFBP,KIFBP,True
caffeine,KLC2,KLC2,True
caffeine,KLHDC4,KLHDC4,True
caffeine,KLHL9,KLHL9,True
caffeine,KNL1,KNL1,True
caffeine,KPNA6,KPNA6,True
caffeine,KRT18,KRT18,True
caffeine,KSR1,KSR1,True
caffeine,LAMB1,LAMB1,True
caffeine,LARP4,LARP4,True
caffeine,GEMIN6,GEMIN6,True
caffeine,GFER,GFER,True
caffeine,USP40,USP40,True
caffeine,USP5,USP5,True
caffeine,USP8,USP8,True
caffeine,GHITM,GHITM,True
caffeine,GINS2,GINS2,True
caffeine,GJA1,GJA1,True
caffeine,USP9Y,USP9Y,True
caffeine,VAMP3,VAMP3,True
caffeine,VARS1,VARS1,True
caffeine,GJA1,GJA1,True
caffeine,GLI3,GLI3,True
caffeine,GLUD1,GLUD1,True
caffeine,VAT1,VAT1,True
caffeine,VCL,VCL,True
caffeine,VDAC1,VDAC1,True
caffeine,GMFB,GMFB,True
caffeine,GNAI1,GNAI1,True
caffeine,GNAS,GNAS,True
caffeine,Adenosine receptor A2b,adenosine receptor a2b,False
caffeine,VGLL4,VGLL4,True
caffeine,VPS13C,VPS13C,True
caffeine,VPS26B,VPS26B,True
caffeine,GNG5,GNG5,True
caffeine,GOLGA1,GOLGA1,True
caffeine,GOLGB1,GOLGB1,True
caffeine,VPS54,VPS54,True
caffeine,VWA3A,VWA3A,True
caffeine,Adenosine receptor A1,adenosine receptor a1,False
caffeine,Adenosine receptor,adenosine receptor,False
caffeine,Guanine deaminase,guanine deaminase,False
caffeine,GOPC,GOPC,True
caffeine,GOT2,GOT2,True
caffeine,GPATCH2L,GPATCH2L,True
caffeine,WASHC2C,WASHC2C,True
caffeine,WDCP,WDCP,True
caffeine,WDR20,WDR20,True
caffeine,A1 receptor,a1 receptor,False
caffeine,"cAMP-specific 3',5'-cyclic phosphodiesterase 4A",camp specific 3 5 cyclic phosphodiesterase 4a,False
caffeine,GPBP1L1,GPBP1L1,True
caffeine,GPI,GPI,True
caffeine,GPT,GPT,True
caffeine,WDR33,WDR33,True
caffeine,WDR59,WDR59,True
caffeine,WFS1,WFS1,True
caffeine,GPX3,GPX3,True
caffeine,GRB10,GRB10,True
caffeine,WNK2,WNK2,True
caffeine,WRAP73,WRAP73,True
caffeine,WWC1,WWC1,True
caffeine,GRHL1,GRHL1,True
caffeine,GRIN2A,GRIN2A,True
caffeine,GRK5,GRK5,True
caffeine,XDH,XDH,True
caffeine,XPO1,XPO1,True
caffeine,XRCC4,XRCC4,True
caffeine,GRWD1,GRWD1,True
caffeine,GSK3A,GSK3A,True
caffeine,GSR,GSR,True
caffeine,XRN2,XRN2,True
caffeine,YBX3,YBX3,True
caffeine,A3 receptor,a3 receptor,False
caffeine,A2B receptor,a2b receptor,False
caffeine,GSTD7,GSTD7,True
caffeine,GSTO1,GSTO1,True
caffeine,GTF2F2,GTF2F2,True
caffeine,Carbonic anhydrase 2,carbonic anhydrase 2,False
caffeine,YJU2B,YJU2B,True
caffeine,YTHDC2,YTHDC2,True
caffeine,YWHAE,YWHAE,True
caffeine,GTF3C1,GTF3C1,True
caffeine,GTPBP1,GTPBP1,True
caffeine,GZF1,GZF1,True
caffeine,ZBED4,ZBED4,True
caffeine,ZBTB2,ZBTB2,True
caffeine,ZBTB44,ZBTB44,True
caffeine,H1-4,h1 4,False
caffeine,H1F0,H1F0,True
caffeine,H2AX,H2AX,True
caffeine,ZBTB49,ZBTB49,True
caffeine,ZC2HC1A,ZC2HC1A,True
caffeine,ZC3H15,ZC3H15,True
caffeine,H3C15,H3C15,True
caffeine,HACE1,HACE1,True
caffeine,ADORA1,ADORA1,True
caffeine,ZC3H3,ZC3H3,True
caffeine,ZC3HAV1,ZC3HAV1,True
caffeine,ZCCHC2,ZCCHC2,True
caffeine,HBA-A1,hba a1,False
caffeine,HDAC2,HDAC2,True
caffeine,HDAC7,HDAC7,True
caffeine,ZDHHC7,ZDHHC7,True
caffeine,ZFAND3,ZFAND3,True
caffeine,HDGF,HDGF,True
caffeine,HE1.3,he1 3,False
caffeine,HEBP2,HEBP2,True
caffeine,IL6,IL6,True
caffeine,ILF3,ILF3,True
caffeine,INAVA,INAVA,True
caffeine,INO80B,INO80B,True
caffeine,INPP5F,INPP5F,True
caffeine,INSIG1,INSIG1,True
caffeine,INSR,INSR,True
caffeine,INTS3,INTS3,True
caffeine,IQSEC1,IQSEC1,True
caffeine,IRF2BP2,IRF2BP2,True
caffeine,ISLR2,ISLR2,True
caffeine,ITGB1,ITGB1,True
caffeine,ITM2B,ITM2B,True
caffeine,ITPRID2,ITPRID2,True
caffeine,IWS1,IWS1,True
caffeine,JAG1,JAG1,True
caffeine,JMJD1C,JMJD1C,True
caffeine,JUN,JUN,True
caffeine,JUND,JUND,True
caffeine,KANK2,KANK2,True
caffeine,KAT6B,KAT6B,True
caffeine,KATNIP,KATNIP,True
caffeine,KCNAB2,KCNAB2,True
caffeine,KDM2B,KDM2B,True
caffeine,KDM4C,KDM4C,True
caffeine,KHDC4,KHDC4,True
caffeine,KHSRP,KHSRP,True
caffeine,KIAA0753,KIAA0753,True
caffeine,KIAA1328,KIAA1328,True
caffeine,KIDINS220,KIDINS220,True
caffeine,KIF18A,KIF18A,True
caffeine,KIF20B,KIF20B,True
caffeine,KIF4A,KIF4A,True
caffeine,KIZ,KIZ,True
caffeine,KLF4,KLF4,True
caffeine,KLHL32,KLHL32,True
caffeine,KMT2C,KMT2C,True
caffeine,KMT2D,KMT2D,True
caffeine,KPNA2,KPNA2,True
caffeine,KRT1,KRT1,True
caffeine,KRT84,KRT84,True
caffeine,LAD1,LAD1,True
caffeine,LARP1B,LARP1B,True
caffeine,IL6ST,IL6ST,True
caffeine,IMPDH2,IMPDH2,True
caffeine,INO80,INO80,True
caffeine,INPP5D,INPP5D,True
caffeine,INS1,INS1,True
caffeine,INSR,INSR,True
caffeine,INTS13,INTS13,True
caffeine,IQGAP3,IQGAP3,True
caffeine,IRF2BP1,IRF2BP1,True
caffeine,IRX3,IRX3,True
caffeine,ITGAM,ITGAM,True
caffeine,ITIH2,ITIH2,True
caffeine,ITPR3,ITPR3,True
caffeine,IVNS1ABP,IVNS1ABP,True
caffeine,JADE3,JADE3,True
caffeine,JHEH1,JHEH1,True
caffeine,JRK,JRK,True
caffeine,JUNB,JUNB,True
caffeine,KANK1,KANK1,True
caffeine,KAT6A,KAT6A,True
caffeine,KATNA1,KATNA1,True
caffeine,KCMF1,KCMF1,True
caffeine,KDM2A,KDM2A,True
caffeine,KDM4A,KDM4A,True
caffeine,KGD4,KGD4,True
caffeine,KIAA0586,KIAA0586,True
caffeine,KIAA1217,KIAA1217,True
caffeine,KIF16B,KIF16B,True
caffeine,KIF20A,KIF20A,True
caffeine,KIF3B,KIF3B,True
caffeine,KIN,KIN,True
caffeine,KLF16,KLF16,True
caffeine,KLF4,KLF4,True
caffeine,KLHL22,KLHL22,True
caffeine,KMT2B,KMT2B,True
caffeine,KNTC1,KNTC1,True
caffeine,KRABD3,KRABD3,True
caffeine,KRT36,KRT36,True
caffeine,KTN1,KTN1,True
caffeine,LARP1,LARP1,True
caffeine,LARP4B,LARP4B,True
caffeine,LASP1,LASP1,True
caffeine,LCK,LCK,True
caffeine,LDHA,LDHA,True
caffeine,LEMD3,LEMD3,True
caffeine,LEP,LEP,True
caffeine,LGALS2,LGALS2,True
caffeine,LIG3,LIG3,True
caffeine,LIMD1,LIMD1,True
caffeine,LIMK2,LIMK2,True
caffeine,LIN9,LIN9,True
caffeine,LMNB1,LMNB1,True
caffeine,LMNB2,LMNB2,True
caffeine,LONP2,LONP2,True
caffeine,LPIN3,LPIN3,True
caffeine,LPP,LPP,True
caffeine,LRIF1,LRIF1,True
caffeine,LRRC45,LRRC45,True
caffeine,LRRC8A,LRRC8A,True
caffeine,LRSAM1,LRSAM1,True
caffeine,LSM14A,LSM14A,True
caffeine,LTV1,LTV1,True
caffeine,LUZP1,LUZP1,True
caffeine,MACF1,MACF1,True
caffeine,MACROH2A1,MACROH2A1,True
caffeine,MAFK,MAFK,True
caffeine,MAGI2,MAGI2,True
caffeine,MALT1,MALT1,True
caffeine,MAOA,MAOA,True
caffeine,MAP1S,MAP1S,True
caffeine,MAP2K7,MAP2K7,True
caffeine,MAP3K12,MAP3K12,True
caffeine,MAP3K4,MAP3K4,True
caffeine,MAP3K9,MAP3K9,True
caffeine,MAP4K5,MAP4K5,True
caffeine,MAPK1,MAPK1,True
caffeine,MAPK1IP1L,MAPK1IP1L,True
caffeine,MAPK7,MAPK7,True
caffeine,MAPKAPK3,MAPKAPK3,True
caffeine,MAPT,MAPT,True
caffeine,MARF1,MARF1,True
caffeine,MAST3,MAST3,True
caffeine,MAVS,MAVS,True
caffeine,MBD4,MBD4,True
caffeine,MBIP,MBIP,True
caffeine,MCL1,MCL1,True
caffeine,MCM4,MCM4,True
caffeine,MCM8,MCM8,True
caffeine,MCRIP2,MCRIP2,True
caffeine,MDH2,MDH2,True
caffeine,ITPR1,ITPR1,True
caffeine,ZFP276,ZFP276,True
caffeine,ZFP553,ZFP553,True
caffeine,ZFYVE16,ZFYVE16,True
caffeine,HELB,HELB,True
caffeine,HELZ,HELZ,True
caffeine,HEXIM2,HEXIM2,True
caffeine,MYO9B,MYO9B,True
caffeine,ZHX3,ZHX3,True
caffeine,ZKSCAN8,ZKSCAN8,True
caffeine,ZMYND8,ZMYND8,True
caffeine,HHIPL2,HHIPL2,True
caffeine,HINT1,HINT1,True
caffeine,HIVEP1,HIVEP1,True
caffeine,ZNF142,ZNF142,True
caffeine,ZNF219,ZNF219,True
caffeine,ZNF280B,ZNF280B,True
caffeine,HMGA1,HMGA1,True
caffeine,HMGB1,HMGB1,True
caffeine,ZNF316,ZNF316,True
caffeine,ZNF337,ZNF337,True
caffeine,HMGCR,HMGCR,True
caffeine,HMGCS1,HMGCS1,True
caffeine,HNF1A,HNF1A,True
caffeine,HNRNPA3,HNRNPA3,True
caffeine,ZNF407,ZNF407,True
caffeine,ZNF502,ZNF502,True
caffeine,ZNF513,ZNF513,True
caffeine,HNRNPF,HNRNPF,True
caffeine,HNRNPH2,HNRNPH2,True
caffeine,ZNF518A,ZNF518A,True
caffeine,ZNF598,ZNF598,True
caffeine,ZNF639,ZNF639,True
caffeine,HNRNPK,HNRNPK,True
caffeine,HNRNPR,HNRNPR,True
caffeine,HOMER3,HOMER3,True
caffeine,ZNF691,ZNF691,True
caffeine,ZNF777,ZNF777,True
caffeine,HPD,HPD,True
caffeine,HRAS,HRAS,True
caffeine,HSD11B2,HSD11B2,True
caffeine,ZNHIT6,ZNHIT6,True
caffeine,ZRANB3,ZRANB3,True
caffeine,ZYX,ZYX,True
caffeine,HSD3B1,HSD3B1,True
caffeine,HSP70.3,hsp70 3,False
caffeine,HSP90AB1,HSP90AB1,True
caffeine,HSP90B1,HSP90B1,True
caffeine,HSPA4,HSPA4,True
caffeine,CACNA1S,CACNA1S,True
caffeine,HSPB1,HSPB1,True
caffeine,HSPB6,HSPB6,True
caffeine,HSPG2,HSPG2,True
caffeine,HTT,HTT,True
caffeine,IBSP,IBSP,True
caffeine,ICE1,ICE1,True
caffeine,ICE2,ICE2,True
caffeine,IFITM2,IFITM2,True
caffeine,IFT74,IFT74,True
caffeine,IGF1,IGF1,True
caffeine,IGF1R,IGF1R,True
caffeine,IGFN1.1,igfn1 1,False
caffeine,IKZF4,IKZF4,True
caffeine,IL12A,IL12A,True
caffeine,IL1B,IL1B,True
caffeine,IL4RA,IL4RA,True
caffeine,LAS1L,LAS1L,True
caffeine,LBR,LBR,True
caffeine,LEMD2,LEMD2,True
caffeine,LEP,LEP,True
caffeine,LEPR,LEPR,True
caffeine,LIG1,LIG1,True
caffeine,LIMA1,LIMA1,True
caffeine,LIMK1,LIMK1,True
caffeine,LIN7B,LIN7B,True
caffeine,LMNA,LMNA,True
caffeine,LMNB1,LMNB1,True
caffeine,LNPEP,LNPEP,True
caffeine,LPIN2,LPIN2,True
caffeine,LPL,LPL,True
caffeine,LRCH4,LRCH4,True
caffeine,LRRC41,LRRC41,True
caffeine,LRRN1,LRRN1,True
caffeine,LSM12,LSM12,True
caffeine,LSS,LSS,True
caffeine,LUC7L3,LUC7L3,True
caffeine,LZTS2,LZTS2,True
caffeine,MAFF,MAFF,True
caffeine,MAGI1,MAGI1,True
caffeine,MAN2A1,MAN2A1,True
caffeine,MAP1LC3B,MAP1LC3B,True
caffeine,MAP2K4,MAP2K4,True
caffeine,MAP3K11,MAP3K11,True
caffeine,MAP3K3,MAP3K3,True
caffeine,A2B receptor,a2b receptor,False
caffeine,MAP4K4,MAP4K4,True
caffeine,MAP9,MAP9,True
caffeine,NOS1,NOS1,True
caffeine,MAPK15,MAPK15,True
caffeine,MAPK3,MAPK3,True
caffeine,MAPKAP1,MAPKAP1,True
caffeine,MAPT,MAPT,True
caffeine,MARCKSL1,MARCKSL1,True
caffeine,MARK4,MARK4,True
caffeine,MAST2,MAST2,True
caffeine,MATR3,MATR3,True
caffeine,MBD2,MBD2,True
caffeine,MBD6,MBD6,True
caffeine,MCCC1,MCCC1,True
caffeine,MCM3,MCM3,True
caffeine,MCM6,MCM6,True
caffeine,MCPH1,MCPH1,True
caffeine,MDC1,MDC1,True
caffeine,"Glycogen phosphorylase, muscle form",glycogen phosphorylase muscle form,False
caffeine,ADORA1,ADORA1,True
caffeine,LARS1,LARS1,True
caffeine,LATS2,LATS2,True
caffeine,LDHA,LDHA,True
caffeine,LDLR,LDLR,True
caffeine,LEO1,LEO1,True
caffeine,LEPR,LEPR,True
caffeine,LGR5,LGR5,True
caffeine,LIM2.4,lim2 4,False
caffeine,LIME1,LIME1,True
caffeine,LIN54,LIN54,True
caffeine,LLGL2,LLGL2,True
caffeine,LMTK2,LMTK2,True
caffeine,LPIN1,LPIN1,True
caffeine,LRCH1,LRCH1,True
caffeine,LRP6,LRP6,True
caffeine,LRRFIP2,LRRFIP2,True
caffeine,LSG1,LSG1,True
caffeine,LSR,LSR,True
caffeine,LUC7L2,LUC7L2,True
caffeine,LYSMD3,LYSMD3,True
caffeine,MAF1,MAF1,True
caffeine,MAGED4,MAGED4,True
caffeine,MAL2,MAL2,True
caffeine,MAML2,MAML2,True
caffeine,MAP1LC3B,MAP1LC3B,True
caffeine,MAP3K1,MAP3K1,True
caffeine,MAP3K20,MAP3K20,True
caffeine,VDR,VDR,True
caffeine,A3 receptor,a3 receptor,False
caffeine,A2B receptor,a2b receptor,False
caffeine,MAP4K2,MAP4K2,True
caffeine,MAP7D2,MAP7D2,True
caffeine,MAPK1,MAPK1,True
caffeine,TOP1,TOP1,True
caffeine,MAPK1,MAPK1,True
caffeine,MAPK3,MAPK3,True
caffeine,MAPK9,MAPK9,True
caffeine,MAPRE2,MAPRE2,True
caffeine,MARCKS,MARCKS,True
caffeine,MARK3,MARK3,True
caffeine,MARVELD2,MARVELD2,True
caffeine,MASTL,MASTL,True
caffeine,MBD1,MBD1,True
caffeine,MBD5,MBD5,True
caffeine,MCC,MCC,True
caffeine,MCM2,MCM2,True
caffeine,MCMBP,MCMBP,True
caffeine,MCTP2,MCTP2,True
caffeine,ADORA2A,ADORA2A,True
caffeine,MED1,MED1,True
caffeine,MED15,MED15,True
caffeine,MED26,MED26,True
caffeine,MEIS2,MEIS2,True
caffeine,MERTK,MERTK,True
caffeine,METTL22,METTL22,True
caffeine,DAGLA,DAGLA,True
caffeine,METTL2B,METTL2B,True
caffeine,MFAP1,MFAP1,True
caffeine,MFN2,MFN2,True
caffeine,MGRN1,MGRN1,True
caffeine,MICA,MICA,True
caffeine,MICB,MICB,True
caffeine,Potassium voltage-gated channel subfamily H member 2,potassium voltage gated channel subfamily h member 2,False
caffeine,Acetylcholinesterase,acetylcholinesterase,False
caffeine,5'-nucleotidase,5 nucleotidase,False
caffeine,"3',5'-cyclic-AMP phosphodiesterase 4B",3 5 cyclic amp phosphodiesterase 4b,False
caffeine,MIER1,MIER1,True
caffeine,MIIP,MIIP,True
caffeine,MIPB,MIPB,True
caffeine,Adenosine receptor A1,adenosine receptor a1,False
caffeine,Adenosine A2 receptor,adenosine a2 receptor,False
caffeine,Adenosine receptor,adenosine receptor,False
caffeine,Adenosine receptor A2b,adenosine receptor a2b,False
caffeine,"cGMP-inhibited 3',5'-cyclic phosphodiesterase 3A",cgmp inhibited 3 5 cyclic phosphodiesterase 3a,False
caffeine,"Dual 3',5'-cyclic-AMP and -GMP phosphodiesterase 11A",dual 3 5 cyclic amp and gmp phosphodiesterase 11a,False
caffeine,MIS18BP1,MIS18BP1,True
caffeine,MKI67,MKI67,True
caffeine,MLXIPL,MLXIPL,True
caffeine,"High affinity cAMP-specific and IBMX-insensitive 3',5'-cyclic phosphodiesterase 8A",high affinity camp specific and ibmx insensitive 3 5 cyclic phosphodiesterase 8a,False
caffeine,"Rod cGMP-specific 3',5'-cyclic phosphodiesterase subunit beta",rod cgmp specific 3 5 cyclic phosphodiesterase subunit beta,False
caffeine,DNA-dependent protein kinase catalytic subunit,dna dependent protein kinase catalytic subunit,False
caffeine,Chitotriosidase-1,chitotriosidase 1,False
caffeine,MMGT1,MMGT1,True
caffeine,MMP7,MMP7,True
caffeine,"Phosphatidylinositol 4,5-bisphosphate 3-kinase catalytic subunit beta isoform",phosphatidylinositol 4 5 bisphosphate 3 kinase catalytic subunit beta isoform,False
caffeine,Serine-protein kinase ATM,serine protein kinase atm,False
caffeine,Cytochrome P450 2C8,cytochrome p450 2c8,False
caffeine,Cytochrome P450 2D6,cytochrome p450 2d6,False
caffeine,MON2,MON2,True
caffeine,MOV10,MOV10,True
caffeine,MPLKIP,MPLKIP,True
caffeine,RyR3,ryr3,False
caffeine,MRGBP,MRGBP,True
caffeine,MRPL20,MRPL20,True
caffeine,MRTFA,MRTFA,True
caffeine,MSH6,MSH6,True
caffeine,MSMO1,MSMO1,True
caffeine,IL6,IL6,True
caffeine,ILKAP,ILKAP,True
caffeine,INF2,INF2,True
caffeine,ING5,ING5,True
caffeine,INO80D,INO80D,True
caffeine,INS,INS,True
caffeine,Potassium channel subfamily K member 2,potassium channel subfamily k member 2,False
caffeine,INTS12,INTS12,True
caffeine,IQGAP2,IQGAP2,True
caffeine,IREB2,IREB2,True
caffeine,IRS1,IRS1,True
caffeine,ITGA4,ITGA4,True
caffeine,ITGB4,ITGB4,True
caffeine,ITPR1,ITPR1,True
caffeine,ITSN2,ITSN2,True
caffeine,JADE2,JADE2,True
caffeine,JARID2,JARID2,True
caffeine,JOSD1,JOSD1,True
caffeine,JUN,JUN,True
caffeine,KALRN,KALRN,True
caffeine,KARS1,KARS1,True
caffeine,KAT8,KAT8,True
caffeine,KBTBD7,KBTBD7,True
caffeine,KCTD3,KCTD3,True
caffeine,KDM3B,KDM3B,True
caffeine,KDR,KDR,True
caffeine,KHSRP,KHSRP,True
caffeine,KIAA0319L,KIAA0319L,True
caffeine,KIAA1143,KIAA1143,True
caffeine,KIDINS220,KIDINS220,True
caffeine,KIF15,KIF15,True
caffeine,KIF1B,KIF1B,True
caffeine,KIF22,KIF22,True
caffeine,KIF2C,KIF2C,True
caffeine,KIFC3,KIFC3,True
caffeine,KLC4,KLC4,True
caffeine,KLF3,KLF3,True
caffeine,KLHL14,KLHL14,True
caffeine,KMT2A,KMT2A,True
caffeine,KNOP1,KNOP1,True
caffeine,KPNB1,KPNB1,True
caffeine,KRT18,KRT18,True
caffeine,KTI12,KTI12,True
caffeine,LAMTOR1,LAMTOR1,True
caffeine,MDN1,MDN1,True
caffeine,MED13L,MED13L,True
caffeine,MED24,MED24,True
caffeine,MEF2C,MEF2C,True
caffeine,MEPCE,MEPCE,True
caffeine,METTL21A,METTL21A,True
caffeine,MEX3D,MEX3D,True
caffeine,MFN1,MFN1,True
caffeine,"3',5'-cyclic-AMP phosphodiesterase 4D",3 5 cyclic amp phosphodiesterase 4d,False
caffeine,MGME1,MGME1,True
caffeine,MIA3,MIA3,True
caffeine,MICALL2,MICALL2,True
caffeine,"Dual specificity calcium/calmodulin-dependent 3',5'-cyclic nucleotide phosphodiesterase 1B",dual specificity calcium calmodulin dependent 3 5 cyclic nucleotide phosphodiesterase 1b,False
caffeine,"3',5'-cyclic-AMP phosphodiesterase 4A",3 5 cyclic amp phosphodiesterase 4a,False
caffeine,MIGA2,MIGA2,True
caffeine,MINK1,MINK1,True
caffeine,"cGMP-dependent 3',5'-cyclic phosphodiesterase",cgmp dependent 3 5 cyclic phosphodiesterase,False
caffeine,"Cone cGMP-specific 3',5'-cyclic phosphodiesterase subunit alpha'",cone cgmp specific 3 5 cyclic phosphodiesterase subunit alpha,False
caffeine,MIR421,MIR421,True
caffeine,MKI67,MKI67,True
caffeine,MLLT6,MLLT6,True
caffeine,"High affinity 3',5'-cyclic-AMP phosphodiesterase 7A",high affinity 3 5 cyclic amp phosphodiesterase 7a,False
caffeine,"Rod cGMP-specific 3',5'-cyclic phosphodiesterase subunit alpha",rod cgmp specific 3 5 cyclic phosphodiesterase subunit alpha,False
caffeine,MMAA,MMAA,True
caffeine,MMP15,MMP15,True
caffeine,MOGAT1,MOGAT1,True
caffeine,"Phosphatidylinositol 4,5-bisphosphate 3-kinase catalytic subunit alpha isoform",phosphatidylinositol 4 5 bisphosphate 3 kinase catalytic subunit alpha isoform,False
caffeine,"Inositol 1,4,5-trisphosphate-gated calcium channel ITPR3",inositol 1 4 5 trisphosphate gated calcium channel itpr3,False
caffeine,Cytochrome P450 2E1,cytochrome p450 2e1,False
caffeine,Cytochrome P450 1B1,cytochrome p450 1b1,False
caffeine,Adenosine receptor A2a,adenosine receptor a2a,False
caffeine,MON1B,MON1B,True
caffeine,MOS,MOS,True
caffeine,MPHOSPH9,MPHOSPH9,True
caffeine,Adenosine receptor A2b,adenosine receptor a2b,False
caffeine,IP3R1,IP3R1,True
caffeine,MRE11,MRE11,True
caffeine,MRPL19,MRPL19,True
caffeine,MRPS5,MRPS5,True
caffeine,MSH2,MSH2,True
caffeine,MSMO1,MSMO1,True
caffeine,CYP2A6,CYP2A6,True
caffeine,MSTO1,MSTO1,True
caffeine,PHF6,PHF6,True
caffeine,PHKB,PHKB,True
caffeine,PHLDB3,PHLDB3,True
caffeine,PI4K2B,PI4K2B,True
caffeine,PICALM,PICALM,True
caffeine,PIGC,PIGC,True
