compound,protein,normalized_target,is_gene
caffeine,CENPC,CENPC,True
caffeine,CENPE,CENPE,True
caffeine,CENPF,CENPF,True
caffeine,CETN3,CETN3,True
caffeine,CFL1,CFL1,True
caffeine,CFL2,CFL2,True
caffeine,CHD1,CHD1,True
caffeine,CHD2,CHD2,True
caffeine,CHD3,CHD3,True
caffeine,CHD4,CHD4,True
caffeine,CHEK1,CHEK1,True
caffeine,CHEK1,CHEK1,True
caffeine,CHEK1,CHEK1,True
caffeine,CHEK1,CHEK1,True
caffeine,CHEK1,CHEK1,True
caffeine,CHEK1,CHEK1,True
caffeine,CHEK1,CHEK1,True
caffeine,Chitotriosidase-1,chitotriosidase 1,False
caffeine,Chitotriosidase-1,chitotriosidase 1,False
caffeine,CKB,CKB,True
caffeine,TBCB,TBCB,True
caffeine,AP2M1,AP2M1,True
caffeine,CLIC1,CLIC1,True
caffeine,CLK2,CLK2,True
caffeine,CLK3,CLK3,True
caffeine,CLN3,CLN3,True
caffeine,CLNS1A,CLNS1A,True
caffeine,CLTC,CLTC,True
caffeine,ABCC2,ABCC2,True
caffeine,ABCC2,ABCC2,True
caffeine,CNN2,CNN2,True
caffeine,CNN3,CNN3,True
caffeine,CNP,CNP,True
caffeine,COL1A1,COL1A1,True
caffeine,COL1A1,COL1A1,True
caffeine,COL2A1,COL2A1,True
caffeine,COMT,COMT,True
caffeine,COPA,COPA,True
caffeine,CORT,CORT,True
caffeine,COX7C,COX7C,True
caffeine,CPD,CPD,True
caffeine,CLDN3,CLDN3,True
caffeine,CPT1A,CPT1A,True
caffeine,CPT1A,CPT1A,True
caffeine,CREB1,CREB1,True
caffeine,CREB1,CREB1,True
caffeine,CREB1,CREB1,True
caffeine,CREB1,CREB1,True
caffeine,CREBBP,CREBBP,True
caffeine,CREM,CREM,True
caffeine,CRIP2,CRIP2,True
caffeine,CRK,CRK,True
caffeine,CRYBA4,CRYBA4,True
caffeine,CRYBB1,CRYBB1,True
caffeine,CSK,CSK,True
caffeine,CSNK1D,CSNK1D,True
caffeine,CSNK1E,CSNK1E,True
caffeine,CSNK1G3,CSNK1G3,True
caffeine,CSNK2A2,CSNK2A2,True
caffeine,VCAN,VCAN,True
caffeine,CST3,CST3,True
caffeine,CSTF1,CSTF1,True
caffeine,CSTF2,CSTF2,True
caffeine,CSTF3,CSTF3,True
caffeine,CTH,CTH,True
caffeine,CTNNA1,CTNNA1,True
caffeine,CTNNA2,CTNNA2,True
caffeine,CTNNB1,CTNNB1,True
caffeine,CTNNB1,CTNNB1,True
caffeine,CTNNB1,CTNNB1,True
caffeine,CTNND1,CTNND1,True
caffeine,CTPS1,CTPS1,True
caffeine,CTSB,CTSB,True
