compound,geneid,symbol,description,uniprot_accession,uniprot_accessions,cid
simvastatin,1182,CLCN3,Cl-/H+ antiporter 3,P51790,P51790;B3KXK0;E9PE15,54454
simvastatin,1230,CCR1,C-C motif chemokine receptor 1,P32246,P32246;Q5U003,54454
simvastatin,1233,CCR4,C-C motif chemokine receptor 4,P51679,P51679;A0N0Q1,54454
simvastatin,1234,CCR5,C-C motif chemokine receptor 5,P51681,P51681;Q38L21,54454
simvastatin,1244,ABCC2,ATP binding cassette subfamily C member 2,Q92887,Q92887,54454
simvastatin,1277,COL1A1,collagen type I alpha 1 chain,P02452,P02452,54454
simvastatin,1280,COL2A1,collagen type II alpha 1 chain,P02458,P02458,54454
simvastatin,1281,COL3A1,collagen type III alpha 1 chain,P02461,P02461;A0AAG2UVC5,54454
simvastatin,1282,COL4A1,collagen type IV alpha 1 chain,P02462,P02462;A5PKV2,54454
simvastatin,1289,COL5A1,collagen type V alpha 1 chain,P20908,P20908;B2ZZ86;Q59EE7,54454
simvastatin,1292,COL6A2,collagen type VI alpha 2 chain,P12110,P12110;A0A384MDP3,54454
simvastatin,1294,COL7A1,collagen type VII alpha 1 chain,Q02388,Q02388;Q59F16,54454
simvastatin,1301,COL11A1,collagen type XI alpha 1 chain,P12107,P12107;Q59HB5,54454
simvastatin,1303,COL12A1,collagen type XII alpha 1 chain,Q99715,Q99715,54454
simvastatin,1305,COL13A1,collagen type XIII alpha 1 chain,Q5TAT6,Q5TAT6;A0A2R8YGI3;A0A669KB16;A0A669KB28;A0A6E1W314,54454
simvastatin,1316,KLF6,KLF transcription factor 6,Q99612,Q99612;D3GC14,54454
simvastatin,1364,CLDN4,claudin 4,O14493,O14493;Q75L80,54454
simvastatin,1385,CREB1,cAMP responsive element binding protein 1,P16220,P16220;B7Z5C6;Q53X93;Q5U0J5,54454
simvastatin,1386,ATF2,activating transcription factor 2,P15336,P15336;A4D7V5,54454
simvastatin,1401,CRP,C-reactive protein,P02741,P02741;Q5VVP7,54454
simvastatin,1431,CS,citrate synthase,O75390,O75390,54454
simvastatin,1432,MAPK14,mitogen-activated protein kinase 14,Q16539,Q16539;A0ABB0MVC4;B4E0K5;L7RSM2,54454
simvastatin,1464,CSPG4,chondroitin sulfate proteoglycan 4,Q6UVK1,Q6UVK1,54454
simvastatin,1489,CTF1,cardiotrophin 1,Q16619,Q16619,54454
simvastatin,1490,CCN2,cellular communication network factor 2,P29279,P29279;Q5M8T4,54454
simvastatin,1493,CTLA4,cytotoxic T-lymphocyte associated protein 4,P16410,P16410,54454
simvastatin,1499,CTNNB1,catenin beta 1,P35222,P35222;B4DGU4,54454
