pathway_id,total_count,n_compounds,compounds
1186015,2,1,Ethanolamine
1186018,2,1,Ethanolamine
1186019,2,1,Ethanolamine
1186022,2,1,Ethanolamine
1186023,2,1,Ethanolamine
1186026,2,1,Ethanolamine
1186027,2,1,Ethanolamine
1186030,2,1,Ethanolamine
1186071,2,1,Ethanolamine
1186074,2,1,Ethanolamine
1186079,2,1,Ethanolamine
1186142,2,1,Ethanolamine
1186178,2,1,Ethanolamine
1186183,2,1,Ethanolamine
1186195,2,1,Ethanolamine
1186198,2,1,Ethanolamine
1186202,2,1,Ethanolamine
1186203,2,1,Ethanolamine
1186206,2,1,Ethanolamine
1186210,2,1,Ethanolamine
1186218,2,1,Ethanolamine
1186219,2,1,Ethanolamine
1186222,2,1,Ethanolamine
1186223,2,1,Ethanolamine
1186226,2,1,Ethanolamine
1186227,2,1,Ethanolamine
1186231,2,1,Ethanolamine
1186235,2,1,Ethanolamine
1186238,2,1,Ethanolamine
1186239,2,1,Ethanolamine
1186242,2,1,Ethanolamine
1186246,2,1,Ethanolamine
1186247,2,1,Ethanolamine
1186251,2,1,Ethanolamine
1186254,2,1,Ethanolamine
1186258,2,1,Ethanolamine
1186267,2,1,Ethanolamine
1186270,2,1,Ethanolamine
1186274,2,1,Ethanolamine
1186275,2,1,Ethanolamine
1186543,2,1,Ethanolamine
1196063,2,1,Ethanolamine
1196079,2,1,Ethanolamine
1197845,2,1,Ethanolamine
1197847,2,1,Ethanolamine
1197848,2,1,Ethanolamine
1197849,2,1,Ethanolamine
1197851,2,1,Ethanolamine
1197852,2,1,Ethanolamine
1197853,2,1,Ethanolamine
1197855,2,1,Ethanolamine
1197856,2,1,Ethanolamine
1197857,2,1,Ethanolamine
1197859,2,1,Ethanolamine
1197860,2,1,Ethanolamine
1197861,2,1,Ethanolamine
1197863,2,1,Ethanolamine
1197864,2,1,Ethanolamine
1197865,2,1,Ethanolamine
1197867,2,1,Ethanolamine
1197868,2,1,Ethanolamine
1197869,2,1,Ethanolamine
1197871,2,1,Ethanolamine
1197872,2,1,Ethanolamine
1197873,2,1,Ethanolamine
1197875,2,1,Ethanolamine
1197876,2,1,Ethanolamine
1197877,2,1,Ethanolamine
1197879,2,1,Ethanolamine
1197880,2,1,Ethanolamine
1197881,2,1,Ethanolamine
1197883,2,1,Ethanolamine
1197884,2,1,Ethanolamine
1197885,2,1,Ethanolamine
1197887,2,1,Ethanolamine
1197888,2,1,Ethanolamine
1197889,2,1,Ethanolamine
1197891,2,1,Ethanolamine
1197892,2,1,Ethanolamine
1197893,2,1,Ethanolamine
1197895,2,1,Ethanolamine
1197896,2,1,Ethanolamine
1197897,2,1,Ethanolamine
1197899,2,1,Ethanolamine
1197900,2,1,Ethanolamine
1197901,2,1,Ethanolamine
1197903,2,1,Ethanolamine
1197904,2,1,Ethanolamine
1197905,2,1,Ethanolamine
1197907,2,1,Ethanolamine
1197908,2,1,Ethanolamine
1197909,2,1,Ethanolamine
1197911,2,1,Ethanolamine
1197912,2,1,Ethanolamine
1197913,2,1,Ethanolamine
1197915,2,1,Ethanolamine
1197916,2,1,Ethanolamine
