compound,geneid,symbol,description,uniprot_accession,uniprot_accessions,cid
caffeine,285172,HYCC2,hyccin PI4KA lipid kinase complex subunit 2,Q8IXS8,Q8IXS8;A0A804HIT6;B3KUG1,2519
caffeine,23379,ICE1,interactor of little elongation complex ELL subunit 1,Q9Y2F5,Q9Y2F5,2519
caffeine,6942,TCF20,transcription factor 20,Q9UGU0,Q9UGU0;W5ZR30,2519
caffeine,81550,TDRD3,tudor domain containing 3,Q9H7E2,Q9H7E2,2519
caffeine,9894,TELO2,telomere maintenance 2,Q9Y4R8,Q9Y4R8;B4DXS2,2519
caffeine,54881,TEX10,testis expressed 10,Q9NXF1,Q9NXF1,2519
caffeine,22876,INPP5F,inositol polyphosphate-5-phosphatase F,Q9Y2H2,Q9Y2H2;A0A3B3ISI3;A0A3B3ITL0,2519
caffeine,24144,TFIP11,tuftelin interacting protein 11,Q9UBB9,Q9UBB9,2519
caffeine,7048,TGFBR2,transforming growth factor beta receptor 2,P37173,P37173;A0AAQ5BI06;A3QNQ0;D2JYI1,2519
caffeine,90326,THAP3,THAP domain containing 3,Q8WTV1,Q8WTV1,2519
caffeine,79228,THOC6,THO complex subunit 6,Q86W42,Q86W42,2519
caffeine,25917,THUMPD3,THUMP domain 3 tRNA guanosine methyltransferase,Q9BV44,Q9BV44,2519
caffeine,27134,TJP3,tight junction protein 3,O95049,O95049,2519
caffeine,9874,TLK1,tousled like kinase 1,Q9UKI8,Q9UKI8;B3KRP1,2519
caffeine,10548,TM9SF1,transmembrane 9 superfamily member 1,O15321,O15321;B4E3A9;G3V1B9,2519
caffeine,9911,TMCC2,transmembrane and coiled-coil domain family 2,O75069,O75069;A0A0C4DFR1;Q8IW47,2519
caffeine,113277,TMEM106A,transmembrane protein 106A,Q96A25,Q96A25;B7Z779,2519
caffeine,135932,TMEM139,transmembrane protein 139,Q8IV31,Q8IV31,2519
caffeine,54867,TMEM214,transmembrane protein 214,Q6NUQ4,Q6NUQ4;H7C0H8,2519
caffeine,55287,TMEM40,transmembrane protein 40,Q8WWA1,Q8WWA1;B4DXI0,2519
caffeine,84910,TMEM87B,transmembrane protein 87B,Q96K49,Q96K49;A0A494BZZ8,2519
