compound,geneid,symbol,description,uniprot_accession,uniprot_accessions,cid
forskolin,3780,KCNN1,potassium calcium-activated channel subfamily N member 1,Q92952,Q92952;A0A804HIF9;A0A804HIW7,47936
forskolin,3781,KCNN2,potassium calcium-activated channel subfamily N member 2,Q9H2S1,Q9H2S1;A0A3F2YNY5,47936
forskolin,3782,KCNN3,potassium calcium-activated channel subfamily N member 3,Q9UGI6,Q9UGI6;A0A087WYJ0,47936
forskolin,3783,KCNN4,potassium calcium-activated channel subfamily N member 4,O15554,O15554,47936
forskolin,4583,MUC2,"mucin 2, oligomeric mucus/gel-forming",Q02817,Q02817;A0A3S8TMF2,47936
forskolin,5054,SERPINE1,serpin family E member 1,P05121,P05121;B7ZAB0,47936
forskolin,5243,ABCB1,ATP binding cassette subfamily B member 1,P08183,P08183;A4D1D2,47936
forskolin,5467,PPARD,peroxisome proliferator activated receptor delta,Q03181,Q03181;F1D8S7,47936
forskolin,5468,PPARG,peroxisome proliferator activated receptor gamma,P37231,P37231;A0A3P3ZKM0;A0A494C1F9;D2KUA6;E9PFV2;E9PFX5,47936
forskolin,5594,MAPK1,mitogen-activated protein kinase 1,P28482,P28482;Q1HBJ4;Q499G7,47936
forskolin,5595,MAPK3,mitogen-activated protein kinase 3,P27361,P27361;L7RXH5;Q9BWJ1,47936
forskolin,5596,MAPK4,mitogen-activated protein kinase 4,P31152,P31152;B4DEW2;K7ELV1,47936
forskolin,5597,MAPK6,mitogen-activated protein kinase 6,Q16659,Q16659,47936
forskolin,5598,MAPK7,mitogen-activated protein kinase 7,Q13164,Q13164,47936
forskolin,6096,RORB,RAR related orphan receptor B,Q92753,Q92753;A0A1L4FMK7;Q58EY0,47936
forskolin,6257,RXRB,retinoid X receptor beta,P28702,P28702;A0A0G2JKR7;A0A0S2Z570;B7Z7J5;Q5STP9,47936
forskolin,7376,NR1H2,nuclear receptor subfamily 1 group H member 2,P55055,P55055;F1D8P7,47936
forskolin,7421,VDR,vitamin D receptor,P11473,P11473;A0A5K1VW50;F1D8P8,47936
forskolin,8856,NR1I2,nuclear receptor subfamily 1 group I member 2,O75469,O75469;F1D8P9,47936
forskolin,9971,NR1H4,nuclear receptor subfamily 1 group H member 4,Q96RI1,Q96RI1;B6ZGS9;F1DAL1,47936
forskolin,10242,KCNMB2,potassium calcium-activated channel subfamily M regulatory beta subunit 2,Q9Y691,Q9Y691;B5BNW5;B7Z513,47936
forskolin,10488,CREB3,cAMP responsive element binding protein 3,O43889,O43889,47936
forskolin,27094,KCNMB3,potassium calcium-activated channel subfamily M regulatory beta subunit 3,Q9NPA1,Q9NPA1,47936
forskolin,27345,KCNMB4,potassium calcium-activated channel subfamily M regulatory beta subunit 4,Q86W47,Q86W47,47936
forskolin,51564,HDAC7,histone deacetylase 7,Q8WUI4,Q8WUI4,47936
forskolin,55811,ADCY10,adenylate cyclase 10,Q96PN6,Q96PN6;A0A0K0K1J8,47936
forskolin,59350,RXFP1,relaxin family peptide receptor 1,Q9HBX9,Q9HBX9;A0A087WWV0;A0A0A0MT52;B3KV27;B4DGP2;E9PCA3;Q59H16,47936
forskolin,79915,ATAD5,ATPase family AAA domain containing 5,Q96QE3,Q96QE3,47936
forskolin,122042,RXFP2,relaxin family peptide receptor 2,Q8WXD0,Q8WXD0,47936
forskolin,196883,ADCY4,adenylate cyclase 4,Q8NFM4,Q8NFM4;Q86TZ7,47936
forskolin,225689,MAPK15,mitogen-activated protein kinase 15,Q8TD08,Q8TD08,47936
