uniprot_accession,protein_name,pathway,compound
P75919,Cardiolipin synthase C,PathBank_SMP0001420,Ethanolamine
P0A6A8,Acyl carrier protein,PathBank_SMP0001421,Ethanolamine
P0A6S7,Glycerol-3-phosphate dehydrogenase [NAD(P)+],PathBank_SMP0001421,Ethanolamine
P0A7A7,Glycerol-3-phosphate acyltransferase,PathBank_SMP0001421,Ethanolamine
P0A8K1,Phosphatidylserine decarboxylase proenzyme,PathBank_SMP0001421,Ethanolamine
P0ABF8,CDP-diacylglycerol--glycerol-3-phosphate 3-phosphatidyltransferase,PathBank_SMP0001421,Ethanolamine
P0ABG1,Phosphatidate cytidylyltransferase,PathBank_SMP0001421,Ethanolamine
P23830,CDP-diacylglycerol--serine O-phosphatidyltransferase PssA,PathBank_SMP0001421,Ethanolamine
P26647,1-acyl-sn-glycerol-3-phosphate acyltransferase,PathBank_SMP0001421,Ethanolamine
P75919,Cardiolipin synthase C,PathBank_SMP0001421,Ethanolamine
P0A6A8,Acyl carrier protein,PathBank_SMP0001422,Ethanolamine
P0A6S7,Glycerol-3-phosphate dehydrogenase [NAD(P)+],PathBank_SMP0001422,Ethanolamine
P0A7A7,Glycerol-3-phosphate acyltransferase,PathBank_SMP0001422,Ethanolamine
P0A924,Phosphatidylglycerophosphatase B,PathBank_SMP0001422,Ethanolamine
P0ABF8,CDP-diacylglycerol--glycerol-3-phosphate 3-phosphatidyltransferase,PathBank_SMP0001422,Ethanolamine
P0ABG1,Phosphatidate cytidylyltransferase,PathBank_SMP0001422,Ethanolamine
P18200,Phosphatidylglycerophosphatase A,PathBank_SMP0001422,Ethanolamine
P23830,CDP-diacylglycerol--serine O-phosphatidyltransferase PssA,PathBank_SMP0001422,Ethanolamine
P26647,1-acyl-sn-glycerol-3-phosphate acyltransferase,PathBank_SMP0001422,Ethanolamine
P75919,Cardiolipin synthase C,PathBank_SMP0001422,Ethanolamine
P0A6A8,Acyl carrier protein,PathBank_SMP0001423,Ethanolamine
P0A6S7,Glycerol-3-phosphate dehydrogenase [NAD(P)+],PathBank_SMP0001423,Ethanolamine
P0A7A7,Glycerol-3-phosphate acyltransferase,PathBank_SMP0001423,Ethanolamine
P0A8K1,Phosphatidylserine decarboxylase proenzyme,PathBank_SMP0001423,Ethanolamine
P0ABF8,CDP-diacylglycerol--glycerol-3-phosphate 3-phosphatidyltransferase,PathBank_SMP0001423,Ethanolamine
P0ABG1,Phosphatidate cytidylyltransferase,PathBank_SMP0001423,Ethanolamine
P26647,1-acyl-sn-glycerol-3-phosphate acyltransferase,PathBank_SMP0001423,Ethanolamine
P75919,Cardiolipin synthase C,PathBank_SMP0001423,Ethanolamine
P0A6A8,Acyl carrier protein,PathBank_SMP0001424,Ethanolamine
P0A6S7,Glycerol-3-phosphate dehydrogenase [NAD(P)+],PathBank_SMP0001424,Ethanolamine
P0A7A7,Glycerol-3-phosphate acyltransferase,PathBank_SMP0001424,Ethanolamine
P0A8K1,Phosphatidylserine decarboxylase proenzyme,PathBank_SMP0001424,Ethanolamine
P0ABF8,CDP-diacylglycerol--glycerol-3-phosphate 3-phosphatidyltransferase,PathBank_SMP0001424,Ethanolamine
P0ABG1,Phosphatidate cytidylyltransferase,PathBank_SMP0001424,Ethanolamine
P23830,CDP-diacylglycerol--serine O-phosphatidyltransferase PssA,PathBank_SMP0001424,Ethanolamine
P26647,1-acyl-sn-glycerol-3-phosphate acyltransferase,PathBank_SMP0001424,Ethanolamine
P75919,Cardiolipin synthase C,PathBank_SMP0001424,Ethanolamine
P0A6A8,Acyl carrier protein,PathBank_SMP0001425,Ethanolamine
P0A6S7,Glycerol-3-phosphate dehydrogenase [NAD(P)+],PathBank_SMP0001425,Ethanolamine
P0A7A7,Glycerol-3-phosphate acyltransferase,PathBank_SMP0001425,Ethanolamine
P0A8K1,Phosphatidylserine decarboxylase proenzyme,PathBank_SMP0001425,Ethanolamine
P0A924,Phosphatidylglycerophosphatase B,PathBank_SMP0001425,Ethanolamine
P0ABF8,CDP-diacylglycerol--glycerol-3-phosphate 3-phosphatidyltransferase,PathBank_SMP0001425,Ethanolamine
P0ABG1,Phosphatidate cytidylyltransferase,PathBank_SMP0001425,Ethanolamine
P18200,Phosphatidylglycerophosphatase A,PathBank_SMP0001425,Ethanolamine
P23830,CDP-diacylglycerol--serine O-phosphatidyltransferase PssA,PathBank_SMP0001425,Ethanolamine
P26647,1-acyl-sn-glycerol-3-phosphate acyltransferase,PathBank_SMP0001425,Ethanolamine
P75919,Cardiolipin synthase C,PathBank_SMP0001425,Ethanolamine
P0A6A8,Acyl carrier protein,PathBank_SMP0001426,Ethanolamine
P0A6S7,Glycerol-3-phosphate dehydrogenase [NAD(P)+],PathBank_SMP0001426,Ethanolamine
P0A7A7,Glycerol-3-phosphate acyltransferase,PathBank_SMP0001426,Ethanolamine
P0A8K1,Phosphatidylserine decarboxylase proenzyme,PathBank_SMP0001426,Ethanolamine
P0A924,Phosphatidylglycerophosphatase B,PathBank_SMP0001426,Ethanolamine
P0ABF8,CDP-diacylglycerol--glycerol-3-phosphate 3-phosphatidyltransferase,PathBank_SMP0001426,Ethanolamine
P0ABG1,Phosphatidate cytidylyltransferase,PathBank_SMP0001426,Ethanolamine
P18200,Phosphatidylglycerophosphatase A,PathBank_SMP0001426,Ethanolamine
P23830,CDP-diacylglycerol--serine O-phosphatidyltransferase PssA,PathBank_SMP0001426,Ethanolamine
P26647,1-acyl-sn-glycerol-3-phosphate acyltransferase,PathBank_SMP0001426,Ethanolamine
P75919,Cardiolipin synthase C,PathBank_SMP0001426,Ethanolamine
P0A6A8,Acyl carrier protein,PathBank_SMP0001427,Ethanolamine
P0A6S7,Glycerol-3-phosphate dehydrogenase [NAD(P)+],PathBank_SMP0001427,Ethanolamine
P0A7A7,Glycerol-3-phosphate acyltransferase,PathBank_SMP0001427,Ethanolamine
P0A924,Phosphatidylglycerophosphatase B,PathBank_SMP0001427,Ethanolamine
P0ABF8,CDP-diacylglycerol--glycerol-3-phosphate 3-phosphatidyltransferase,PathBank_SMP0001427,Ethanolamine
P0ABG1,Phosphatidate cytidylyltransferase,PathBank_SMP0001427,Ethanolamine
P18200,Phosphatidylglycerophosphatase A,PathBank_SMP0001427,Ethanolamine
P26647,1-acyl-sn-glycerol-3-phosphate acyltransferase,PathBank_SMP0001427,Ethanolamine
P75919,Cardiolipin synthase C,PathBank_SMP0001427,Ethanolamine
P0A6A8,Acyl carrier protein,PathBank_SMP0001428,Ethanolamine
P0A6S7,Glycerol-3-phosphate dehydrogenase [NAD(P)+],PathBank_SMP0001428,Ethanolamine
P0A7A7,Glycerol-3-phosphate acyltransferase,PathBank_SMP0001428,Ethanolamine
P0A924,Phosphatidylglycerophosphatase B,PathBank_SMP0001428,Ethanolamine
P0ABF8,CDP-diacylglycerol--glycerol-3-phosphate 3-phosphatidyltransferase,PathBank_SMP0001428,Ethanolamine
P0ABG1,Phosphatidate cytidylyltransferase,PathBank_SMP0001428,Ethanolamine
P18200,Phosphatidylglycerophosphatase A,PathBank_SMP0001428,Ethanolamine
P23830,CDP-diacylglycerol--serine O-phosphatidyltransferase PssA,PathBank_SMP0001428,Ethanolamine
P26647,1-acyl-sn-glycerol-3-phosphate acyltransferase,PathBank_SMP0001428,Ethanolamine
P75919,Cardiolipin synthase C,PathBank_SMP0001428,Ethanolamine
P0A6A8,Acyl carrier protein,PathBank_SMP0001429,Ethanolamine
P0A6S7,Glycerol-3-phosphate dehydrogenase [NAD(P)+],PathBank_SMP0001429,Ethanolamine
P0A7A7,Glycerol-3-phosphate acyltransferase,PathBank_SMP0001429,Ethanolamine
P0A8K1,Phosphatidylserine decarboxylase proenzyme,PathBank_SMP0001429,Ethanolamine
P0A924,Phosphatidylglycerophosphatase B,PathBank_SMP0001429,Ethanolamine
P0ABF8,CDP-diacylglycerol--glycerol-3-phosphate 3-phosphatidyltransferase,PathBank_SMP0001429,Ethanolamine
P0ABG1,Phosphatidate cytidylyltransferase,PathBank_SMP0001429,Ethanolamine
P18200,Phosphatidylglycerophosphatase A,PathBank_SMP0001429,Ethanolamine
P23830,CDP-diacylglycerol--serine O-phosphatidyltransferase PssA,PathBank_SMP0001429,Ethanolamine
P26647,1-acyl-sn-glycerol-3-phosphate acyltransferase,PathBank_SMP0001429,Ethanolamine
P75919,Cardiolipin synthase C,PathBank_SMP0001429,Ethanolamine
P0A6A8,Acyl carrier protein,PathBank_SMP0001430,Ethanolamine
P0A6S7,Glycerol-3-phosphate dehydrogenase [NAD(P)+],PathBank_SMP0001430,Ethanolamine
P0A7A7,Glycerol-3-phosphate acyltransferase,PathBank_SMP0001430,Ethanolamine
P0A8K1,Phosphatidylserine decarboxylase proenzyme,PathBank_SMP0001430,Ethanolamine
P0ABF8,CDP-diacylglycerol--glycerol-3-phosphate 3-phosphatidyltransferase,PathBank_SMP0001430,Ethanolamine
P0ABG1,Phosphatidate cytidylyltransferase,PathBank_SMP0001430,Ethanolamine
P23830,CDP-diacylglycerol--serine O-phosphatidyltransferase PssA,PathBank_SMP0001430,Ethanolamine
P26647,1-acyl-sn-glycerol-3-phosphate acyltransferase,PathBank_SMP0001430,Ethanolamine
P75919,Cardiolipin synthase C,PathBank_SMP0001430,Ethanolamine
P0A6A8,Acyl carrier protein,PathBank_SMP0001431,Ethanolamine
P0A6S7,Glycerol-3-phosphate dehydrogenase [NAD(P)+],PathBank_SMP0001431,Ethanolamine
P0A7A7,Glycerol-3-phosphate acyltransferase,PathBank_SMP0001431,Ethanolamine
P0A8K1,Phosphatidylserine decarboxylase proenzyme,PathBank_SMP0001431,Ethanolamine
P0A924,Phosphatidylglycerophosphatase B,PathBank_SMP0001431,Ethanolamine
P0ABF8,CDP-diacylglycerol--glycerol-3-phosphate 3-phosphatidyltransferase,PathBank_SMP0001431,Ethanolamine
P0ABG1,Phosphatidate cytidylyltransferase,PathBank_SMP0001431,Ethanolamine
P18200,Phosphatidylglycerophosphatase A,PathBank_SMP0001431,Ethanolamine
P23830,CDP-diacylglycerol--serine O-phosphatidyltransferase PssA,PathBank_SMP0001431,Ethanolamine
P26647,1-acyl-sn-glycerol-3-phosphate acyltransferase,PathBank_SMP0001431,Ethanolamine
P75919,Cardiolipin synthase C,PathBank_SMP0001431,Ethanolamine
P0A6A8,Acyl carrier protein,PathBank_SMP0001432,Ethanolamine
P0A6H8,Cardiolipin synthase A,PathBank_SMP0001432,Ethanolamine
P0A6S7,Glycerol-3-phosphate dehydrogenase [NAD(P)+],PathBank_SMP0001432,Ethanolamine
P0A7A7,Glycerol-3-phosphate acyltransferase,PathBank_SMP0001432,Ethanolamine
P0A8K1,Phosphatidylserine decarboxylase proenzyme,PathBank_SMP0001432,Ethanolamine
P0A924,Phosphatidylglycerophosphatase B,PathBank_SMP0001432,Ethanolamine
P0AA84,Cardiolipin synthase B,PathBank_SMP0001432,Ethanolamine
P0ABF8,CDP-diacylglycerol--glycerol-3-phosphate 3-phosphatidyltransferase,PathBank_SMP0001432,Ethanolamine
P0ABG1,Phosphatidate cytidylyltransferase,PathBank_SMP0001432,Ethanolamine
P18200,Phosphatidylglycerophosphatase A,PathBank_SMP0001432,Ethanolamine
P23830,CDP-diacylglycerol--serine O-phosphatidyltransferase PssA,PathBank_SMP0001432,Ethanolamine
P26647,1-acyl-sn-glycerol-3-phosphate acyltransferase,PathBank_SMP0001432,Ethanolamine
P75919,Cardiolipin synthase C,PathBank_SMP0001432,Ethanolamine
P0A6A8,Acyl carrier protein,PathBank_SMP0001433,Ethanolamine
P0A6H8,Cardiolipin synthase A,PathBank_SMP0001433,Ethanolamine
P0A6S7,Glycerol-3-phosphate dehydrogenase [NAD(P)+],PathBank_SMP0001433,Ethanolamine
P0A7A7,Glycerol-3-phosphate acyltransferase,PathBank_SMP0001433,Ethanolamine
P0A8K1,Phosphatidylserine decarboxylase proenzyme,PathBank_SMP0001433,Ethanolamine
P0A924,Phosphatidylglycerophosphatase B,PathBank_SMP0001433,Ethanolamine
P0AA84,Cardiolipin synthase B,PathBank_SMP0001433,Ethanolamine
P0ABF8,CDP-diacylglycerol--glycerol-3-phosphate 3-phosphatidyltransferase,PathBank_SMP0001433,Ethanolamine
P0ABG1,Phosphatidate cytidylyltransferase,PathBank_SMP0001433,Ethanolamine
P18200,Phosphatidylglycerophosphatase A,PathBank_SMP0001433,Ethanolamine
P23830,CDP-diacylglycerol--serine O-phosphatidyltransferase PssA,PathBank_SMP0001433,Ethanolamine
P26647,1-acyl-sn-glycerol-3-phosphate acyltransferase,PathBank_SMP0001433,Ethanolamine
P75919,Cardiolipin synthase C,PathBank_SMP0001433,Ethanolamine
P0A6A8,Acyl carrier protein,PathBank_SMP0001434,Ethanolamine
P0A6H8,Cardiolipin synthase A,PathBank_SMP0001434,Ethanolamine
P0A6S7,Glycerol-3-phosphate dehydrogenase [NAD(P)+],PathBank_SMP0001434,Ethanolamine
P0A7A7,Glycerol-3-phosphate acyltransferase,PathBank_SMP0001434,Ethanolamine
P0A8K1,Phosphatidylserine decarboxylase proenzyme,PathBank_SMP0001434,Ethanolamine
P0A924,Phosphatidylglycerophosphatase B,PathBank_SMP0001434,Ethanolamine
P0AA84,Cardiolipin synthase B,PathBank_SMP0001434,Ethanolamine
P0ABF8,CDP-diacylglycerol--glycerol-3-phosphate 3-phosphatidyltransferase,PathBank_SMP0001434,Ethanolamine
P0ABG1,Phosphatidate cytidylyltransferase,PathBank_SMP0001434,Ethanolamine
P18200,Phosphatidylglycerophosphatase A,PathBank_SMP0001434,Ethanolamine
P23830,CDP-diacylglycerol--serine O-phosphatidyltransferase PssA,PathBank_SMP0001434,Ethanolamine
P26647,1-acyl-sn-glycerol-3-phosphate acyltransferase,PathBank_SMP0001434,Ethanolamine
P75919,Cardiolipin synthase C,PathBank_SMP0001434,Ethanolamine
P0A6A8,Acyl carrier protein,PathBank_SMP0001435,Ethanolamine
P0A6H8,Cardiolipin synthase A,PathBank_SMP0001435,Ethanolamine
P0A6S7,Glycerol-3-phosphate dehydrogenase [NAD(P)+],PathBank_SMP0001435,Ethanolamine
P0A7A7,Glycerol-3-phosphate acyltransferase,PathBank_SMP0001435,Ethanolamine
P0A8K1,Phosphatidylserine decarboxylase proenzyme,PathBank_SMP0001435,Ethanolamine
P0A924,Phosphatidylglycerophosphatase B,PathBank_SMP0001435,Ethanolamine
P0AA84,Cardiolipin synthase B,PathBank_SMP0001435,Ethanolamine
P0ABF8,CDP-diacylglycerol--glycerol-3-phosphate 3-phosphatidyltransferase,PathBank_SMP0001435,Ethanolamine
P0ABG1,Phosphatidate cytidylyltransferase,PathBank_SMP0001435,Ethanolamine
P18200,Phosphatidylglycerophosphatase A,PathBank_SMP0001435,Ethanolamine
P23830,CDP-diacylglycerol--serine O-phosphatidyltransferase PssA,PathBank_SMP0001435,Ethanolamine
P26647,1-acyl-sn-glycerol-3-phosphate acyltransferase,PathBank_SMP0001435,Ethanolamine
P75919,Cardiolipin synthase C,PathBank_SMP0001435,Ethanolamine
P0A6A8,Acyl carrier protein,PathBank_SMP0001436,Ethanolamine
P0A6S7,Glycerol-3-phosphate dehydrogenase [NAD(P)+],PathBank_SMP0001436,Ethanolamine
P0A7A7,Glycerol-3-phosphate acyltransferase,PathBank_SMP0001436,Ethanolamine
P0A8K1,Phosphatidylserine decarboxylase proenzyme,PathBank_SMP0001436,Ethanolamine
P0ABF8,CDP-diacylglycerol--glycerol-3-phosphate 3-phosphatidyltransferase,PathBank_SMP0001436,Ethanolamine
P0ABG1,Phosphatidate cytidylyltransferase,PathBank_SMP0001436,Ethanolamine
P23830,CDP-diacylglycerol--serine O-phosphatidyltransferase PssA,PathBank_SMP0001436,Ethanolamine
P26647,1-acyl-sn-glycerol-3-phosphate acyltransferase,PathBank_SMP0001436,Ethanolamine
P75919,Cardiolipin synthase C,PathBank_SMP0001436,Ethanolamine
P0A6A8,Acyl carrier protein,PathBank_SMP0001437,Ethanolamine
P0A6S7,Glycerol-3-phosphate dehydrogenase [NAD(P)+],PathBank_SMP0001437,Ethanolamine
P0A7A7,Glycerol-3-phosphate acyltransferase,PathBank_SMP0001437,Ethanolamine
P0A8K1,Phosphatidylserine decarboxylase proenzyme,PathBank_SMP0001437,Ethanolamine
P0A924,Phosphatidylglycerophosphatase B,PathBank_SMP0001437,Ethanolamine
P0ABF8,CDP-diacylglycerol--glycerol-3-phosphate 3-phosphatidyltransferase,PathBank_SMP0001437,Ethanolamine
P0ABG1,Phosphatidate cytidylyltransferase,PathBank_SMP0001437,Ethanolamine
P18200,Phosphatidylglycerophosphatase A,PathBank_SMP0001437,Ethanolamine
P23830,CDP-diacylglycerol--serine O-phosphatidyltransferase PssA,PathBank_SMP0001437,Ethanolamine
P26647,1-acyl-sn-glycerol-3-phosphate acyltransferase,PathBank_SMP0001437,Ethanolamine
P75919,Cardiolipin synthase C,PathBank_SMP0001437,Ethanolamine
P0A6A8,Acyl carrier protein,PathBank_SMP0001438,Ethanolamine
P0A6S7,Glycerol-3-phosphate dehydrogenase [NAD(P)+],PathBank_SMP0001438,Ethanolamine
P0A7A7,Glycerol-3-phosphate acyltransferase,PathBank_SMP0001438,Ethanolamine
P0A8K1,Phosphatidylserine decarboxylase proenzyme,PathBank_SMP0001438,Ethanolamine
P0A924,Phosphatidylglycerophosphatase B,PathBank_SMP0001438,Ethanolamine
P0ABF8,CDP-diacylglycerol--glycerol-3-phosphate 3-phosphatidyltransferase,PathBank_SMP0001438,Ethanolamine
P0ABG1,Phosphatidate cytidylyltransferase,PathBank_SMP0001438,Ethanolamine
P18200,Phosphatidylglycerophosphatase A,PathBank_SMP0001438,Ethanolamine
P23830,CDP-diacylglycerol--serine O-phosphatidyltransferase PssA,PathBank_SMP0001438,Ethanolamine
P26647,1-acyl-sn-glycerol-3-phosphate acyltransferase,PathBank_SMP0001438,Ethanolamine
P75919,Cardiolipin synthase C,PathBank_SMP0001438,Ethanolamine
P0A6A8,Acyl carrier protein,PathBank_SMP0001439,Ethanolamine
P0A6S7,Glycerol-3-phosphate dehydrogenase [NAD(P)+],PathBank_SMP0001439,Ethanolamine
P0A7A7,Glycerol-3-phosphate acyltransferase,PathBank_SMP0001439,Ethanolamine
P0A8K1,Phosphatidylserine decarboxylase proenzyme,PathBank_SMP0001439,Ethanolamine
P0A924,Phosphatidylglycerophosphatase B,PathBank_SMP0001439,Ethanolamine
P0ABF8,CDP-diacylglycerol--glycerol-3-phosphate 3-phosphatidyltransferase,PathBank_SMP0001439,Ethanolamine
P0ABG1,Phosphatidate cytidylyltransferase,PathBank_SMP0001439,Ethanolamine
P18200,Phosphatidylglycerophosphatase A,PathBank_SMP0001439,Ethanolamine
P23830,CDP-diacylglycerol--serine O-phosphatidyltransferase PssA,PathBank_SMP0001439,Ethanolamine
P26647,1-acyl-sn-glycerol-3-phosphate acyltransferase,PathBank_SMP0001439,Ethanolamine
P75919,Cardiolipin synthase C,PathBank_SMP0001439,Ethanolamine
P0A6A8,Acyl carrier protein,PathBank_SMP0001440,Ethanolamine
P0A6S7,Glycerol-3-phosphate dehydrogenase [NAD(P)+],PathBank_SMP0001440,Ethanolamine
P0A7A7,Glycerol-3-phosphate acyltransferase,PathBank_SMP0001440,Ethanolamine
P0A8K1,Phosphatidylserine decarboxylase proenzyme,PathBank_SMP0001440,Ethanolamine
P0A924,Phosphatidylglycerophosphatase B,PathBank_SMP0001440,Ethanolamine
P0ABF8,CDP-diacylglycerol--glycerol-3-phosphate 3-phosphatidyltransferase,PathBank_SMP0001440,Ethanolamine
P0ABG1,Phosphatidate cytidylyltransferase,PathBank_SMP0001440,Ethanolamine
P18200,Phosphatidylglycerophosphatase A,PathBank_SMP0001440,Ethanolamine
P23830,CDP-diacylglycerol--serine O-phosphatidyltransferase PssA,PathBank_SMP0001440,Ethanolamine
P26647,1-acyl-sn-glycerol-3-phosphate acyltransferase,PathBank_SMP0001440,Ethanolamine
P75919,Cardiolipin synthase C,PathBank_SMP0001440,Ethanolamine
P0A6A8,Acyl carrier protein,PathBank_SMP0001441,Ethanolamine
P0A6H8,Cardiolipin synthase A,PathBank_SMP0001441,Ethanolamine
P0A6S7,Glycerol-3-phosphate dehydrogenase [NAD(P)+],PathBank_SMP0001441,Ethanolamine
P0A7A7,Glycerol-3-phosphate acyltransferase,PathBank_SMP0001441,Ethanolamine
P0A8K1,Phosphatidylserine decarboxylase proenzyme,PathBank_SMP0001441,Ethanolamine
P0A924,Phosphatidylglycerophosphatase B,PathBank_SMP0001441,Ethanolamine
P0AA84,Cardiolipin synthase B,PathBank_SMP0001441,Ethanolamine
P0ABF8,CDP-diacylglycerol--glycerol-3-phosphate 3-phosphatidyltransferase,PathBank_SMP0001441,Ethanolamine
P0ABG1,Phosphatidate cytidylyltransferase,PathBank_SMP0001441,Ethanolamine
P18200,Phosphatidylglycerophosphatase A,PathBank_SMP0001441,Ethanolamine
P23830,CDP-diacylglycerol--serine O-phosphatidyltransferase PssA,PathBank_SMP0001441,Ethanolamine
P26647,1-acyl-sn-glycerol-3-phosphate acyltransferase,PathBank_SMP0001441,Ethanolamine
P75919,Cardiolipin synthase C,PathBank_SMP0001441,Ethanolamine
P0A6A8,Acyl carrier protein,PathBank_SMP0001442,Ethanolamine
P0A6S7,Glycerol-3-phosphate dehydrogenase [NAD(P)+],PathBank_SMP0001442,Ethanolamine
P0A7A7,Glycerol-3-phosphate acyltransferase,PathBank_SMP0001442,Ethanolamine
P0A8K1,Phosphatidylserine decarboxylase proenzyme,PathBank_SMP0001442,Ethanolamine
P0A924,Phosphatidylglycerophosphatase B,PathBank_SMP0001442,Ethanolamine
P0ABF8,CDP-diacylglycerol--glycerol-3-phosphate 3-phosphatidyltransferase,PathBank_SMP0001442,Ethanolamine
P0ABG1,Phosphatidate cytidylyltransferase,PathBank_SMP0001442,Ethanolamine
P18200,Phosphatidylglycerophosphatase A,PathBank_SMP0001442,Ethanolamine
P23830,CDP-diacylglycerol--serine O-phosphatidyltransferase PssA,PathBank_SMP0001442,Ethanolamine
P26647,1-acyl-sn-glycerol-3-phosphate acyltransferase,PathBank_SMP0001442,Ethanolamine
P75919,Cardiolipin synthase C,PathBank_SMP0001442,Ethanolamine
P0A6A8,Acyl carrier protein,PathBank_SMP0001443,Ethanolamine
P0A6S7,Glycerol-3-phosphate dehydrogenase [NAD(P)+],PathBank_SMP0001443,Ethanolamine
P0A7A7,Glycerol-3-phosphate acyltransferase,PathBank_SMP0001443,Ethanolamine
P0A8K1,Phosphatidylserine decarboxylase proenzyme,PathBank_SMP0001443,Ethanolamine
P0A924,Phosphatidylglycerophosphatase B,PathBank_SMP0001443,Ethanolamine
P0ABF8,CDP-diacylglycerol--glycerol-3-phosphate 3-phosphatidyltransferase,PathBank_SMP0001443,Ethanolamine
P0ABG1,Phosphatidate cytidylyltransferase,PathBank_SMP0001443,Ethanolamine
P18200,Phosphatidylglycerophosphatase A,PathBank_SMP0001443,Ethanolamine
P23830,CDP-diacylglycerol--serine O-phosphatidyltransferase PssA,PathBank_SMP0001443,Ethanolamine
P26647,1-acyl-sn-glycerol-3-phosphate acyltransferase,PathBank_SMP0001443,Ethanolamine
P75919,Cardiolipin synthase C,PathBank_SMP0001443,Ethanolamine
P0A6A8,Acyl carrier protein,PathBank_SMP0001444,Ethanolamine
P0A6S7,Glycerol-3-phosphate dehydrogenase [NAD(P)+],PathBank_SMP0001444,Ethanolamine
P0A7A7,Glycerol-3-phosphate acyltransferase,PathBank_SMP0001444,Ethanolamine
P0A8K1,Phosphatidylserine decarboxylase proenzyme,PathBank_SMP0001444,Ethanolamine
P0ABF8,CDP-diacylglycerol--glycerol-3-phosphate 3-phosphatidyltransferase,PathBank_SMP0001444,Ethanolamine
P0ABG1,Phosphatidate cytidylyltransferase,PathBank_SMP0001444,Ethanolamine
P23830,CDP-diacylglycerol--serine O-phosphatidyltransferase PssA,PathBank_SMP0001444,Ethanolamine
P26647,1-acyl-sn-glycerol-3-phosphate acyltransferase,PathBank_SMP0001444,Ethanolamine
P75919,Cardiolipin synthase C,PathBank_SMP0001444,Ethanolamine
P0A6A8,Acyl carrier protein,PathBank_SMP0001445,Ethanolamine
P0A6H8,Cardiolipin synthase A,PathBank_SMP0001445,Ethanolamine
P0A6S7,Glycerol-3-phosphate dehydrogenase [NAD(P)+],PathBank_SMP0001445,Ethanolamine
P0A7A7,Glycerol-3-phosphate acyltransferase,PathBank_SMP0001445,Ethanolamine
P0A8K1,Phosphatidylserine decarboxylase proenzyme,PathBank_SMP0001445,Ethanolamine
P0A924,Phosphatidylglycerophosphatase B,PathBank_SMP0001445,Ethanolamine
P0AA84,Cardiolipin synthase B,PathBank_SMP0001445,Ethanolamine
P0ABF8,CDP-diacylglycerol--glycerol-3-phosphate 3-phosphatidyltransferase,PathBank_SMP0001445,Ethanolamine
P0ABG1,Phosphatidate cytidylyltransferase,PathBank_SMP0001445,Ethanolamine
P18200,Phosphatidylglycerophosphatase A,PathBank_SMP0001445,Ethanolamine
P23830,CDP-diacylglycerol--serine O-phosphatidyltransferase PssA,PathBank_SMP0001445,Ethanolamine
P26647,1-acyl-sn-glycerol-3-phosphate acyltransferase,PathBank_SMP0001445,Ethanolamine
P75919,Cardiolipin synthase C,PathBank_SMP0001445,Ethanolamine
P0A6A8,Acyl carrier protein,PathBank_SMP0001446,Ethanolamine
P0A6S7,Glycerol-3-phosphate dehydrogenase [NAD(P)+],PathBank_SMP0001446,Ethanolamine
P0A7A7,Glycerol-3-phosphate acyltransferase,PathBank_SMP0001446,Ethanolamine
P0A924,Phosphatidylglycerophosphatase B,PathBank_SMP0001446,Ethanolamine
P0ABF8,CDP-diacylglycerol--glycerol-3-phosphate 3-phosphatidyltransferase,PathBank_SMP0001446,Ethanolamine
P0ABG1,Phosphatidate cytidylyltransferase,PathBank_SMP0001446,Ethanolamine
P18200,Phosphatidylglycerophosphatase A,PathBank_SMP0001446,Ethanolamine
P23830,CDP-diacylglycerol--serine O-phosphatidyltransferase PssA,PathBank_SMP0001446,Ethanolamine
P26647,1-acyl-sn-glycerol-3-phosphate acyltransferase,PathBank_SMP0001446,Ethanolamine
P75919,Cardiolipin synthase C,PathBank_SMP0001446,Ethanolamine
P0A6A8,Acyl carrier protein,PathBank_SMP0001447,Ethanolamine
P0A6S7,Glycerol-3-phosphate dehydrogenase [NAD(P)+],PathBank_SMP0001447,Ethanolamine
P0A7A7,Glycerol-3-phosphate acyltransferase,PathBank_SMP0001447,Ethanolamine
P0A8K1,Phosphatidylserine decarboxylase proenzyme,PathBank_SMP0001447,Ethanolamine
P0A924,Phosphatidylglycerophosphatase B,PathBank_SMP0001447,Ethanolamine
P0ABF8,CDP-diacylglycerol--glycerol-3-phosphate 3-phosphatidyltransferase,PathBank_SMP0001447,Ethanolamine
P0ABG1,Phosphatidate cytidylyltransferase,PathBank_SMP0001447,Ethanolamine
P18200,Phosphatidylglycerophosphatase A,PathBank_SMP0001447,Ethanolamine
P23830,CDP-diacylglycerol--serine O-phosphatidyltransferase PssA,PathBank_SMP0001447,Ethanolamine
P26647,1-acyl-sn-glycerol-3-phosphate acyltransferase,PathBank_SMP0001447,Ethanolamine
P75919,Cardiolipin synthase C,PathBank_SMP0001447,Ethanolamine
P0A6A8,Acyl carrier protein,PathBank_SMP0001448,Ethanolamine
P0A6S7,Glycerol-3-phosphate dehydrogenase [NAD(P)+],PathBank_SMP0001448,Ethanolamine
P0A7A7,Glycerol-3-phosphate acyltransferase,PathBank_SMP0001448,Ethanolamine
P0A924,Phosphatidylglycerophosphatase B,PathBank_SMP0001448,Ethanolamine
P0ABF8,CDP-diacylglycerol--glycerol-3-phosphate 3-phosphatidyltransferase,PathBank_SMP0001448,Ethanolamine
P0ABG1,Phosphatidate cytidylyltransferase,PathBank_SMP0001448,Ethanolamine
