category,cids,citations,core,dois,ecs,externalid,extid,geneids,name,pathwayid,pclids,pmcids,pmids,protacxns,pwacc,pwtype,source,srcid,taxid,taxname,url
Metabolic,280|668|700|1038|5886|5951|6131|6176|6816|439162|439229|644102|5311263|9546757|22833512|44825325|53481854,,1,,1.1.1.94|2.3.1.15|2.3.1.51|2.3.1.n4|2.7.7.41|2.7.8.-|2.7.8.5|2.7.8.8|4.1.1.65,SMP0001544,SMP0001544,947321|947496|66671537|66671928|66672044|66672494|66673525|67415812|67515820,phospholipid biosynthesis (CL(18:1(9Z)/15:0cyclo/17:0cycw7c/18:1(9Z))),1185843,,,,P0A6A8|P0A6S7|P0A7A7|P0A8K1|P0ABF8|P0ABG1|P23830|P26647|P75919,PathBank:SMP0001544,organism_specific,PathBank,10,562,Escherichia coli,http://pathbank.org/view/SMP0001544
Metabolic,668|700|962|1038|1061|5886|5951|6131|6176|6816|439162|439229|644102|5311263|22833512|52924221|52927248|53481854,,1,,1.1.1.94|2.3.1.15|2.3.1.51|2.3.1.n4|2.7.7.41|2.7.8.-|2.7.8.5|2.7.8.8|3.1.3.27|3.1.3.4|3.6.1.27|3.6.1.75,SMP0001548,SMP0001548,947321|947496|66671283|66671537|66672044|66672494|66673525|66674897|67415812|67515820,phospholipid biosynthesis (CL(18:1(9Z)/15:0cyclo/18:1(9Z)/16:1(9Z))),1185847,,,,P0A6A8|P0A6S7|P0A7A7|P0A924|P0ABF8|P0ABG1|P18200|P23830|P26647|P75919,PathBank:SMP0001548,organism_specific,PathBank,10,562,Escherichia coli,http://pathbank.org/view/SMP0001548
Metabolic,280|668|700|962|1038|1061|5886|5951|6131|6176|6816|439162|439229|644102|5311263|22833512|52927230|53481808|53481854,,1,,1.1.1.94|2.3.1.15|2.3.1.51|2.3.1.n4|2.7.7.41|2.7.8.-|2.7.8.5|2.7.8.8|3.1.3.27|3.1.3.4|3.6.1.27|3.6.1.75|4.1.1.65,SMP0001552,SMP0001552,947321|947496|66671283|66671537|66671928|66672044|66672494|66673525|66674897|67415812|67515820,phospholipid biosynthesis CL(16:1(9Z)/16:1(9Z)/17:0cycw7c/16:0),1185851,,,,P0A6A8|P0A6S7|P0A7A7|P0A8K1|P0A924|P0ABF8|P0ABG1|P18200|P23830|P26647|P75919,PathBank:SMP0001552,organism_specific,PathBank,10,562,Escherichia coli,http://pathbank.org/view/SMP0001552
Metabolic,668|700|1038|5886|5951|6131|6176|6816|439162|439229|644102|5311263|22833512|52924162|53481854,,1,,1.1.1.94|2.3.1.15|2.3.1.51|2.3.1.n4|2.7.7.41|2.7.8.-|2.7.8.5|2.7.8.8,SMP0001556,SMP0001556,947321|947496|66671537|66672044|66672494|66673525|67415812|67515820,phospholipid biosynthesis (CL(18:1(9Z)/15:0cyclo/18:1(9Z)/19:0cycv8c)),1185855,,,,P0A6A8|P0A6S7|P0A7A7|P0ABF8|P0ABG1|P23830|P26647|P75919,PathBank:SMP0001556,organism_specific,PathBank,10,562,Escherichia coli,http://pathbank.org/view/SMP0001556
Metabolic,280|668|700|753|962|1038|1061|5886|5951|6131|6176|6816|439162|439229|644102|5311263|22833512|52924162|52924339|52927230|53481808|53481854|131767780,,1,,1.1.1.94|2.3.1.15|2.3.1.51|2.3.1.n4|2.7.7.41|2.7.8.-|2.7.8.5|2.7.8.8|3.1.3.27|3.1.3.4|3.6.1.27|3.6.1.75|4.1.1.65,SMP0001560,SMP0001560,947321|947496|66670939|66671283|66671537|66671928|66672044|66672494|66673525|66674897|66674930|67415812|67515820,phospholipid biosynthesis CL(16:1(9Z)/16:1(9Z)/18:1(9Z)/15:0cyclo),1185859,,,,P0A6A8|P0A6H8|P0A6S7|P0A7A7|P0A8K1|P0A924|P0AA84|P0ABF8|P0ABG1|P18200|P23830|P26647|P75919,PathBank:SMP0001560,organism_specific,PathBank,10,562,Escherichia coli,http://pathbank.org/view/SMP0001560
Metabolic,280|668|700|753|962|1038|1061|5886|5951|6131|6176|6816|439162|439229|644102|5311263|9543679|9546757|22833512|44825325|52927230|53481808|53481854|131767780|131767802,,1,,1.1.1.94|2.3.1.15|2.3.1.51|2.3.1.n4|2.7.7.41|2.7.8.-|2.7.8.5|2.7.8.8|3.1.3.27|3.1.3.4|3.6.1.27|3.6.1.75|4.1.1.65,SMP0001564,SMP0001564,947321|947496|66670939|66671283|66671537|66671928|66672044|66672494|66673525|66674897|66674930|67415812|67515820,phospholipid biosynthesis CL(16:1(9Z)/16:1(9Z)/18:1(9Z)/18:1(9Z)),1185863,,,,P0A6A8|P0A6H8|P0A6S7|P0A7A7|P0A8K1|P0A924|P0AA84|P0ABF8|P0ABG1|P18200|P23830|P26647|P75919,PathBank:SMP0001564,organism_specific,PathBank,10,562,Escherichia coli,http://pathbank.org/view/SMP0001564
Metabolic,280|668|700|753|962|1038|1061|5886|5951|6131|6176|6816|439162|439229|644102|5311263|22833512|52927230|53481808|53481854|131767780,,1,,1.1.1.94|2.3.1.15|2.3.1.51|2.3.1.n4|2.7.7.41|2.7.8.-|2.7.8.5|2.7.8.8|3.1.3.27|3.1.3.4|3.6.1.27|3.6.1.75|4.1.1.65,SMP0001568,SMP0001568,947321|947496|66670939|66671283|66671537|66671928|66672044|66672494|66673525|66674897|66674930|67415812|67515820,phospholipid biosynthesis CL(16:1(9Z)/16:1(9Z)/19:0cycv8c/16:0),1185867,,,,P0A6A8|P0A6H8|P0A6S7|P0A7A7|P0A8K1|P0A924|P0AA84|P0ABF8|P0ABG1|P18200|P23830|P26647|P75919,PathBank:SMP0001568,organism_specific,PathBank,10,562,Escherichia coli,http://pathbank.org/view/SMP0001568
Metabolic,280|668|700|753|962|1038|1061|5886|5951|6131|6176|6816|439162|439229|644102|5311263|22833512|52927230|53481808|53481854|131767780,,1,,1.1.1.94|2.3.1.15|2.3.1.51|2.3.1.n4|2.7.7.41|2.7.8.-|2.7.8.5|2.7.8.8|3.1.3.27|3.1.3.4|3.6.1.27|3.6.1.75,SMP0001572,SMP0001572,947321|947496|66670939|66671283|66671537|66672044|66672494|66673525|66674897|66674930|67415812|67515820,phospholipid biosynthesis CL(16:1(9Z)/16:1(9Z)/19:0cycv8c/19:0cycv8c),1185871,,,,P0A6A8|P0A6H8|P0A6S7|P0A7A7|P0A924|P0AA84|P0ABF8|P0ABG1|P18200|P23830|P26647|P75919,PathBank:SMP0001572,organism_specific,PathBank,10,562,Escherichia coli,http://pathbank.org/view/SMP0001572
Metabolic,280|668|700|962|1038|1061|5886|5951|6131|6176|6816|439162|439229|644102|5311263|22833512|52927230|53481808|53481854,,1,,1.1.1.94|2.3.1.15|2.3.1.51|2.3.1.n4|2.7.7.41|2.7.8.-|2.7.8.5|2.7.8.8|3.1.3.27|3.1.3.4|3.6.1.27|3.6.1.75|4.1.1.65,SMP0001576,SMP0001576,947321|947496|66671283|66671537|66671928|66672044|66672494|66673525|66674897|67415812|67515820,phospholipid biosynthesis CL(16:1(9Z)/17:0cycw7c/16:1(9Z)/17:0cycw7c),1185875,,,,P0A6A8|P0A6S7|P0A7A7|P0A8K1|P0A924|P0ABF8|P0ABG1|P18200|P23830|P26647|P75919,PathBank:SMP0001576,organism_specific,PathBank,10,562,Escherichia coli,http://pathbank.org/view/SMP0001576
Metabolic,280|668|700|962|1038|1061|5886|5951|6131|6176|6816|439162|439229|644102|5283518|5311263|22833512|52927167|52941750|53481854,,1,,1.1.1.94|2.3.1.15|2.3.1.51|2.3.1.n4|2.7.7.41|2.7.8.-|2.7.8.5|2.7.8.8|3.1.3.27|3.1.3.4|3.6.1.27|3.6.1.75|4.1.1.65,SMP0001580,SMP0001580,947321|947496|66671283|66671537|66671928|66672044|66672494|66673525|66674897|67415812|67515820,phospholipid biosynthesis CL(16:1(9Z)/17:0cycw7c/17:0cycw7c/18:1(9Z)),1185879,,,,P0A6A8|P0A6S7|P0A7A7|P0A8K1|P0A924|P0ABF8|P0ABG1|P18200|P23830|P26647|P75919,PathBank:SMP0001580,organism_specific,PathBank,10,562,Escherichia coli,http://pathbank.org/view/SMP0001580
Metabolic,280|668|700|962|1038|1061|5886|5951|6131|6176|6816|439162|439229|644102|5311263|22833512|49859651|53481854,,1,,1.1.1.94|2.3.1.15|2.3.1.51|2.3.1.n4|2.7.7.41|2.7.8.-|2.7.8.5|2.7.8.8|3.1.3.27|3.1.3.4|3.6.1.27|3.6.1.75|4.1.1.65,SMP0001584,SMP0001584,947321|947496|66671283|66671537|66671928|66672044|66672494|66673525|66674897|67415812|67515820,phospholipid biosynthesis CL(16:1(9Z)/17:0cycw7c/19:0cycv8c/17:0cycw7c),1185883,,,,P0A6A8|P0A6S7|P0A7A7|P0A8K1|P0A924|P0ABF8|P0ABG1|P18200|P23830|P26647|P75919,PathBank:SMP0001584,organism_specific,PathBank,10,562,Escherichia coli,http://pathbank.org/view/SMP0001584
Metabolic,280|668|700|962|1038|1061|5886|5951|6131|6176|6816|439162|439229|644102|5311263|22833512|52924945|52927248|53481854,,1,,1.1.1.94|2.3.1.15|2.3.1.51|2.3.1.n4|2.7.7.41|2.7.8.-|2.7.8.5|2.7.8.8|3.1.3.27|3.1.3.4|3.6.1.27|3.6.1.75|4.1.1.65,SMP0001588,SMP0001588,947321|947496|66671283|66671537|66671928|66672044|66672494|66673525|66674897|67415812|67515820,phospholipid biosynthesis CL(16:1(9Z)/18:1(9Z)/14:0/18:1(9Z)),1185887,,,,P0A6A8|P0A6S7|P0A7A7|P0A8K1|P0A924|P0ABF8|P0ABG1|P18200|P23830|P26647|P75919,PathBank:SMP0001588,organism_specific,PathBank,10,562,Escherichia coli,http://pathbank.org/view/SMP0001588
Metabolic,668|700|1038|5886|5951|6131|6176|6816|439162|439229|644102|5311263|9546807|22833512|53481854,,1,,1.1.1.94|2.3.1.15|2.3.1.51|2.3.1.n4|2.7.7.41|2.7.8.-|2.7.8.5|2.7.8.8,SMP0001592,SMP0001592,947321|947496|66671537|66672044|66672494|66673525|67415812|67515820,phospholipid biosynthesis (CL(18:1(9Z)/15:0cyclo/19:0cycv8c/15:0cyclo)),1185891,,,,P0A6A8|P0A6S7|P0A7A7|P0ABF8|P0ABG1|P23830|P26647|P75919,PathBank:SMP0001592,organism_specific,PathBank,10,562,Escherichia coli,http://pathbank.org/view/SMP0001592
