action,actname,actvalue,cid,citations,cmpdname,dois,dsn,evids,evurls,geneid,genename,pclids,pmcids,pmids,protacxn,protname,srccmpd,srccmpdname,srccmpdurl,srctarget,srctargetname,srctargeturl,taxid,taxname
Caffeine results in decreased activity of ACHE protein,,,2519,"Heinrich P, Braunbeck T. Genetically engineered zebrafish liver (ZF-L) cells as an in vitro source for zebrafish acetylcholinesterase (zfAChE) for the use in AChE inhibition assays. Toxicol In Vitro. 2018 Oct;52():52–9. doi: 10.1016/j.tiv.2018.06.003. PMID: 29870745.|Teixidó E, Piqué E, Gómez-Catalán J, Llobet JM. Assessment of developmental delay in the zebrafish embryo teratogenicity assay. Toxicol In Vitro. 2013 Feb;27(1):469–78. doi: 10.1016/j.tiv.2012.07.010. PMID: 22898132.",Caffeine,,Comparative Toxicogenomics Database (CTD),PMID:22898132|PMID:29870745,https://www.ncbi.nlm.nih.gov/pubmed/22898132|https://www.ncbi.nlm.nih.gov/pubmed/29870745,43,ACHE,10132214|10685498,,22898132|29870745,,,D002110,Caffeine,https://ctdbase.org/detail.go?type=chem&acc=D002110,43,ACHE,https://ctdbase.org/detail.go?type=gene&acc=43,7955,Danio rerio (zebrafish)
Naringin inhibits the reaction [caffeine results in increased activity of ACHE protein]|[potassium bromate co-treated with caffeine] results in increased activity of ACHE protein|caffeine results in increased activity of ACHE protein|naringin inhibits the reaction [[potassium bromate co-treated with caffeine] results in increased activity of ACHE protein],,,2519,"Akintunde JK, Falomo IM, Akinbohun OM, Erinoso SO, Ugwor E, Folayan AD, Ateate AD. Naringin corrects renal failure related to Lesch-Nyhan disease in a rat model via NOS-cAMP-PKA and BDNF/TrkB pathways. J Biochem Mol Toxicol. 2024 Jan;38(1):e23558. doi: 10.1002/jbt.23558. PMID: 37865952.",Caffeine,,Comparative Toxicogenomics Database (CTD),PMID:37865952,https://www.ncbi.nlm.nih.gov/pubmed/37865952,43,ACHE,36104369,,37865952,,,D002110,Caffeine,https://ctdbase.org/detail.go?type=chem&acc=D002110,43,ACHE,https://ctdbase.org/detail.go?type=gene&acc=43,10116,Rattus norvegicus (Norway rat)
Caffeine results in increased expression of ACLY mRNA,,,2519,"Hu S, Xia L, Luo H, Xu Y, Yu H, Xu D, Wang H. Prenatal caffeine exposure increases the susceptibility to non-alcoholic fatty liver disease in female offspring rats via activation of GR-C/EBPa-SIRT1 pathway. Toxicology. 2019 Apr 01;417():23–34. doi: 10.1016/j.tox.2019.02.008. PMID: 30776459.",Caffeine,,Comparative Toxicogenomics Database (CTD),PMID:30776459,https://www.ncbi.nlm.nih.gov/pubmed/30776459,47,ACLY,20287297,,30776459,,,D002110,Caffeine,https://ctdbase.org/detail.go?type=chem&acc=D002110,47,ACLY,https://ctdbase.org/detail.go?type=gene&acc=47,10116,Rattus norvegicus (Norway rat)
Caffeine results in decreased phosphorylation of ACLY protein,,,2519,"Zhang Z, Zhang Y, Li Y, Jiang S, Xu F, Li K, Chang L, Gao H, Kukic P, Carmichael PL, Liddell M, Li J, Zhang Q, Lyu Z, Peng S, Zuo T, Tulum L, Xu P. Quantitative phosphoproteomics reveal cellular responses from caffeine, coumarin and quercetin in treated HepG2 cells. Toxicol Appl Pharmacol. 2022 Aug 15;449():116110. doi: 10.1016/j.taap.2022.116110. PMID: 35688186.",Caffeine,,Comparative Toxicogenomics Database (CTD),PMID:35688186,https://www.ncbi.nlm.nih.gov/pubmed/35688186,47,ACLY,34251403,,35688186,,,D002110,Caffeine,https://ctdbase.org/detail.go?type=chem&acc=D002110,47,ACLY,https://ctdbase.org/detail.go?type=gene&acc=47,9606,Homo sapiens (human)
Caffeine results in decreased phosphorylation of ACOX1 protein,,,2519,"Zhang Z, Zhang Y, Li Y, Jiang S, Xu F, Li K, Chang L, Gao H, Kukic P, Carmichael PL, Liddell M, Li J, Zhang Q, Lyu Z, Peng S, Zuo T, Tulum L, Xu P. Quantitative phosphoproteomics reveal cellular responses from caffeine, coumarin and quercetin in treated HepG2 cells. Toxicol Appl Pharmacol. 2022 Aug 15;449():116110. doi: 10.1016/j.taap.2022.116110. PMID: 35688186.",Caffeine,,Comparative Toxicogenomics Database (CTD),PMID:35688186,https://www.ncbi.nlm.nih.gov/pubmed/35688186,51,ACOX1,34251403,,35688186,,,D002110,Caffeine,https://ctdbase.org/detail.go?type=chem&acc=D002110,51,ACOX1,https://ctdbase.org/detail.go?type=gene&acc=51,9606,Homo sapiens (human)
Caffeine results in increased expression of ACTA2 mRNA,,,2519,"Liu HX, Hou LF, Chen T, Qu W, Liu S, Yan HY, Wen X, Ping J. Prenatal caffeine ingestion increases susceptibility to pulmonary inflammation in adult female rat offspring. Reprod Toxicol. 2017 Dec;74():212–8. doi: 10.1016/j.reprotox.2017.10.006. PMID: 29055810.",Caffeine,,Comparative Toxicogenomics Database (CTD),PMID:29055810,https://www.ncbi.nlm.nih.gov/pubmed/29055810,59,ACTA2,18883735,,29055810,,,D002110,Caffeine,https://ctdbase.org/detail.go?type=chem&acc=D002110,59,ACTA2,https://ctdbase.org/detail.go?type=gene&acc=59,10116,Rattus norvegicus (Norway rat)
Caffeine affects the phosphorylation of ACTB protein,,,2519,"Zhang Z, Zhang Y, Li Y, Jiang S, Xu F, Li K, Chang L, Gao H, Kukic P, Carmichael PL, Liddell M, Li J, Zhang Q, Lyu Z, Peng S, Zuo T, Tulum L, Xu P. Quantitative phosphoproteomics reveal cellular responses from caffeine, coumarin and quercetin in treated HepG2 cells. Toxicol Appl Pharmacol. 2022 Aug 15;449():116110. doi: 10.1016/j.taap.2022.116110. PMID: 35688186.",Caffeine,,Comparative Toxicogenomics Database (CTD),PMID:35688186,https://www.ncbi.nlm.nih.gov/pubmed/35688186,60,ACTB,34251403,,35688186,,,D002110,Caffeine,https://ctdbase.org/detail.go?type=chem&acc=D002110,60,ACTB,https://ctdbase.org/detail.go?type=gene&acc=60,9606,Homo sapiens (human)
Caffeine results in decreased expression of ACTB protein,,,2519,"Chanthick C, Thongboonkerd V. Comparative proteomics reveals concordant and discordant biochemical effects of caffeine versus epigallocatechin-3-gallate in human endothelial cells. Toxicol Appl Pharmacol. 2019 Sep 01;378():114621. doi: 10.1016/j.taap.2019.114621. PMID: 31195006.",Caffeine,,Comparative Toxicogenomics Database (CTD),PMID:31195006,https://www.ncbi.nlm.nih.gov/pubmed/31195006,60,ACTB,14230541,,31195006,,,D002110,Caffeine,https://ctdbase.org/detail.go?type=chem&acc=D002110,60,ACTB,https://ctdbase.org/detail.go?type=gene&acc=60,9606,Homo sapiens (human)
Caffeine results in decreased phosphorylation of ACTN4 protein,,,2519,"Zhang Z, Zhang Y, Li Y, Jiang S, Xu F, Li K, Chang L, Gao H, Kukic P, Carmichael PL, Liddell M, Li J, Zhang Q, Lyu Z, Peng S, Zuo T, Tulum L, Xu P. Quantitative phosphoproteomics reveal cellular responses from caffeine, coumarin and quercetin in treated HepG2 cells. Toxicol Appl Pharmacol. 2022 Aug 15;449():116110. doi: 10.1016/j.taap.2022.116110. PMID: 35688186.",Caffeine,,Comparative Toxicogenomics Database (CTD),PMID:35688186,https://www.ncbi.nlm.nih.gov/pubmed/35688186,81,ACTN4,34251403,,35688186,,,D002110,Caffeine,https://ctdbase.org/detail.go?type=chem&acc=D002110,81,ACTN4,https://ctdbase.org/detail.go?type=gene&acc=81,9606,Homo sapiens (human)
Caffeine results in decreased phosphorylation of ACTL6A protein,,,2519,"Zhang Z, Zhang Y, Li Y, Jiang S, Xu F, Li K, Chang L, Gao H, Kukic P, Carmichael PL, Liddell M, Li J, Zhang Q, Lyu Z, Peng S, Zuo T, Tulum L, Xu P. Quantitative phosphoproteomics reveal cellular responses from caffeine, coumarin and quercetin in treated HepG2 cells. Toxicol Appl Pharmacol. 2022 Aug 15;449():116110. doi: 10.1016/j.taap.2022.116110. PMID: 35688186.",Caffeine,,Comparative Toxicogenomics Database (CTD),PMID:35688186,https://www.ncbi.nlm.nih.gov/pubmed/35688186,86,ACTL6A,34251403,,35688186,,,D002110,Caffeine,https://ctdbase.org/detail.go?type=chem&acc=D002110,86,ACTL6A,https://ctdbase.org/detail.go?type=gene&acc=86,9606,Homo sapiens (human)
