action,actname,actvalue,cid,citations,cmpdname,dois,dsn,evids,evurls,geneid,genename,pclids,pmcids,pmids,protacxn,protname,srccmpd,srccmpdname,srccmpdurl,srctarget,srctargetname,srctargeturl,taxid,taxname
Agonist,,,5910,"Zhou Y, Zhang Y, Zhao D, Yu X, Shen X, Zhou Y, Wang S, Qiu Y, Chen Y, Zhu F. TTD: Therapeutic Target Database describing target druggability information. Nucleic Acids Res. 2024 Jan 05;52(D1):D1465–77. PMID: 37713619; PMCID: PMC10767903.|Pronin AN, Wang Q, Slepak VZ: Teaching an Old Drug New Tricks: Agonism, Antagonism, and Biased Signaling of Pilocarpine through M3 Muscarinic Acetylcholine Receptor. Mol Pharmacol. 2017 Nov;92(5):601-612. doi: 10.1124/mol.117.109678. Epub 2017 Sep 11.",Pilocarpine,,DrugBank,PMID:37713619|PMID:28893976,https://www.ncbi.nlm.nih.gov/pubmed/37713619|https://www.ncbi.nlm.nih.gov/pubmed/28893976,1133,CHRM5,27717746|36526393,PMC10767903|PMC5635516,37713619|28893976,P08912,Muscarinic acetylcholine receptor M5,DB01085,Pilocarpine,https://www.drugbank.ca/drugs/DB01085,BE0000247,Muscarinic acetylcholine receptor M5,https://www.drugbank.ca/bio_entities/BE0000247,9606,Homo sapiens (human)
Partial agonist,pKi,5,5910,"Berizzi AE, Gentry PR, Rueda P, Den Hoedt S, Sexton PM, Langmead CJ, Christopoulos A. Molecular Mechanisms of Action of M5 Muscarinic Acetylcholine Receptor Allosteric Modulators. Mol Pharmacol. 2016 Oct;90(4):427–36. doi: 10.1124/mol.116.104182. PMID: 27461343.|Grant MKO, El-Fakahany EE. Persistent Binding and Functional Antagonism by Xanomeline at the Muscarinic M5 Receptor. The Journal of Pharmacology and Experimental Therapeutics. 2005 Oct;315(1):313–9. doi: 10.1124/jpet.105.090134.|Dong GZ, Kameyama K, Rinken A, Haga T. Ligand binding properties of muscarinic acetylcholine receptor subtypes (m1-m5) expressed in baculovirus-infected insect cells. The Journal of Pharmacology and Experimental Therapeutics. 1995 Jul;274(1):378–84. doi: 10.1016/s0022-3565(25)10616-2.",Pilocarpine,,IUPHAR/BPS Guide to PHARMACOLOGY,PMID:16002459|PMID:27461343|PMID:7616422,https://www.ncbi.nlm.nih.gov/pubmed/16002459|https://www.ncbi.nlm.nih.gov/pubmed/27461343|https://www.ncbi.nlm.nih.gov/pubmed/7616422,1133,CHRM5,2351038|6342227|30365579,,16002459|27461343|7616422,P08912,Muscarinic acetylcholine receptor M5,305,pilocarpine,https://www.guidetopharmacology.org/GRAC/LigandDisplayForward?ligandId=305,17,M5 receptor,https://guidetopharmacology.org/GRAC/ObjectDisplayForward?objectId=17,9606,Homo sapiens (human)
Substrate|Inhibitor,,,5910,"DeVore NM, Meneely KM, Bart AG, Stephens ES, Battaile KP, Scott EE: Structural comparison of cytochromes P450 2A6, 2A13, and 2E1 with pilocarpine. FEBS J. 2012 May;279(9):1621-31. doi: 10.1111/j.1742-4658.2011.08412.x. Epub 2011 Nov 25.|Ueng Y, Chen C, Chung Y, Liu T, Chang Y, Lo W, Murayama N, Yamazaki H, Soucek P, Chau G, Chi C, Chen R, Li D. Mechanism-based inhibition of cytochrome P450 (CYP)2A6 by chalepensin in recombinant systems, in human liver microsomes and in mice<i>in vivo</i>. British J Pharmacology. 2011 Jun 27;163(6):1250–62. doi: 10.1111/j.1476-5381.2011.01341.x.|Kimonen T, Juvonen RO, Alhava E, Pasanen M. The inhibition of CYP enzymes in mouse and human liver by pilocarpine. British J Pharmacology. 1995 Feb;114(4):832–6. doi: 10.1111/j.1476-5381.1995.tb13279.x.",Pilocarpine,,DrugBank,PMID:22051186|PMID:21418183|PMID:7773543,https://www.ncbi.nlm.nih.gov/pubmed/22051186|https://www.ncbi.nlm.nih.gov/pubmed/21418183|https://www.ncbi.nlm.nih.gov/pubmed/7773543,1548,CYP2A6,4924728|5203535|28910713,PMC1510190|PMC3144538|PMC3572744,22051186|21418183|7773543,P11509,Cytochrome P450 2A6,DB01085,Pilocarpine,https://www.drugbank.ca/drugs/DB01085,BE0003336,Cytochrome P450 2A6,https://www.drugbank.ca/bio_entities/BE0003336,9606,Homo sapiens (human)
Inhibitor,,,5910,"Endo T, Ban M, Hirata K, Yamamoto A, Hara Y, Momose Y: Involvement of CYP2A6 in the formation of a novel metabolite, 3-hydroxypilocarpine, from pilocarpine in human liver microsomes. Drug Metab Dispos. 2007 Mar;35(3):476-83. doi: 10.1124/dmd.106.013425. Epub 2006 Dec 18.|Kimonen T, Juvonen RO, Alhava E, Pasanen M. The inhibition of CYP enzymes in mouse and human liver by pilocarpine. British J Pharmacology. 1995 Feb;114(4):832–6. doi: 10.1111/j.1476-5381.1995.tb13279.x.",Pilocarpine,,DrugBank,PMID:17178767|PMID:7773543,https://www.ncbi.nlm.nih.gov/pubmed/17178767|https://www.ncbi.nlm.nih.gov/pubmed/7773543,1576,CYP3A4,4924728|24112716,PMC1510190,17178767|7773543,P08684,Cytochrome P450 3A4,DB01085,Pilocarpine,https://www.drugbank.ca/drugs/DB01085,BE0002638,Cytochrome P450 3A4,https://www.drugbank.ca/bio_entities/BE0002638,9606,Homo sapiens (human)
Substrate,,,5910,"Hioki T, Fukami T, Nakajima M, Yokoi T: Human paraoxonase 1 is the enzyme responsible for pilocarpine hydrolysis. Drug Metab Dispos. 2011 Aug;39(8):1345-52. doi: 10.1124/dmd.111.038141. Epub 2011 Apr 26.",Pilocarpine,,DrugBank,PMID:21521796,https://www.ncbi.nlm.nih.gov/pubmed/21521796,5444,PON1,33635947,,21521796,P27169,Serum paraoxonase/arylesterase 1,DB01085,Pilocarpine,https://www.drugbank.ca/drugs/DB01085,BE0000930,Serum paraoxonase/arylesterase 1,https://www.drugbank.ca/bio_entities/BE0000930,9606,Homo sapiens (human)
,EC50,5.16,5910,,Pilocarpine,,DrugCentral,,,12669,Chrm1,,,,P12657,Muscarinic acetylcholine receptor M1,2166,pilocarpine,https://drugcentral.org/drugcard/2166,1808,Muscarinic acetylcholine receptor M1,https://drugcentral.org/target/P12657/view,10090,Mus musculus (house mouse)
,Ki,7.08,5910,,Pilocarpine,,DrugCentral,,,24260,Chrm3,,,,P08483,Muscarinic acetylcholine receptor M3,2166,pilocarpine,https://drugcentral.org/drugcard/2166,2838,Muscarinic acetylcholine receptor,https://drugcentral.org/target/P08483/view,10116,Rattus norvegicus (Norway rat)
,Ki,7.08,5910,,Pilocarpine,,DrugCentral,,,25111,Chrm4,,,,P08485,Muscarinic acetylcholine receptor M4,2166,pilocarpine,https://drugcentral.org/drugcard/2166,2838,Muscarinic acetylcholine receptor,https://drugcentral.org/target/P08485/view,10116,Rattus norvegicus (Norway rat)
Partial agonist,pKi,4.9,5910,"Mei L, Lai J, Roeske WR, Fraser CM, Venter JC, Yamamura HI. Pharmacological characterization of the M1 muscarinic receptors expressed in murine fibroblast B82 cells. The Journal of Pharmacology and Experimental Therapeutics. 1989 Feb;248(2):661–70. doi: 10.1016/s0022-3565(25)23752-1.",Pilocarpine,,IUPHAR/BPS Guide to PHARMACOLOGY,PMID:2537406,https://www.ncbi.nlm.nih.gov/pubmed/2537406,25229,Chrm1,10307586,,2537406,P08482,Muscarinic acetylcholine receptor M1,305,pilocarpine,https://www.guidetopharmacology.org/GRAC/LigandDisplayForward?ligandId=305,13,M1 receptor,https://guidetopharmacology.org/GRAC/ObjectDisplayForward?objectId=13,10116,Rattus norvegicus (Norway rat)
,Ki,7.08,5910,,Pilocarpine,,DrugCentral,,,25229,Chrm1,,,,P08482,Muscarinic acetylcholine receptor M1,2166,pilocarpine,https://drugcentral.org/drugcard/2166,2838,Muscarinic acetylcholine receptor,https://drugcentral.org/target/P08482/view,10116,Rattus norvegicus (Norway rat)
