action,actname,actvalue,cid,citations,cmpdname,dois,dsn,evids,evurls,geneid,genename,pclids,pmcids,pmids,protacxn,protname,refchemids,refsids,srccmpd,srccmpdurl,srctarget,srctargetname,srctargeturl,synonym,taxid,taxname
,,,446157,,Rosuvastatin,,Drug Gene Interaction database (DGIdb),,,3172,HNF4A,,,,,,6205,481107545,,https://www.dgidb.org/drugs/rxcui:301542,,HNF4A,https://www.dgidb.org/genes/hgnc:5024,ROSUVASTATIN,9606,Homo sapiens (human)
Inhibitory allosteric modulator,,,446157,"Liao JK, Laufs U. PLEIOTROPIC EFFECTS OF STATINS. Annu. Rev. Pharmacol. Toxicol. 2005 Sep 22;45(1):89–118. doi: 10.1146/annurev.pharmtox.45.120403.095748.|Katano H, Pesnicak L, Cohen JI. Simvastatin induces apoptosis of Epstein-Barr virus (EBV)-transformed lymphoblastoid cell lines and delays development of EBV lymphomas. Proc. Natl. Acad. Sci. U.S.A. 2004 Mar 23;101(14):4960–5. doi: 10.1073/pnas.0305149101.|Weitz-Schmidt G, Welzenbach K, Brinkmann V, Kamata T, Kallen J, Bruns C, Cottens S, Takada Y, Hommel U. Statins selectively inhibit leukocyte function antigen-1 by binding to a novel regulatory integrin site. Nat Med. 2001 Jun;7(6):687–92. doi: 10.1038/89058. PMID: 11385505.",Rosuvastatin,,DrugBank,PMID:11385505|PMID:15041742|PMID:15822172,https://www.ncbi.nlm.nih.gov/pubmed/11385505|https://www.ncbi.nlm.nih.gov/pubmed/15041742|https://www.ncbi.nlm.nih.gov/pubmed/15822172,3683,ITGAL,310386|1656679|11132111,PMC2694580|PMC387356,11385505|15041742|15822172,P20701,Integrin alpha-L,6205,481107545,DB01098,https://www.drugbank.ca/drugs/DB01098,BE0000516,Integrin alpha-L,https://www.drugbank.ca/bio_entities/BE0000516,Rosuvastatin,9606,Homo sapiens (human)
,,,446157,,Rosuvastatin,,Drug Gene Interaction database (DGIdb),,,3949,LDLR,,,,,,6205,481107545,,https://www.dgidb.org/drugs/rxcui:301542,,LDLR,https://www.dgidb.org/genes/hgnc:6547,ROSUVASTATIN,9606,Homo sapiens (human)
,,,446157,,Rosuvastatin,,Drug Gene Interaction database (DGIdb),,,4018,LPA,,,,,,6205,481107545,,https://www.dgidb.org/drugs/rxcui:301542,,LPA,https://www.dgidb.org/genes/hgnc:6667,ROSUVASTATIN,9606,Homo sapiens (human)
"Rosuvastatin selectively and competitively inhibits the hepatic enzyme hydroxymethylglutaryl-coenzyme A (HMG-coa) reductase. as HMG-coa reductase is responsible for converting HMG-coa to mevalonate, this results in a decrease in mevalonate, a precursor of cholesterol, and a subsequent decrease in hepatic cholesterol levels and increase in uptake of LDL cholesterol.",,,446157,"Di Napoli P, Taccardi AA, Grilli A, De Lutiis MA, Barsotti A, Felaco M, De Caterina R. Chronic treatment with rosuvastatin modulates nitric oxide synthase expression and reduces ischemia-reperfusion injury in rat hearts. Cardiovasc Res. 2005 Jun 01;66(3):462–71. doi: 10.1016/j.cardiores.2005.02.008. PMID: 15914111.|Kilic E, Kilic U, Matter CM, Lüscher TF, Bassetti CL, Hermann DM. Aggravation of focal cerebral ischemia by tissue plasminogen activator is reversed by 3-hydroxy-3-methylglutaryl coenzyme A reductase inhibitor but does not depend on endothelial NO synthase. Stroke. 2005 Feb;36(2):332–6. doi: 10.1161/01.str.0000152273.24063.f7. PMID: 15625301.|Jones SP, Gibson MF, Rimmer DM, Gibson TM, Sharp BR, Lefer DJ. Direct vascular and cardioprotective effects of rosuvastatin, a new HMG-CoA reductase inhibitor. Journal of the American College of Cardiology. 2002 Sep;40(6):1172–8. doi: 10.1016/s0735-1097(02)02115-0.|Laufs U, Gertz K, Dirnagl U, Böhm M, Nickenig G, Endres M. Rosuvastatin, a new HMG-CoA reductase inhibitor, upregulates endothelial nitric oxide synthase and protects from ischemic stroke in mice. Brain Res. 2002 Jun 28;942(1-2):23–30. doi: 10.1016/s0006-8993(02)02649-5. PMID: 12031849.|Stalker TJ, Lefer AM, Scalia R. A new HMG-CoA reductase inhibitor, rosuvastatin, exerts anti-inflammatory effects on the microvascular endothelium: the role of mevalonic acid. British J Pharmacology. 2001 Jun;133(3):406–12. doi: 10.1038/sj.bjp.0704070.",Rosuvastatin,,Toxin and Toxin Target Database (T3DB),PMID:11375257|PMID:12031849|PMID:12354446|PMID:15625301|PMID:15914111,https://www.ncbi.nlm.nih.gov/pubmed/11375257|https://www.ncbi.nlm.nih.gov/pubmed/12031849|https://www.ncbi.nlm.nih.gov/pubmed/12354446|https://www.ncbi.nlm.nih.gov/pubmed/15625301|https://www.ncbi.nlm.nih.gov/pubmed/15914111,4846,NOS3,3023632|23337006|24762903|30089703|32096783,PMC1572789,11375257|12031849|12354446|15625301|15914111,P29474,Nitric oxide synthase 3,6205,481107545,T3D2680,http://www.t3db.ca/toxins/T3D2680,BE0000263,"Nitric oxide synthase, endothelial",http://www.t3db.ca/biodb/bio_entities/BE0000263,Rosuvastatin,9606,Homo sapiens (human)
,Kd,5.9,446157,,Rosuvastatin,,DrugCentral,,,5147,PDE6D,,,,O43924,"Retinal rod rhodopsin-sensitive cGMP 3',5'-cyclic phosphodiesterase subunit delta",6205,481107545,2406,https://drugcentral.org/drugcard/2406,3482,Phosphodiesterase 6D,https://drugcentral.org/target/O43924/view,rosuvastatin,9606,Homo sapiens (human)
,,,446157,,Rosuvastatin,,Drug Gene Interaction database (DGIdb),,,6256,RXRA,,,,,,6205,481107545,,https://www.dgidb.org/drugs/rxcui:301542,,RXRA,https://www.dgidb.org/genes/hgnc:10477,ROSUVASTATIN,9606,Homo sapiens (human)
,,,446157,"Ho RH, Tirona RG, Leake BF, Glaeser H, Lee W, Lemke CJ, Wang Y, Kim RB. Drug and bile acid transporters in rosuvastatin hepatic uptake: function, expression, and pharmacogenetics. Gastroenterology. 2006 May;130(6):1793–806. doi: 10.1053/j.gastro.2006.02.034. PMID: 16697742.",Rosuvastatin,,DrugBank,PMID:16697742,https://www.ncbi.nlm.nih.gov/pubmed/16697742,6554,SLC10A1,13951719,,16697742,Q14973,Hepatic sodium/bile acid cotransporter,6205,481107545,DB01098,https://www.drugbank.ca/drugs/DB01098,BE0003644,Hepatic sodium/bile acid cotransporter,https://www.drugbank.ca/bio_entities/BE0003644,Rosuvastatin,9606,Homo sapiens (human)
,,,446157,,Rosuvastatin,,Drug Gene Interaction database (DGIdb),,,6554,SLC10A1,,,,,,6205,481107545,,https://www.dgidb.org/drugs/rxcui:301542,,SLC10A1,https://www.dgidb.org/genes/hgnc:10905,ROSUVASTATIN,9606,Homo sapiens (human)
,,,446157,"Ho RH, Tirona RG, Leake BF, Glaeser H, Lee W, Lemke CJ, Wang Y, Kim RB. Drug and bile acid transporters in rosuvastatin hepatic uptake: function, expression, and pharmacogenetics. Gastroenterology. 2006 May;130(6):1793–806. doi: 10.1053/j.gastro.2006.02.034. PMID: 16697742.",Rosuvastatin,,DrugBank,PMID:16697742,https://www.ncbi.nlm.nih.gov/pubmed/16697742,6579,SLCO1A2,13951719,,16697742,P46721,Solute carrier organic anion transporter family member 1A2,6205,481107545,DB01098,https://www.drugbank.ca/drugs/DB01098,BE0003642,Solute carrier organic anion transporter family member 1A2,https://www.drugbank.ca/bio_entities/BE0003642,Rosuvastatin,9606,Homo sapiens (human)
