action,actname,actvalue,cid,citations,cmpdname,dsn,evids,evurls,geneid,genename,pclids,pmcids,pmids,protacxn,protname,srccmpd,srccmpdname,srccmpdurl,srctarget,srctargetname,srctargeturl,taxid,taxname
Full agonist,pKi,3.7,2370,"Mei L, Lai J, Roeske WR, Fraser CM, Venter JC, Yamamura HI. Pharmacological characterization of the M1 muscarinic receptors expressed in murine fibroblast B82 cells. The Journal of Pharmacology and Experimental Therapeutics. 1989 Feb;248(2):661–70. doi: 10.1016/s0022-3565(25)23752-1.",Bethanechol,IUPHAR/BPS Guide to PHARMACOLOGY,PMID:2537406,https://www.ncbi.nlm.nih.gov/pubmed/2537406,25229,Chrm1,10307586,,2537406,P08482,Muscarinic acetylcholine receptor M1,297,bethanechol,https://www.guidetopharmacology.org/GRAC/LigandDisplayForward?ligandId=297,13,M1 receptor,https://guidetopharmacology.org/GRAC/ObjectDisplayForward?objectId=13,10116,Rattus norvegicus (Norway rat)
Agonist,,,2370,,Bethanechol,Drug Gene Interaction database (DGIdb),,,17,AAVS1,,,,,,,BETHANECHOL,https://www.dgidb.org/drugs/rxcui:19257,,AAVS1,https://www.dgidb.org/genes/hgnc:22,9606,Homo sapiens (human)
Agonist,,,2370,,Bethanechol,Drug Gene Interaction database (DGIdb),,,16,AARS1,,,,,,,BETHANECHOL,https://www.dgidb.org/drugs/rxcui:19257,,AARS1,https://www.dgidb.org/genes/hgnc:20,9606,Homo sapiens (human)
,,,2370,"Jakubík J, Bacáková L, El-Fakahany EE, Tucek S. Positive cooperativity of acetylcholine and other agonists with allosteric ligands on muscarinic acetylcholine receptors. Mol Pharmacol. 1997 Jul;52(1):172–9. doi: 10.1124/mol.52.1.172. PMID: 9224827.",Bethanechol,Toxin and Toxin Target Database (T3DB),PMID:9224827,https://www.ncbi.nlm.nih.gov/pubmed/9224827,1132,CHRM4,5669298,,9224827,P08173,Muscarinic acetylcholine receptor M4,T3D2958,Bethanechol,http://www.t3db.ca/toxins/T3D2958,BE0000405,Muscarinic acetylcholine receptor M4,http://www.t3db.ca/biodb/bio_entities/BE0000405,9606,Homo sapiens (human)
,,,2370,"Jakubík J, Bacáková L, El-Fakahany EE, Tucek S. Positive cooperativity of acetylcholine and other agonists with allosteric ligands on muscarinic acetylcholine receptors. Mol Pharmacol. 1997 Jul;52(1):172–9. doi: 10.1124/mol.52.1.172. PMID: 9224827.",Bethanechol,Toxin and Toxin Target Database (T3DB),PMID:9224827,https://www.ncbi.nlm.nih.gov/pubmed/9224827,1131,CHRM3,5669298,,9224827,P20309,Muscarinic acetylcholine receptor M3,T3D2958,Bethanechol,http://www.t3db.ca/toxins/T3D2958,BE0000045,Muscarinic acetylcholine receptor M3,http://www.t3db.ca/biodb/bio_entities/BE0000045,9606,Homo sapiens (human)
Agonist,,,2370,,Bethanechol,Drug Gene Interaction database (DGIdb),,,14,AAMP,,,,,,,BETHANECHOL,https://www.dgidb.org/drugs/rxcui:19257,,AAMP,https://www.dgidb.org/genes/hgnc:18,9606,Homo sapiens (human)
AGONIST,Ki,4,2370,,Bethanechol,DrugCentral,,,1129,CHRM2,,,,P08172,Muscarinic acetylcholine receptor M2,358,bethanechol,https://drugcentral.org/drugcard/358,114,Muscarinic acetylcholine receptor M2,https://drugcentral.org/target/P08172/view,9606,Homo sapiens (human)
,EC50,6,2370,,Bethanechol,DrugCentral,,,,,,,,Q8VH27,Muscarinic acetylcholine receptor ,358,bethanechol,https://drugcentral.org/drugcard/358,3531,Muscarinic receptor 2,https://drugcentral.org/target/Q8VH27/view,10141,Cavia porcellus (domestic guinea pig)
Full agonist,pKi,4,2370,"Jakubík J, Bacáková L, El-Fakahany EE, Tucek S. Positive cooperativity of acetylcholine and other agonists with allosteric ligands on muscarinic acetylcholine receptors. Mol Pharmacol. 1997 Jul;52(1):172–9. doi: 10.1124/mol.52.1.172. PMID: 9224827.|Richards MH, van Giersbergen PLM. Human muscarinic receptors expressed in A9L and CHO cells: activation by full and partial agonists. British J Pharmacology. 1995 Mar;114(6):1241–9. doi: 10.1111/j.1476-5381.1995.tb13339.x.",Bethanechol,IUPHAR/BPS Guide to PHARMACOLOGY,PMID:7620715|PMID:9224827,https://www.ncbi.nlm.nih.gov/pubmed/7620715|https://www.ncbi.nlm.nih.gov/pubmed/9224827,1128,CHRM1,5669298|7007058,PMC1510344,7620715|9224827,P11229,Muscarinic acetylcholine receptor M1,297,bethanechol,https://www.guidetopharmacology.org/GRAC/LigandDisplayForward?ligandId=297,13,M1 receptor,https://guidetopharmacology.org/GRAC/ObjectDisplayForward?objectId=13,9606,Homo sapiens (human)
Agonist,,,2370,"Agrawal A, Hila A, Tutuian R, Mainie I, Castell DO. Bethanechol improves smooth muscle function in patients with severe ineffective esophageal motility. J Clin Gastroenterol. 2007 Apr;41(4):366–70. doi: 10.1097/01.mcg.0000225542.03880.68. PMID: 17413603.|Cruzblanca H. An M<sub>2</sub>-like muscarinic receptor enhances a delayed rectifier K<sup>+</sup>current in rat sympathetic neurones. British J Pharmacology. 2006 Oct;149(4):441–9. doi: 10.1038/sj.bjp.0706874.|Buranakarl C, Kijtawornrat A, Angkanaporn K, Komolvanich S, Bovee KC. Effects of bethanechol on canine urinary bladder smooth muscle function. Research in Veterinary Science. 2001 Dec;71(3):175–81. doi: 10.1053/rvsc.2001.0506.|Padda IS, Derian A: Bethanechol .",Bethanechol,DrugBank,PMID:11798291|PMID:17413603|PMID:16953191|PMID:32809422,https://www.ncbi.nlm.nih.gov/pubmed/11798291|https://www.ncbi.nlm.nih.gov/pubmed/17413603|https://www.ncbi.nlm.nih.gov/pubmed/16953191|https://www.ncbi.nlm.nih.gov/pubmed/32809422,1129,CHRM2,12607363|16676894|30752470|900336651,PMC1978429,11798291|17413603|16953191|32809422,P08172,Muscarinic acetylcholine receptor M2,DB01019,Bethanechol,https://www.drugbank.ca/drugs/DB01019,BE0000560,Muscarinic acetylcholine receptor M2,https://www.drugbank.ca/bio_entities/BE0000560,9606,Homo sapiens (human)
